start_time,green_energy_DE,DE_Load,green_energy_HU,HU_Load,green_energy_IT,IT_Load,green_energy_PO,PO_Load,green_energy_SP,SP_Load,green_energy_UK,UK_Load,green_energy_DK,DK_Load,green_energy_SE,SE_Load,green_energy_NE,NE_Load
2021-12-31 23:00:00,39401,42196,285,4254,5801.0,21121.0,4641.0,14438.0,11244,20827,0.0,677.0,3652.0,3314.0,11060.0,15331.0,3554,10326
2022-01-01 00:00:00,157373,165125,1376,16457,5745.0,19756.0,4491.0,13935.0,10827,19530,0.0,1244.0,3605.0,3218.0,11107.0,15331.0,12768,40706
2022-01-01 01:00:00,151747,160415,1526,15426,6228.0,18685.0,4436.0,13579.0,11140,18383,0.0,1131.0,3309.0,3126.0,11036.0,15270.0,11131,39465
2022-01-01 02:00:00,147938,158035,1560,14781,6407.0,18124.0,4568.0,13397.0,11361,17680,0.0,1091.0,3043.0,3080.0,10509.0,15150.0,11324,38923
2022-01-01 03:00:00,141816,157016,1287,14630,5760.0,18400.0,4559.0,13364.0,11247,17396,0.0,969.0,2852.0,3044.0,10770.0,15387.0,11290,38211
2022-01-01 04:00:00,131970,154552,1309,14688,5501.0,19223.0,4374.0,13449.0,10868,17544,0.0,896.0,2724.0,3130.0,10852.0,15737.0,11093,38146
2022-01-01 05:00:00,129345,154275,1450,14960,6226.0,19738.0,4303.0,13444.0,10935,17866,0.0,871.0,2579.0,3238.0,11108.0,16054.0,11028,38956
2022-01-01 06:00:00,122836,157356,1627,15034,7356.0,20289.0,4370.0,13527.0,11101,17806,0.0,860.0,2293.0,3378.0,11757.0,16455.0,10421,39968
2022-01-01 07:00:00,117508,163000,2447,15259,8637.0,21469.0,4540.0,14202.0,13339,18533,0.0,922.0,1806.0,3537.0,11774.0,16943.0,10565,40808
2022-01-01 08:00:00,119089,171858,3597,15551,9132.0,22735.0,4402.0,14851.0,16179,20018,0.0,1017.0,1655.0,3714.0,11668.0,17476.0,11355,41742
2022-01-01 09:00:00,120971,179829,4205,16045,9821.0,23636.0,4266.0,15643.0,17616,20989,0.0,1095.0,1601.0,3818.0,11407.0,17657.0,13283,42796
2022-01-01 10:00:00,123192,188335,4331,16500,10404.0,24182.0,4014.0,16235.0,17581,21514,0.0,1232.0,1832.0,3893.0,11124.0,17521.0,14039,42494
2022-01-01 11:00:00,122314,188528,3845,16966,10367.0,23270.0,3571.0,16712.0,17181,22105,0.0,1351.0,1904.0,3943.0,11016.0,17542.0,14848,42294
2022-01-01 12:00:00,117152,184922,3026,17195,9877.0,22755.0,3103.0,16874.0,16585,22384,0.0,1508.0,2116.0,3915.0,11134.0,17783.0,15071,43153
2022-01-01 13:00:00,108819,182733,2129,17488,7776.0,22881.0,2656.0,17032.0,16437,21106,0.0,1653.0,2498.0,3988.0,11616.0,18417.0,15058,44379
2022-01-01 14:00:00,99704,183467,1517,18052,7108.0,23818.0,2368.0,17715.0,14798,20617,0.0,1682.0,3200.0,4213.0,12137.0,18620.0,14996,45865
2022-01-01 15:00:00,107104,195571,1419,19157,8807.0,26742.0,2427.0,17887.0,11888,21096,0.0,1671.0,3771.0,4473.0,12574.0,18778.0,14620,48406
2022-01-01 16:00:00,117785,207259,1427,19169,9000.0,27672.0,2133.0,17929.0,11040,23211,0.0,1741.0,4339.0,4407.0,12930.0,18621.0,15599,52021
2022-01-01 17:00:00,126662,208694,1287,19117,9276.0,28393.0,1990.0,17898.0,11483,24435,0.0,1977.0,4792.0,4133.0,13225.0,17942.0,16211,51429
2022-01-01 18:00:00,131402,203720,1154,19077,8514.0,27996.0,1944.0,17594.0,11812,24964,0.0,2083.0,5052.0,3970.0,13667.0,17481.0,16206,49999
2022-01-01 19:00:00,129423,196041,1163,18695,7418.0,26693.0,1715.0,16972.0,11974,25189,0.0,1925.0,5097.0,3821.0,14060.0,17048.0,15302,47940
2022-01-01 20:00:00,131258,191635,1108,18142,5956.0,24635.0,1625.0,16426.0,11616,24134,0.0,1801.0,4892.0,3619.0,14106.0,16461.0,14103,46052
2022-01-01 21:00:00,132964,187527,1021,17310,5111.0,22404.0,1393.0,15411.0,11279,22552,0.0,1691.0,4747.0,3462.0,14048.0,16048.0,13678,44113
2022-01-01 22:00:00,133780,176366,999,16380,5044.0,20428.0,1765.0,14480.0,10740,21048,0.0,1534.0,4078.0,3351.0,13242.0,15924.0,14029,42275
2022-01-01 23:00:00,143879,170078,964,15480,5319.0,18989.0,2295.0,13833.0,10412,19473,0.0,1385.0,3960.0,3173.0,12753.0,15328.0,14210,41053
2022-01-02 00:00:00,144602,164923,893,14901,5291.0,18083.0,2740.0,13451.0,10138,18375,0.0,626.0,3959.0,3128.0,12567.0,15037.0,15019,39562
2022-01-02 01:00:00,142061,162519,734,14342,5514.0,17740.0,3180.0,13267.0,10175,17841,0.0,0.0,3732.0,3093.0,11610.0,14770.0,15174,38687
2022-01-02 02:00:00,142190,162753,645,14142,5613.0,17737.0,3607.0,13326.0,10124,17539,0.0,525.0,3817.0,3063.0,11090.0,14706.0,15153,38236
2022-01-02 03:00:00,139441,163004,674,14436,5213.0,18409.0,3775.0,13714.0,9878,17684,0.0,1008.0,3814.0,3149.0,10852.0,14752.0,15239,38283
2022-01-02 04:00:00,137755,162453,842,15008,5063.0,19869.0,3982.0,14230.0,9438,18353,0.0,971.0,3700.0,3260.0,10842.0,15202.0,15262,38979
2022-01-02 05:00:00,133409,162596,971,16122,4843.0,21148.0,4006.0,14542.0,8995,19223,0.0,942.0,3663.0,3455.0,11601.0,15916.0,15201,40264
2022-01-02 06:00:00,141328,171915,1106,16881,5736.0,22332.0,4155.0,14960.0,8929,19936,0.0,948.0,3639.0,3722.0,11959.0,16545.0,15936,42237
2022-01-02 07:00:00,150776,185202,1921,17859,6963.0,23775.0,4655.0,15855.0,10299,21531,0.0,1010.0,3497.0,3905.0,12765.0,16960.0,16315,44702
2022-01-02 08:00:00,160678,195494,3141,18359,8390.0,24697.0,5087.0,16709.0,12463,23286,0.0,1119.0,3341.0,4097.0,12943.0,17299.0,16895,46562
2022-01-02 09:00:00,173788,205032,3862,18526,9409.0,25360.0,5309.0,17032.0,13781,24126,0.0,1241.0,2977.0,4167.0,12812.0,17428.0,16866,46441
2022-01-02 10:00:00,186025,216802,3976,18846,10099.0,26123.0,5460.0,17414.0,14397,24202,0.0,1420.0,2635.0,4198.0,12770.0,17553.0,17041,47998
2022-01-02 11:00:00,192390,217096,3617,18756,10019.0,25308.0,5319.0,18006.0,14453,24673,0.0,1562.0,2180.0,4212.0,12616.0,17792.0,17307,48585
2022-01-02 12:00:00,194469,212695,2666,18838,8622.0,24751.0,4891.0,17914.0,14131,24921,0.0,1678.0,2213.0,4191.0,12555.0,17912.0,17072,47660
2022-01-02 13:00:00,193423,210911,1606,19191,7313.0,24918.0,4986.0,18024.0,13637,23869,0.0,1770.0,2494.0,4301.0,12521.0,18077.0,16696,47919
2022-01-02 14:00:00,194282,214431,920,19941,6958.0,26049.0,5540.0,18627.0,11678,23258,0.0,1747.0,3073.0,4521.0,12380.0,18265.0,16590,48988
2022-01-02 15:00:00,196760,225625,776,21433,9467.0,28970.0,6536.0,18737.0,8699,23642,0.0,1719.0,3578.0,4873.0,12366.0,18541.0,15779,51783
2022-01-02 16:00:00,197928,235222,769,21539,9812.0,30088.0,7031.0,18753.0,7941,25965,0.0,1803.0,4189.0,4735.0,12191.0,18424.0,15979,55587
2022-01-02 17:00:00,200611,234292,720,21399,9869.0,30781.0,6948.0,18774.0,9205,27307,0.0,2088.0,4797.0,4433.0,11929.0,18010.0,15629,54121
2022-01-02 18:00:00,198091,227205,747,21157,9444.0,29662.0,6649.0,18378.0,9599,28243,0.0,2184.0,4885.0,4183.0,11763.0,17305.0,15862,52577
2022-01-02 19:00:00,196430,216385,790,20457,7493.0,27563.0,6557.0,17527.0,9242,28062,0.0,1973.0,4728.0,3974.0,11015.0,16546.0,16002,50705
2022-01-02 20:00:00,187778,208694,832,19465,7247.0,25326.0,6614.0,16897.0,8557,26650,0.0,1794.0,4382.0,3769.0,10974.0,16269.0,16371,48614
2022-01-02 21:00:00,181714,200590,836,18475,6941.0,22897.0,6495.0,15711.0,7926,24535,0.0,1655.0,3948.0,3559.0,9366.0,15506.0,16570,46842
2022-01-02 22:00:00,177058,188411,867,17309,7732.0,20859.0,6497.0,14918.0,6772,22800,0.0,1501.0,3615.0,3394.0,8176.0,15319.0,17174,44466
2022-01-02 23:00:00,177722,179879,1029,16340,7833.0,19413.0,6163.0,14446.0,6853,21173,0.0,1322.0,3424.0,3345.0,8078.0,15049.0,16800,42800
2022-01-03 00:00:00,172760,173128,1232,15728,7919.0,18841.0,5846.0,14223.0,7304,20153,0.0,1129.0,3273.0,3308.0,7897.0,14808.0,15291,41392
2022-01-03 01:00:00,167692,170685,1219,15247,8100.0,18543.0,5513.0,14320.0,7764,19679,0.0,1012.0,3297.0,3285.0,7897.0,14886.0,15191,40806
2022-01-03 02:00:00,167340,173478,1006,15225,8306.0,19052.0,5119.0,14814.0,8240,19754,0.0,980.0,3700.0,3361.0,8390.0,15344.0,14849,40492
2022-01-03 03:00:00,171197,181772,960,16018,8372.0,20705.0,4559.0,15727.0,7981,20516,0.0,926.0,4312.0,3584.0,8801.0,15734.0,15229,40988
2022-01-03 04:00:00,184861,199216,1144,18135,6553.0,24670.0,4420.0,18749.0,7817,22969,0.0,911.0,4806.0,4201.0,10816.0,17213.0,16200,43740
2022-01-03 05:00:00,201144,228635,982,21080,7130.0,28930.0,4176.0,20921.0,8125,26155,0.0,930.0,5033.0,4772.0,12637.0,18764.0,16798,47804
2022-01-03 06:00:00,203075,250878,1426,22265,9251.0,32665.0,4405.0,22135.0,9028,28546,0.0,990.0,5162.0,5079.0,12970.0,19396.0,16929,52778
2022-01-03 07:00:00,204140,261928,1768,22989,10528.0,35378.0,4455.0,22929.0,11578,30212,0.0,1170.0,5753.0,5072.0,12979.0,19451.0,17148,57029
2022-01-03 08:00:00,207695,267001,1798,23502,10719.0,35696.0,4777.0,22935.0,14369,31106,0.0,1341.0,6024.0,5190.0,13029.0,19620.0,17144,58111
2022-01-03 09:00:00,212278,272754,1982,23775,10817.0,35706.0,5297.0,23366.0,15819,30788,0.0,1489.0,6272.0,5246.0,13356.0,19916.0,17154,56875
2022-01-03 10:00:00,218945,279273,2502,23804,10591.0,34695.0,5885.0,23608.0,16915,30499,0.0,1670.0,6382.0,5134.0,13394.0,20005.0,17297,55464
2022-01-03 11:00:00,217933,280238,2595,23651,10331.0,34343.0,5969.0,23666.0,17930,30485,0.0,1781.0,6390.0,5078.0,13650.0,20204.0,17371,55854
2022-01-03 12:00:00,209299,275534,2797,22992,9426.0,34803.0,5787.0,23374.0,18416,30083,0.0,1857.0,6309.0,5043.0,13776.0,20225.0,17332,56252
2022-01-03 13:00:00,198213,272737,2118,23119,8513.0,35188.0,5962.0,23417.0,18606,29167,0.0,1969.0,6378.0,5021.0,14050.0,20687.0,17064,57466
2022-01-03 14:00:00,190058,268449,1473,23529,8320.0,36242.0,5982.0,23971.0,16944,28768,0.0,1979.0,6361.0,5200.0,14221.0,20855.0,16699,58816
2022-01-03 15:00:00,192428,273844,1206,24350,9732.0,38273.0,5841.0,23882.0,14300,29274,0.0,1979.0,6482.0,5535.0,14550.0,21041.0,16391,61242
2022-01-03 16:00:00,190516,281315,1055,24105,9455.0,38007.0,5532.0,23558.0,13702,31072,0.0,2046.0,6151.0,5326.0,14547.0,20625.0,15956,63810
2022-01-03 17:00:00,185030,278636,981,23765,8682.0,37629.0,5111.0,23340.0,14509,31843,0.0,2398.0,5583.0,4973.0,14838.0,20368.0,15161,60621
2022-01-03 18:00:00,176424,268893,882,23324,7753.0,35243.0,4985.0,22852.0,14881,32306,0.0,2500.0,5041.0,4586.0,14419.0,19675.0,14794,58003
2022-01-03 19:00:00,166359,251772,768,22524,6639.0,32509.0,4895.0,21306.0,15087,31729,0.0,2291.0,4451.0,4316.0,13911.0,18948.0,13703,54823
2022-01-03 20:00:00,161303,238359,824,21649,6307.0,29132.0,4813.0,19825.0,15037,29097,0.0,2150.0,4080.0,4040.0,13610.0,18102.0,12828,52129
2022-01-03 21:00:00,153796,225141,857,20734,6234.0,26221.0,4880.0,18509.0,14543,26455,0.0,1984.0,3692.0,3758.0,13214.0,17269.0,12028,49295
2022-01-03 22:00:00,145973,211453,789,19566,6126.0,23813.0,4727.0,17594.0,14896,24775,0.0,1792.0,3238.0,3577.0,12234.0,17009.0,11360,46530
2022-01-03 23:00:00,147704,200166,824,18383,6035.0,22311.0,4421.0,16880.0,15911,22985,0.0,1587.0,2933.0,3488.0,11811.0,16824.0,10775,44424
2022-01-04 00:00:00,142454,192525,847,17491,6126.0,21366.0,4178.0,16612.0,17277,21880,0.0,1399.0,2736.0,3429.0,11465.0,16796.0,10085,43524
2022-01-04 01:00:00,131827,190963,901,16824,6684.0,21079.0,4185.0,16603.0,17653,21345,0.0,1261.0,2788.0,3454.0,11440.0,16723.0,9834,42615
2022-01-04 02:00:00,122773,193124,938,16628,7298.0,21376.0,3970.0,16936.0,17529,21264,0.0,1242.0,2744.0,3528.0,11984.0,17084.0,8640,42249
2022-01-04 03:00:00,111458,199292,906,17349,7379.0,22797.0,3757.0,17763.0,16689,21935,0.0,1194.0,2475.0,3716.0,12625.0,17985.0,7541,42804
2022-01-04 04:00:00,103242,213215,874,19280,7089.0,26625.0,3568.0,20158.0,15497,24068,0.0,1156.0,2521.0,4255.0,13141.0,19017.0,7402,45047
2022-01-04 05:00:00,99290,235791,866,22153,7686.0,30832.0,3300.0,22051.0,15269,26973,0.0,1148.0,2769.0,4878.0,13342.0,20133.0,6612,49175
2022-01-04 06:00:00,102634,254271,883,22996,9143.0,34806.0,3298.0,23023.0,16653,28993,0.0,1258.0,2726.0,5205.0,14018.0,20800.0,6663,54802
2022-01-04 07:00:00,102328,265425,1504,22979,10427.0,36950.0,3044.0,23454.0,18025,30459,0.0,1530.0,2849.0,5238.0,13934.0,20732.0,5847,59275
2022-01-04 08:00:00,104276,269692,2252,22958,11729.0,37370.0,2804.0,23660.0,19404,31305,0.0,1892.0,3017.0,5314.0,13813.0,20622.0,6418,60815
2022-01-04 09:00:00,109686,272977,2509,23194,12759.0,37404.0,2951.0,24118.0,20493,31355,0.0,2147.0,3309.0,5333.0,13819.0,20849.0,4828,60695
2022-01-04 10:00:00,111281,278605,2554,23504,12949.0,36515.0,2702.0,24361.0,20899,31292,0.0,2285.0,3647.0,5260.0,14133.0,20973.0,5676,60731
2022-01-04 11:00:00,110563,277806,2284,23930,12767.0,35879.0,2537.0,24276.0,20966,31527,0.0,2317.0,3525.0,5227.0,13982.0,20749.0,6077,60624
2022-01-04 12:00:00,110222,273462,2088,23658,12426.0,36285.0,2485.0,24024.0,21698,31273,0.0,2335.0,3734.0,5188.0,13969.0,20770.0,6803,60527
2022-01-04 13:00:00,109492,271398,1944,23807,11059.0,36395.0,2524.0,23959.0,21343,30405,0.0,2393.0,3860.0,5091.0,13862.0,21558.0,6702,60152
2022-01-04 14:00:00,113225,271699,1728,24064,10012.0,37175.0,2580.0,24402.0,20867,30188,0.0,2340.0,3891.0,5299.0,13703.0,21965.0,5948,60484
2022-01-04 15:00:00,118839,275108,1746,24804,10868.0,38809.0,2879.0,24328.0,19832,30488,0.0,2335.0,4117.0,5641.0,13564.0,22098.0,7995,62735
2022-01-04 16:00:00,124073,280297,1746,24481,10472.0,38606.0,3277.0,23992.0,18689,31590,0.0,2424.0,4436.0,5430.0,13413.0,21647.0,7117,65179
2022-01-04 17:00:00,119108,277994,1723,24196,10101.0,38158.0,3373.0,23736.0,19153,32085,0.0,2722.0,5023.0,5147.0,13518.0,21163.0,8768,61854
2022-01-04 18:00:00,120040,270170,1626,23676,9201.0,35807.0,3582.0,23112.0,20384,32753,0.0,1423.0,5355.0,4855.0,13321.0,20499.0,11030,59419
2022-01-04 19:00:00,119765,254412,1613,22830,8793.0,33021.0,3671.0,21669.0,20896,32032,0.0,1255.0,5555.0,4594.0,13039.0,19641.0,11075,56378
2022-01-04 20:00:00,117422,242520,1390,21785,8483.0,29495.0,3579.0,20229.0,20643,29607,0.0,2383.0,5543.0,4322.0,13085.0,19007.0,12467,53698
2022-01-04 21:00:00,120431,230236,1484,20845,8276.0,26393.0,3617.0,18802.0,19585,26964,0.0,2180.0,5439.0,4036.0,12771.0,18021.0,13959,51094
2022-01-04 22:00:00,126816,216521,1476,19721,8697.0,23875.0,3762.0,17752.0,18807,25526,0.0,1964.0,5502.0,3905.0,12694.0,17745.0,13899,48171
2022-01-04 23:00:00,134885,207787,1391,18448,8820.0,22316.0,3620.0,17163.0,19272,23719,0.0,1700.0,5590.0,3780.0,12532.0,17270.0,14492,46082
2022-01-05 00:00:00,146838,200502,1340,17644,9011.0,21457.0,3300.0,16787.0,18999,22560,0.0,1453.0,5059.0,3879.0,12519.0,17050.0,15124,44542
2022-01-05 01:00:00,158191,199264,1276,17016,9327.0,21328.0,3114.0,16803.0,18669,22015,0.0,1326.0,4862.0,3864.0,12491.0,17103.0,15578,44317
2022-01-05 02:00:00,165437,204027,1198,16847,9142.0,21548.0,2866.0,17166.0,18467,21928,0.0,1310.0,4748.0,3871.0,12513.0,17262.0,16051,44149
2022-01-05 03:00:00,167380,211423,1097,17583,9196.0,23074.0,2744.0,17874.0,17598,22317,0.0,1269.0,4708.0,3959.0,12681.0,17810.0,16432,44739
2022-01-05 04:00:00,173898,227155,934,19351,8034.0,26683.0,2839.0,20243.0,16002,24279,0.0,1257.0,4636.0,4512.0,13326.0,19235.0,16694,46258
2022-01-05 05:00:00,171473,251452,955,22297,8602.0,30651.0,2981.0,22207.0,16829,27094,0.0,1283.0,4328.0,5145.0,13734.0,20644.0,17091,49996
2022-01-05 06:00:00,179409,272135,1101,23121,10927.0,34278.0,3317.0,23028.0,17601,29198,0.0,1377.0,3964.0,5389.0,13663.0,21248.0,17407,55534
2022-01-05 07:00:00,187414,282406,1187,23629,12660.0,36402.0,3672.0,23535.0,19498,30892,0.0,1675.0,3692.0,5428.0,13621.0,21376.0,17311,59353
2022-01-05 08:00:00,196723,287659,1362,23905,12720.0,36448.0,3753.0,23727.0,21463,31720,0.0,2125.0,3852.0,5469.0,13411.0,21549.0,17343,61021
2022-01-05 09:00:00,211729,292886,1580,24176,12244.0,36161.0,3968.0,24107.0,22006,31813,0.0,2356.0,4113.0,5472.0,13308.0,21489.0,17411,61124
2022-01-05 10:00:00,222046,297686,1673,24580,12242.0,35419.0,4176.0,24197.0,22693,31696,0.0,2496.0,4341.0,5433.0,13187.0,21319.0,17642,60209
2022-01-05 11:00:00,230056,296793,1579,24634,11765.0,34559.0,4174.0,24215.0,23626,31771,0.0,2560.0,4610.0,5414.0,13349.0,21436.0,17709,59304
2022-01-05 12:00:00,223180,291680,1335,24283,11111.0,35010.0,4461.0,23969.0,22944,31128,0.0,1285.0,4828.0,5362.0,13530.0,21327.0,17398,59158
2022-01-05 13:00:00,209774,287193,980,24548,10983.0,35036.0,4594.0,23816.0,20765,30129,0.0,1296.0,4555.0,5284.0,13869.0,22057.0,17169,59484
2022-01-05 14:00:00,200460,284429,835,24738,11143.0,36026.0,4695.0,24338.0,17798,29775,0.0,2520.0,4324.0,5458.0,14139.0,22197.0,16644,60449
2022-01-05 15:00:00,195316,288704,905,25260,12826.0,37864.0,4853.0,24205.0,15168,29788,0.0,2506.0,4367.0,5818.0,14287.0,22071.0,16623,62690
2022-01-05 16:00:00,191230,294780,1154,24805,13600.0,38054.0,5133.0,23697.0,14752,30554,0.0,2578.0,4284.0,5596.0,14649.0,21801.0,16243,65027
2022-01-05 17:00:00,180867,291879,1247,24515,13402.0,37569.0,5121.0,23425.0,15369,30805,0.0,2905.0,4422.0,5287.0,14895.0,21434.0,15951,62286
2022-01-05 18:00:00,178939,282592,1490,24048,11563.0,35162.0,4804.0,22866.0,14388,31001,0.0,1519.0,4374.0,5031.0,14862.0,20792.0,15696,59793
2022-01-05 19:00:00,173824,265578,1496,23220,10257.0,32140.0,4705.0,21540.0,14223,30267,0.0,1342.0,4204.0,4844.0,14546.0,19817.0,15561,56930
2022-01-05 20:00:00,169373,253115,1485,22289,9695.0,28971.0,4675.0,20089.0,13056,28127,0.0,2531.0,3880.0,4572.0,14316.0,19120.0,13749,54108
2022-01-05 21:00:00,164166,240686,1279,21453,9249.0,26109.0,4577.0,18792.0,12681,26065,0.0,2326.0,3893.0,4315.0,14415.0,18579.0,13216,51647
2022-01-05 22:00:00,159814,226271,1193,20432,9560.0,23797.0,4576.0,17750.0,12611,24523,0.0,2072.0,4032.0,4051.0,14767.0,18215.0,12236,48823
2022-01-05 23:00:00,156419,218188,1240,19179,9183.0,22257.0,4448.0,16977.0,12575,22677,0.0,1772.0,3816.0,3967.0,14818.0,17680.0,13179,46607
2022-01-06 00:00:00,147444,212791,1077,18356,8501.0,21403.0,4527.0,16561.0,13174,21284,0.0,783.0,3476.0,3895.0,14874.0,17514.0,9944,44926
2022-01-06 01:00:00,140564,209749,990,17668,8018.0,20860.0,4430.0,16399.0,14109,20486,0.0,679.0,3085.0,3864.0,14904.0,17502.0,8920,43936
2022-01-06 02:00:00,129930,208091,955,17518,7207.0,20830.0,4711.0,16401.0,14237,20148,0.0,678.0,2797.0,3941.0,14903.0,17795.0,6800,43617
2022-01-06 03:00:00,118602,212166,949,18269,6294.0,21359.0,4835.0,16213.0,13407,20108,0.0,623.0,2446.0,4163.0,14913.0,18109.0,4985,44290
2022-01-06 04:00:00,108953,219986,991,20137,5620.0,22470.0,4437.0,16250.0,12129,20607,0.0,1184.0,2078.0,4765.0,15227.0,18714.0,3253,46569
2022-01-06 05:00:00,100501,235912,1022,23160,7167.0,24291.0,4038.0,16590.0,11939,21292,0.0,1193.0,1909.0,5371.0,15475.0,19147.0,2370,51235
2022-01-06 06:00:00,96003,252192,1020,24170,8968.0,25936.0,4092.0,17087.0,12573,21817,0.0,617.0,1919.0,5633.0,15920.0,20168.0,2009,57237
2022-01-06 07:00:00,92819,257922,1342,24458,10934.0,27884.0,4766.0,18076.0,14299,23300,0.0,847.0,1941.0,5608.0,16367.0,20826.0,1130,60865
2022-01-06 08:00:00,91716,262160,2016,24250,11496.0,29106.0,5163.0,18799.0,16376,24752,0.0,2073.0,2064.0,5592.0,16174.0,21258.0,1292,59895
2022-01-06 09:00:00,96029,263766,2532,24073,10382.0,29169.0,5699.0,19315.0,17448,25040,0.0,2304.0,2023.0,5447.0,15977.0,21169.0,2110,56254
2022-01-06 10:00:00,97774,265922,2849,24298,10329.0,29057.0,6091.0,19658.0,17932,24856,0.0,2411.0,1911.0,5326.0,15848.0,21064.0,2830,53946
2022-01-06 11:00:00,95996,262184,2816,24507,9295.0,27238.0,5733.0,19860.0,18716,25111,0.0,2439.0,1807.0,5293.0,15754.0,20625.0,4301,52892
2022-01-06 12:00:00,90046,255998,2346,24278,8366.0,26974.0,5352.0,19875.0,20291,25319,0.0,2443.0,1629.0,5205.0,15825.0,20709.0,5335,53562
2022-01-06 13:00:00,79468,251343,1942,24527,7028.0,27105.0,4756.0,19753.0,20685,24387,0.0,2425.0,1503.0,5163.0,15794.0,21371.0,6258,55745
2022-01-06 14:00:00,67903,249755,1741,24744,6405.0,27979.0,4830.0,20402.0,19306,23876,0.0,2318.0,1724.0,5410.0,15878.0,21680.0,8040,58746
2022-01-06 15:00:00,73219,258153,1389,25493,7969.0,31157.0,5017.0,20552.0,15432,24388,0.0,2321.0,1987.0,5817.0,15907.0,21954.0,9305,62312
