StartTime,EndTime,AreaID,UnitName,PsrType,quantity,time_interval
2020-12-31 23:00:00+00:00,2021-01-01 00:00:00+00:00,10Y1001A1001A65H,MAW,B18,257,0 days 01:00:00
2021-01-01 00:00:00+00:00,2021-01-01 01:00:00+00:00,10Y1001A1001A65H,MAW,B18,247,0 days 01:00:00
2021-01-01 01:00:00+00:00,2021-01-01 02:00:00+00:00,10Y1001A1001A65H,MAW,B18,207,0 days 01:00:00
2021-01-01 02:00:00+00:00,2021-01-01 03:00:00+00:00,10Y1001A1001A65H,MAW,B18,176,0 days 01:00:00
2021-01-01 03:00:00+00:00,2021-01-01 04:00:00+00:00,10Y1001A1001A65H,MAW,B18,138,0 days 01:00:00
2021-01-01 04:00:00+00:00,2021-01-01 05:00:00+00:00,10Y1001A1001A65H,MAW,B18,110,0 days 01:00:00
2021-01-01 05:00:00+00:00,2021-01-01 06:00:00+00:00,10Y1001A1001A65H,MAW,B18,95,0 days 01:00:00
2021-01-01 06:00:00+00:00,2021-01-01 07:00:00+00:00,10Y1001A1001A65H,MAW,B18,84,0 days 01:00:00
2021-01-01 07:00:00+00:00,2021-01-01 08:00:00+00:00,10Y1001A1001A65H,MAW,B18,99,0 days 01:00:00
2021-01-01 08:00:00+00:00,2021-01-01 09:00:00+00:00,10Y1001A1001A65H,MAW,B18,123,0 days 01:00:00
2021-01-01 09:00:00+00:00,2021-01-01 10:00:00+00:00,10Y1001A1001A65H,MAW,B18,128,0 days 01:00:00
2021-01-01 10:00:00+00:00,2021-01-01 11:00:00+00:00,10Y1001A1001A65H,MAW,B18,95,0 days 01:00:00
2021-01-01 11:00:00+00:00,2021-01-01 12:00:00+00:00,10Y1001A1001A65H,MAW,B18,49,0 days 01:00:00
2021-01-01 12:00:00+00:00,2021-01-01 13:00:00+00:00,10Y1001A1001A65H,MAW,B18,48,0 days 01:00:00
2021-01-01 13:00:00+00:00,2021-01-01 14:00:00+00:00,10Y1001A1001A65H,MAW,B18,44,0 days 01:00:00
2021-01-01 14:00:00+00:00,2021-01-01 15:00:00+00:00,10Y1001A1001A65H,MAW,B18,42,0 days 01:00:00
2021-01-01 15:00:00+00:00,2021-01-01 16:00:00+00:00,10Y1001A1001A65H,MAW,B18,59,0 days 01:00:00
2021-01-01 16:00:00+00:00,2021-01-01 17:00:00+00:00,10Y1001A1001A65H,MAW,B18,59,0 days 01:00:00
2021-01-01 17:00:00+00:00,2021-01-01 18:00:00+00:00,10Y1001A1001A65H,MAW,B18,33,0 days 01:00:00
2021-01-01 18:00:00+00:00,2021-01-01 19:00:00+00:00,10Y1001A1001A65H,MAW,B18,14,0 days 01:00:00
2021-01-01 19:00:00+00:00,2021-01-01 20:00:00+00:00,10Y1001A1001A65H,MAW,B18,6,0 days 01:00:00
2021-01-01 20:00:00+00:00,2021-01-01 21:00:00+00:00,10Y1001A1001A65H,MAW,B18,4,0 days 01:00:00
2021-01-01 21:00:00+00:00,2021-01-01 22:00:00+00:00,10Y1001A1001A65H,MAW,B18,9,0 days 01:00:00
2021-01-01 22:00:00+00:00,2021-01-01 23:00:00+00:00,10Y1001A1001A65H,MAW,B18,24,0 days 01:00:00
2021-01-01 23:00:00+00:00,2021-01-02 00:00:00+00:00,10Y1001A1001A65H,MAW,B18,8,0 days 01:00:00
2021-01-02 00:00:00+00:00,2021-01-02 01:00:00+00:00,10Y1001A1001A65H,MAW,B18,1,0 days 01:00:00
2021-01-02 01:00:00+00:00,2021-01-02 02:00:00+00:00,10Y1001A1001A65H,MAW,B18,12,0 days 01:00:00
2021-01-02 02:00:00+00:00,2021-01-02 03:00:00+00:00,10Y1001A1001A65H,MAW,B18,27,0 days 01:00:00
2021-01-02 03:00:00+00:00,2021-01-02 04:00:00+00:00,10Y1001A1001A65H,MAW,B18,47,0 days 01:00:00
2021-01-02 04:00:00+00:00,2021-01-02 05:00:00+00:00,10Y1001A1001A65H,MAW,B18,49,0 days 01:00:00
2021-01-02 05:00:00+00:00,2021-01-02 06:00:00+00:00,10Y1001A1001A65H,MAW,B18,24,0 days 01:00:00
2021-01-02 06:00:00+00:00,2021-01-02 07:00:00+00:00,10Y1001A1001A65H,MAW,B18,35,0 days 01:00:00
2021-01-02 07:00:00+00:00,2021-01-02 08:00:00+00:00,10Y1001A1001A65H,MAW,B18,35,0 days 01:00:00
2021-01-02 08:00:00+00:00,2021-01-02 09:00:00+00:00,10Y1001A1001A65H,MAW,B18,33,0 days 01:00:00
2021-01-02 09:00:00+00:00,2021-01-02 10:00:00+00:00,10Y1001A1001A65H,MAW,B18,49,0 days 01:00:00
2021-01-02 10:00:00+00:00,2021-01-02 11:00:00+00:00,10Y1001A1001A65H,MAW,B18,48,0 days 01:00:00
2021-01-02 11:00:00+00:00,2021-01-02 12:00:00+00:00,10Y1001A1001A65H,MAW,B18,31,0 days 01:00:00
2021-01-02 12:00:00+00:00,2021-01-02 13:00:00+00:00,10Y1001A1001A65H,MAW,B18,37,0 days 01:00:00
2021-01-02 13:00:00+00:00,2021-01-02 14:00:00+00:00,10Y1001A1001A65H,MAW,B18,70,0 days 01:00:00
2021-01-02 14:00:00+00:00,2021-01-02 15:00:00+00:00,10Y1001A1001A65H,MAW,B18,105,0 days 01:00:00
2021-01-02 15:00:00+00:00,2021-01-02 16:00:00+00:00,10Y1001A1001A65H,MAW,B18,123,0 days 01:00:00
2021-01-02 16:00:00+00:00,2021-01-02 17:00:00+00:00,10Y1001A1001A65H,MAW,B18,134,0 days 01:00:00
2021-01-02 17:00:00+00:00,2021-01-02 18:00:00+00:00,10Y1001A1001A65H,MAW,B18,184,0 days 01:00:00
2021-01-02 18:00:00+00:00,2021-01-02 19:00:00+00:00,10Y1001A1001A65H,MAW,B18,264,0 days 01:00:00
2021-01-02 19:00:00+00:00,2021-01-02 20:00:00+00:00,10Y1001A1001A65H,MAW,B18,318,0 days 01:00:00
2021-01-02 20:00:00+00:00,2021-01-02 21:00:00+00:00,10Y1001A1001A65H,MAW,B18,332,0 days 01:00:00
2021-01-02 21:00:00+00:00,2021-01-02 22:00:00+00:00,10Y1001A1001A65H,MAW,B18,307,0 days 01:00:00
2021-01-02 22:00:00+00:00,2021-01-02 23:00:00+00:00,10Y1001A1001A65H,MAW,B18,279,0 days 01:00:00
2021-01-02 23:00:00+00:00,2021-01-03 00:00:00+00:00,10Y1001A1001A65H,MAW,B18,292,0 days 01:00:00
2021-01-03 00:00:00+00:00,2021-01-03 01:00:00+00:00,10Y1001A1001A65H,MAW,B18,357,0 days 01:00:00
2021-01-03 01:00:00+00:00,2021-01-03 02:00:00+00:00,10Y1001A1001A65H,MAW,B18,500,0 days 01:00:00
2021-01-03 02:00:00+00:00,2021-01-03 03:00:00+00:00,10Y1001A1001A65H,MAW,B18,504,0 days 01:00:00
2021-01-03 03:00:00+00:00,2021-01-03 04:00:00+00:00,10Y1001A1001A65H,MAW,B18,548,0 days 01:00:00
2021-01-03 04:00:00+00:00,2021-01-03 05:00:00+00:00,10Y1001A1001A65H,MAW,B18,744,0 days 01:00:00
2021-01-03 05:00:00+00:00,2021-01-03 06:00:00+00:00,10Y1001A1001A65H,MAW,B18,774,0 days 01:00:00
2021-01-03 06:00:00+00:00,2021-01-03 07:00:00+00:00,10Y1001A1001A65H,MAW,B18,891,0 days 01:00:00
2021-01-03 07:00:00+00:00,2021-01-03 08:00:00+00:00,10Y1001A1001A65H,MAW,B18,915,0 days 01:00:00
2021-01-03 08:00:00+00:00,2021-01-03 09:00:00+00:00,10Y1001A1001A65H,MAW,B18,958,0 days 01:00:00
2021-01-03 09:00:00+00:00,2021-01-03 10:00:00+00:00,10Y1001A1001A65H,MAW,B18,854,0 days 01:00:00
2021-01-03 10:00:00+00:00,2021-01-03 11:00:00+00:00,10Y1001A1001A65H,MAW,B18,1011,0 days 01:00:00
2021-01-03 11:00:00+00:00,2021-01-03 12:00:00+00:00,10Y1001A1001A65H,MAW,B18,993,0 days 01:00:00
2021-01-03 12:00:00+00:00,2021-01-03 13:00:00+00:00,10Y1001A1001A65H,MAW,B18,992,0 days 01:00:00
2021-01-03 13:00:00+00:00,2021-01-03 14:00:00+00:00,10Y1001A1001A65H,MAW,B18,1044,0 days 01:00:00
2021-01-03 14:00:00+00:00,2021-01-03 15:00:00+00:00,10Y1001A1001A65H,MAW,B18,1087,0 days 01:00:00
2021-01-03 15:00:00+00:00,2021-01-03 16:00:00+00:00,10Y1001A1001A65H,MAW,B18,1257,0 days 01:00:00
2021-01-03 16:00:00+00:00,2021-01-03 17:00:00+00:00,10Y1001A1001A65H,MAW,B18,1343,0 days 01:00:00
2021-01-03 17:00:00+00:00,2021-01-03 18:00:00+00:00,10Y1001A1001A65H,MAW,B18,1072,0 days 01:00:00
2021-01-03 18:00:00+00:00,2021-01-03 19:00:00+00:00,10Y1001A1001A65H,MAW,B18,1030,0 days 01:00:00
2021-01-03 19:00:00+00:00,2021-01-03 20:00:00+00:00,10Y1001A1001A65H,MAW,B18,1030,0 days 01:00:00
2021-01-03 20:00:00+00:00,2021-01-03 21:00:00+00:00,10Y1001A1001A65H,MAW,B18,1116,0 days 01:00:00
2021-01-03 21:00:00+00:00,2021-01-03 22:00:00+00:00,10Y1001A1001A65H,MAW,B18,1104,0 days 01:00:00
2021-01-03 22:00:00+00:00,2021-01-03 23:00:00+00:00,10Y1001A1001A65H,MAW,B18,1046,0 days 01:00:00
2021-01-03 23:00:00+00:00,2021-01-04 00:00:00+00:00,10Y1001A1001A65H,MAW,B18,1339,0 days 01:00:00
2021-01-04 00:00:00+00:00,2021-01-04 01:00:00+00:00,10Y1001A1001A65H,MAW,B18,1043,0 days 01:00:00
2021-01-04 01:00:00+00:00,2021-01-04 02:00:00+00:00,10Y1001A1001A65H,MAW,B18,1007,0 days 01:00:00
2021-01-04 02:00:00+00:00,2021-01-04 03:00:00+00:00,10Y1001A1001A65H,MAW,B18,857,0 days 01:00:00
2021-01-04 03:00:00+00:00,2021-01-04 04:00:00+00:00,10Y1001A1001A65H,MAW,B18,926,0 days 01:00:00
2021-01-04 04:00:00+00:00,2021-01-04 05:00:00+00:00,10Y1001A1001A65H,MAW,B18,1037,0 days 01:00:00
2021-01-04 05:00:00+00:00,2021-01-04 06:00:00+00:00,10Y1001A1001A65H,MAW,B18,1106,0 days 01:00:00
2021-01-04 06:00:00+00:00,2021-01-04 07:00:00+00:00,10Y1001A1001A65H,MAW,B18,1060,0 days 01:00:00
2021-01-04 07:00:00+00:00,2021-01-04 08:00:00+00:00,10Y1001A1001A65H,MAW,B18,1250,0 days 01:00:00
2021-01-04 08:00:00+00:00,2021-01-04 09:00:00+00:00,10Y1001A1001A65H,MAW,B18,1267,0 days 01:00:00
2021-01-04 09:00:00+00:00,2021-01-04 10:00:00+00:00,10Y1001A1001A65H,MAW,B18,1223,0 days 01:00:00
2021-01-04 10:00:00+00:00,2021-01-04 11:00:00+00:00,10Y1001A1001A65H,MAW,B18,1307,0 days 01:00:00
2021-01-04 11:00:00+00:00,2021-01-04 12:00:00+00:00,10Y1001A1001A65H,MAW,B18,1351,0 days 01:00:00
2021-01-04 12:00:00+00:00,2021-01-04 13:00:00+00:00,10Y1001A1001A65H,MAW,B18,1367,0 days 01:00:00
2021-01-04 13:00:00+00:00,2021-01-04 14:00:00+00:00,10Y1001A1001A65H,MAW,B18,1392,0 days 01:00:00
2021-01-04 14:00:00+00:00,2021-01-04 15:00:00+00:00,10Y1001A1001A65H,MAW,B18,1416,0 days 01:00:00
2021-01-04 15:00:00+00:00,2021-01-04 16:00:00+00:00,10Y1001A1001A65H,MAW,B18,1290,0 days 01:00:00
2021-01-04 16:00:00+00:00,2021-01-04 17:00:00+00:00,10Y1001A1001A65H,MAW,B18,1250,0 days 01:00:00
2021-01-04 17:00:00+00:00,2021-01-04 18:00:00+00:00,10Y1001A1001A65H,MAW,B18,1374,0 days 01:00:00
2021-01-04 18:00:00+00:00,2021-01-04 19:00:00+00:00,10Y1001A1001A65H,MAW,B18,1339,0 days 01:00:00
2021-01-04 19:00:00+00:00,2021-01-04 20:00:00+00:00,10Y1001A1001A65H,MAW,B18,1315,0 days 01:00:00
2021-01-04 20:00:00+00:00,2021-01-04 21:00:00+00:00,10Y1001A1001A65H,MAW,B18,1314,0 days 01:00:00
2021-01-04 21:00:00+00:00,2021-01-04 22:00:00+00:00,10Y1001A1001A65H,MAW,B18,1293,0 days 01:00:00
2021-01-04 22:00:00+00:00,2021-01-04 23:00:00+00:00,10Y1001A1001A65H,MAW,B18,1342,0 days 01:00:00
2021-01-04 23:00:00+00:00,2021-01-05 00:00:00+00:00,10Y1001A1001A65H,MAW,B18,1420,0 days 01:00:00
