StartTime,EndTime,AreaID,UnitName,PsrType,quantity,time_interval
2020-12-31 23:00:00+00:00,2021-01-01 00:00:00+00:00,10YSE-1--------K,MAW,B12,10419,0 days 01:00:00
2021-01-01 00:00:00+00:00,2021-01-01 01:00:00+00:00,10YSE-1--------K,MAW,B12,10280,0 days 01:00:00
2021-01-01 01:00:00+00:00,2021-01-01 02:00:00+00:00,10YSE-1--------K,MAW,B12,10221,0 days 01:00:00
2021-01-01 02:00:00+00:00,2021-01-01 03:00:00+00:00,10YSE-1--------K,MAW,B12,10302,0 days 01:00:00
2021-01-01 03:00:00+00:00,2021-01-01 04:00:00+00:00,10YSE-1--------K,MAW,B12,10352,0 days 01:00:00
2021-01-01 04:00:00+00:00,2021-01-01 05:00:00+00:00,10YSE-1--------K,MAW,B12,10427,0 days 01:00:00
2021-01-01 05:00:00+00:00,2021-01-01 06:00:00+00:00,10YSE-1--------K,MAW,B12,10451,0 days 01:00:00
2021-01-01 06:00:00+00:00,2021-01-01 07:00:00+00:00,10YSE-1--------K,MAW,B12,10571,0 days 01:00:00
2021-01-01 07:00:00+00:00,2021-01-01 08:00:00+00:00,10YSE-1--------K,MAW,B12,10820,0 days 01:00:00
2021-01-01 08:00:00+00:00,2021-01-01 09:00:00+00:00,10YSE-1--------K,MAW,B12,11156,0 days 01:00:00
2021-01-01 09:00:00+00:00,2021-01-01 10:00:00+00:00,10YSE-1--------K,MAW,B12,11230,0 days 01:00:00
2021-01-01 10:00:00+00:00,2021-01-01 11:00:00+00:00,10YSE-1--------K,MAW,B12,11487,0 days 01:00:00
2021-01-01 11:00:00+00:00,2021-01-01 12:00:00+00:00,10YSE-1--------K,MAW,B12,11535,0 days 01:00:00
2021-01-01 12:00:00+00:00,2021-01-01 13:00:00+00:00,10YSE-1--------K,MAW,B12,11622,0 days 01:00:00
2021-01-01 13:00:00+00:00,2021-01-01 14:00:00+00:00,10YSE-1--------K,MAW,B12,11927,0 days 01:00:00
2021-01-01 14:00:00+00:00,2021-01-01 15:00:00+00:00,10YSE-1--------K,MAW,B12,11993,0 days 01:00:00
2021-01-01 15:00:00+00:00,2021-01-01 16:00:00+00:00,10YSE-1--------K,MAW,B12,11919,0 days 01:00:00
2021-01-01 16:00:00+00:00,2021-01-01 17:00:00+00:00,10YSE-1--------K,MAW,B12,11906,0 days 01:00:00
2021-01-01 17:00:00+00:00,2021-01-01 18:00:00+00:00,10YSE-1--------K,MAW,B12,11766,0 days 01:00:00
2021-01-01 18:00:00+00:00,2021-01-01 19:00:00+00:00,10YSE-1--------K,MAW,B12,11569,0 days 01:00:00
2021-01-01 19:00:00+00:00,2021-01-01 20:00:00+00:00,10YSE-1--------K,MAW,B12,11218,0 days 01:00:00
2021-01-01 20:00:00+00:00,2021-01-01 21:00:00+00:00,10YSE-1--------K,MAW,B12,10812,0 days 01:00:00
2021-01-01 21:00:00+00:00,2021-01-01 22:00:00+00:00,10YSE-1--------K,MAW,B12,10730,0 days 01:00:00
2021-01-01 22:00:00+00:00,2021-01-01 23:00:00+00:00,10YSE-1--------K,MAW,B12,10350,0 days 01:00:00
2021-01-01 23:00:00+00:00,2021-01-02 00:00:00+00:00,10YSE-1--------K,MAW,B12,10379,0 days 01:00:00
2021-01-02 00:00:00+00:00,2021-01-02 01:00:00+00:00,10YSE-1--------K,MAW,B12,10330,0 days 01:00:00
2021-01-02 01:00:00+00:00,2021-01-02 02:00:00+00:00,10YSE-1--------K,MAW,B12,10336,0 days 01:00:00
2021-01-02 02:00:00+00:00,2021-01-02 03:00:00+00:00,10YSE-1--------K,MAW,B12,10342,0 days 01:00:00
2021-01-02 03:00:00+00:00,2021-01-02 04:00:00+00:00,10YSE-1--------K,MAW,B12,10414,0 days 01:00:00
2021-01-02 04:00:00+00:00,2021-01-02 05:00:00+00:00,10YSE-1--------K,MAW,B12,10338,0 days 01:00:00
2021-01-02 05:00:00+00:00,2021-01-02 06:00:00+00:00,10YSE-1--------K,MAW,B12,10478,0 days 01:00:00
2021-01-02 06:00:00+00:00,2021-01-02 07:00:00+00:00,10YSE-1--------K,MAW,B12,10615,0 days 01:00:00
2021-01-02 07:00:00+00:00,2021-01-02 08:00:00+00:00,10YSE-1--------K,MAW,B12,11171,0 days 01:00:00
2021-01-02 08:00:00+00:00,2021-01-02 09:00:00+00:00,10YSE-1--------K,MAW,B12,11704,0 days 01:00:00
2021-01-02 09:00:00+00:00,2021-01-02 10:00:00+00:00,10YSE-1--------K,MAW,B12,11828,0 days 01:00:00
2021-01-02 10:00:00+00:00,2021-01-02 11:00:00+00:00,10YSE-1--------K,MAW,B12,11909,0 days 01:00:00
2021-01-02 11:00:00+00:00,2021-01-02 12:00:00+00:00,10YSE-1--------K,MAW,B12,11907,0 days 01:00:00
2021-01-02 12:00:00+00:00,2021-01-02 13:00:00+00:00,10YSE-1--------K,MAW,B12,11968,0 days 01:00:00
2021-01-02 13:00:00+00:00,2021-01-02 14:00:00+00:00,10YSE-1--------K,MAW,B12,12165,0 days 01:00:00
2021-01-02 14:00:00+00:00,2021-01-02 15:00:00+00:00,10YSE-1--------K,MAW,B12,12111,0 days 01:00:00
2021-01-02 15:00:00+00:00,2021-01-02 16:00:00+00:00,10YSE-1--------K,MAW,B12,12115,0 days 01:00:00
2021-01-02 16:00:00+00:00,2021-01-02 17:00:00+00:00,10YSE-1--------K,MAW,B12,12049,0 days 01:00:00
2021-01-02 17:00:00+00:00,2021-01-02 18:00:00+00:00,10YSE-1--------K,MAW,B12,11783,0 days 01:00:00
2021-01-02 18:00:00+00:00,2021-01-02 19:00:00+00:00,10YSE-1--------K,MAW,B12,11446,0 days 01:00:00
2021-01-02 19:00:00+00:00,2021-01-02 20:00:00+00:00,10YSE-1--------K,MAW,B12,11025,0 days 01:00:00
2021-01-02 20:00:00+00:00,2021-01-02 21:00:00+00:00,10YSE-1--------K,MAW,B12,10653,0 days 01:00:00
2021-01-02 21:00:00+00:00,2021-01-02 22:00:00+00:00,10YSE-1--------K,MAW,B12,10398,0 days 01:00:00
2021-01-02 22:00:00+00:00,2021-01-02 23:00:00+00:00,10YSE-1--------K,MAW,B12,9884,0 days 01:00:00
2021-01-02 23:00:00+00:00,2021-01-03 00:00:00+00:00,10YSE-1--------K,MAW,B12,9784,0 days 01:00:00
2021-01-03 00:00:00+00:00,2021-01-03 01:00:00+00:00,10YSE-1--------K,MAW,B12,9671,0 days 01:00:00
2021-01-03 01:00:00+00:00,2021-01-03 02:00:00+00:00,10YSE-1--------K,MAW,B12,9637,0 days 01:00:00
2021-01-03 02:00:00+00:00,2021-01-03 03:00:00+00:00,10YSE-1--------K,MAW,B12,9729,0 days 01:00:00
