start_time,energy_generated
2021-12-31 23:00:00,1875
2022-01-01 00:00:00,1904
2022-01-01 01:00:00,1738
2022-01-01 02:00:00,1436
2022-01-01 03:00:00,1505
2022-01-01 04:00:00,1391
2022-01-01 05:00:00,1407
2022-01-01 06:00:00,1098
2022-01-01 07:00:00,734
2022-01-01 08:00:00,703
2022-01-01 09:00:00,610
2022-01-01 10:00:00,653
2022-01-01 11:00:00,714
2022-01-01 12:00:00,763
2022-01-01 13:00:00,893
2022-01-01 14:00:00,1034
2022-01-01 15:00:00,1102
2022-01-01 16:00:00,1415
2022-01-01 17:00:00,1748
2022-01-01 18:00:00,1962
2022-01-01 19:00:00,2075
2022-01-01 20:00:00,2048
2022-01-01 21:00:00,2056
2022-01-01 22:00:00,1950
2022-01-01 23:00:00,1838
2022-01-02 00:00:00,1861
2022-01-02 01:00:00,1853
2022-01-02 02:00:00,1826
2022-01-02 03:00:00,1831
2022-01-02 04:00:00,1680
2022-01-02 05:00:00,1660
2022-01-02 06:00:00,1579
2022-01-02 07:00:00,1534
2022-01-02 08:00:00,1386
2022-01-02 09:00:00,1197
2022-01-02 10:00:00,1052
2022-01-02 11:00:00,736
2022-01-02 12:00:00,709
2022-01-02 13:00:00,976
2022-01-02 14:00:00,1289
2022-01-02 15:00:00,1436
2022-01-02 16:00:00,1747
2022-01-02 17:00:00,1908
2022-01-02 18:00:00,1997
2022-01-02 19:00:00,1970
2022-01-02 20:00:00,1839
2022-01-02 21:00:00,1747
2022-01-02 22:00:00,1585
2022-01-02 23:00:00,1395
2022-01-03 00:00:00,1284
2022-01-03 01:00:00,1132
2022-01-03 02:00:00,1396
2022-01-03 03:00:00,1725
2022-01-03 04:00:00,1852
2022-01-03 05:00:00,1846
2022-01-03 06:00:00,1970
2022-01-03 07:00:00,2032
2022-01-03 08:00:00,2071
2022-01-03 09:00:00,2086
2022-01-03 10:00:00,2091
2022-01-03 11:00:00,2088
2022-01-03 12:00:00,2060
2022-01-03 13:00:00,2081
2022-01-03 14:00:00,2035
2022-01-03 15:00:00,2070
2022-01-03 16:00:00,2000
2022-01-03 17:00:00,2013
2022-01-03 18:00:00,1955
2022-01-03 19:00:00,1650
2022-01-03 20:00:00,1527
2022-01-03 21:00:00,1481
2022-01-03 22:00:00,1401
2022-01-03 23:00:00,1293
2022-01-04 00:00:00,1191
2022-01-04 01:00:00,1176
2022-01-04 02:00:00,1073
2022-01-04 03:00:00,772
2022-01-04 04:00:00,705
2022-01-04 05:00:00,858
2022-01-04 06:00:00,819
2022-01-04 07:00:00,918
2022-01-04 08:00:00,1021
2022-01-04 09:00:00,1227
2022-01-04 10:00:00,1436
2022-01-04 11:00:00,1205
2022-01-04 12:00:00,1308
2022-01-04 13:00:00,1437
2022-01-04 14:00:00,1251
2022-01-04 15:00:00,1324
2022-01-04 16:00:00,1608
2022-01-04 17:00:00,1963
2022-01-04 18:00:00,1957
2022-01-04 19:00:00,1998
2022-01-04 20:00:00,2049
2022-01-04 21:00:00,2096
2022-01-04 22:00:00,2026
2022-01-04 23:00:00,2098
2022-01-05 00:00:00,2053
2022-01-05 01:00:00,2013
2022-01-05 02:00:00,2060
2022-01-05 03:00:00,2092
2022-01-05 04:00:00,2040
2022-01-05 05:00:00,1980
2022-01-05 06:00:00,1943
2022-01-05 07:00:00,1938
2022-01-05 08:00:00,1954
2022-01-05 09:00:00,1859
2022-01-05 10:00:00,1804
2022-01-05 11:00:00,1788
2022-01-05 12:00:00,1959
2022-01-05 13:00:00,1924
2022-01-05 14:00:00,1707
2022-01-05 15:00:00,1614
2022-01-05 16:00:00,1521
2022-01-05 17:00:00,1638
2022-01-05 18:00:00,1783
2022-01-05 19:00:00,1820
2022-01-05 20:00:00,1631
2022-01-05 21:00:00,1645
2022-01-05 22:00:00,1933
2022-01-05 23:00:00,1874
2022-01-06 00:00:00,1686
2022-01-06 01:00:00,1504
2022-01-06 02:00:00,1387
2022-01-06 03:00:00,1161
2022-01-06 04:00:00,898
2022-01-06 05:00:00,810
2022-01-06 06:00:00,797
2022-01-06 07:00:00,650
2022-01-06 08:00:00,512
2022-01-06 09:00:00,400
2022-01-06 10:00:00,348
2022-01-06 11:00:00,354
2022-01-06 12:00:00,332
2022-01-06 13:00:00,295
2022-01-06 14:00:00,379
2022-01-06 15:00:00,504
2022-01-06 16:00:00,743
2022-01-06 17:00:00,962
2022-01-06 18:00:00,1127
2022-01-06 19:00:00,1235
2022-01-06 20:00:00,1335
2022-01-06 21:00:00,1446
2022-01-06 22:00:00,1556
2022-01-06 23:00:00,1737
2022-01-07 00:00:00,1774
2022-01-07 01:00:00,1958
2022-01-07 02:00:00,2029
2022-01-07 03:00:00,2040
2022-01-07 04:00:00,2064
2022-01-07 05:00:00,2055
2022-01-07 06:00:00,1968
2022-01-07 07:00:00,1583
2022-01-07 08:00:00,1845
2022-01-07 09:00:00,1869
2022-01-07 10:00:00,1880
2022-01-07 11:00:00,1917
2022-01-07 12:00:00,1714
2022-01-07 13:00:00,1687
2022-01-07 14:00:00,1386
2022-01-07 15:00:00,1259
2022-01-07 16:00:00,1297
2022-01-07 17:00:00,1588
2022-01-07 18:00:00,1566
2022-01-07 19:00:00,1459
2022-01-07 20:00:00,1390
2022-01-07 21:00:00,1452
2022-01-07 22:00:00,1194
2022-01-07 23:00:00,1016
2022-01-08 00:00:00,987
2022-01-08 01:00:00,1249
2022-01-08 02:00:00,1098
2022-01-08 03:00:00,1115
2022-01-08 04:00:00,1559
2022-01-08 05:00:00,1749
2022-01-08 06:00:00,1756
2022-01-08 07:00:00,1839
2022-01-08 08:00:00,1848
2022-01-08 09:00:00,1671
2022-01-08 10:00:00,1672
2022-01-08 11:00:00,1753
2022-01-08 12:00:00,1652
