start_time,energy_generated
2021-12-31 23:00:00,0
2022-01-01 00:00:00,0
2022-01-01 01:00:00,0
2022-01-01 02:00:00,0
2022-01-01 03:00:00,0
2022-01-01 04:00:00,0
2022-01-01 05:00:00,43
2022-01-01 06:00:00,900
2022-01-01 07:00:00,2457
2022-01-01 08:00:00,3817
2022-01-01 09:00:00,4427
2022-01-01 10:00:00,4720
2022-01-01 11:00:00,4516
2022-01-01 12:00:00,3544
2022-01-01 13:00:00,1603
2022-01-01 14:00:00,154
2022-01-01 15:00:00,0
2022-01-01 16:00:00,0
2022-01-01 17:00:00,0
2022-01-01 18:00:00,0
2022-01-01 19:00:00,0
2022-01-01 20:00:00,0
2022-01-01 21:00:00,0
2022-01-01 22:00:00,0
2022-01-01 23:00:00,0
2022-01-02 00:00:00,0
2022-01-02 01:00:00,0
2022-01-02 02:00:00,0
2022-01-02 03:00:00,0
2022-01-02 04:00:00,0
2022-01-02 05:00:00,46
2022-01-02 06:00:00,759
2022-01-02 07:00:00,2022
2022-01-02 08:00:00,3251
2022-01-02 09:00:00,4117
2022-01-02 10:00:00,4476
2022-01-02 11:00:00,4047
2022-01-02 12:00:00,2778
2022-01-02 13:00:00,1221
2022-01-02 14:00:00,118
2022-01-02 15:00:00,4
2022-01-02 16:00:00,0
2022-01-02 17:00:00,0
2022-01-02 18:00:00,0
2022-01-02 19:00:00,0
2022-01-02 20:00:00,0
2022-01-02 21:00:00,0
2022-01-02 22:00:00,0
2022-01-02 23:00:00,0
2022-01-03 00:00:00,0
2022-01-03 01:00:00,0
2022-01-03 02:00:00,0
2022-01-03 03:00:00,0
2022-01-03 04:00:00,0
2022-01-03 05:00:00,47
2022-01-03 06:00:00,844
2022-01-03 07:00:00,2348
2022-01-03 08:00:00,3523
2022-01-03 09:00:00,3823
2022-01-03 10:00:00,3770
2022-01-03 11:00:00,3327
2022-01-03 12:00:00,2322
2022-01-03 13:00:00,1217
2022-01-03 14:00:00,192
2022-01-03 15:00:00,24
2022-01-03 16:00:00,0
2022-01-03 17:00:00,0
2022-01-03 18:00:00,0
2022-01-03 19:00:00,0
2022-01-03 20:00:00,0
2022-01-03 21:00:00,0
2022-01-03 22:00:00,0
2022-01-03 23:00:00,0
2022-01-04 00:00:00,0
2022-01-04 01:00:00,0
2022-01-04 02:00:00,0
2022-01-04 03:00:00,0
2022-01-04 04:00:00,0
2022-01-04 05:00:00,45
2022-01-04 06:00:00,687
2022-01-04 07:00:00,1899
2022-01-04 08:00:00,3158
2022-01-04 09:00:00,3672
2022-01-04 10:00:00,3649
2022-01-04 11:00:00,3296
2022-01-04 12:00:00,2357
2022-01-04 13:00:00,1119
2022-01-04 14:00:00,176
2022-01-04 15:00:00,18
2022-01-04 16:00:00,0
2022-01-04 17:00:00,0
2022-01-04 18:00:00,0
2022-01-04 19:00:00,0
2022-01-04 20:00:00,0
2022-01-04 21:00:00,0
2022-01-04 22:00:00,0
2022-01-04 23:00:00,0
2022-01-05 00:00:00,0
2022-01-05 01:00:00,0
2022-01-05 02:00:00,0
2022-01-05 03:00:00,0
2022-01-05 04:00:00,0
2022-01-05 05:00:00,57
2022-01-05 06:00:00,824
2022-01-05 07:00:00,2278
2022-01-05 08:00:00,3243
2022-01-05 09:00:00,3847
2022-01-05 10:00:00,4064
2022-01-05 11:00:00,3542
2022-01-05 12:00:00,2592
2022-01-05 13:00:00,1126
2022-01-05 14:00:00,159
2022-01-05 15:00:00,13
2022-01-05 16:00:00,0
2022-01-05 17:00:00,0
2022-01-05 18:00:00,0
2022-01-05 19:00:00,0
2022-01-05 20:00:00,0
2022-01-05 21:00:00,0
2022-01-05 22:00:00,0
2022-01-05 23:00:00,0
2022-01-06 00:00:00,0
2022-01-06 01:00:00,0
2022-01-06 02:00:00,0
2022-01-06 03:00:00,0
2022-01-06 04:00:00,0
2022-01-06 05:00:00,28
2022-01-06 06:00:00,498
2022-01-06 07:00:00,1805
2022-01-06 08:00:00,3372
2022-01-06 09:00:00,3798
2022-01-06 10:00:00,4308
2022-01-06 11:00:00,3862
2022-01-06 12:00:00,3054
2022-01-06 13:00:00,1467
2022-01-06 14:00:00,226
2022-01-06 15:00:00,13
2022-01-06 16:00:00,0
2022-01-06 17:00:00,0
2022-01-06 18:00:00,0
2022-01-06 19:00:00,0
2022-01-06 20:00:00,0
2022-01-06 21:00:00,0
2022-01-06 22:00:00,0
2022-01-06 23:00:00,0
2022-01-07 00:00:00,0
2022-01-07 01:00:00,0
2022-01-07 02:00:00,0
2022-01-07 03:00:00,0
2022-01-07 04:00:00,0
2022-01-07 05:00:00,10
2022-01-07 06:00:00,573
2022-01-07 07:00:00,2275
2022-01-07 08:00:00,4440
2022-01-07 09:00:00,5400
2022-01-07 10:00:00,5589
2022-01-07 11:00:00,4938
2022-01-07 12:00:00,3228
2022-01-07 13:00:00,1485
2022-01-07 14:00:00,242
2022-01-07 15:00:00,18
2022-01-07 16:00:00,0
2022-01-07 17:00:00,0
2022-01-07 18:00:00,0
2022-01-07 19:00:00,0
2022-01-07 20:00:00,0
2022-01-07 21:00:00,0
2022-01-07 22:00:00,0
2022-01-07 23:00:00,0
2022-01-08 00:00:00,0
2022-01-08 01:00:00,0
2022-01-08 02:00:00,0
2022-01-08 03:00:00,0
2022-01-08 04:00:00,0
2022-01-08 05:00:00,10
2022-01-08 06:00:00,679
2022-01-08 07:00:00,2395
2022-01-08 08:00:00,4368
2022-01-08 09:00:00,5386
2022-01-08 10:00:00,5447
2022-01-08 11:00:00,4805
2022-01-08 12:00:00,3611
2022-01-08 13:00:00,1737
2022-01-08 14:00:00,302
2022-01-08 15:00:00,5
2022-01-08 16:00:00,0
2022-01-08 17:00:00,0
2022-01-08 18:00:00,0
2022-01-08 19:00:00,0
2022-01-08 20:00:00,0
2022-01-08 21:00:00,0
2022-01-08 22:00:00,0
2022-01-08 23:00:00,0
2022-01-09 00:00:00,0
2022-01-09 01:00:00,0
2022-01-09 02:00:00,0
2022-01-09 03:00:00,0
2022-01-09 04:00:00,0
2022-01-09 05:00:00,58
2022-01-09 06:00:00,666
2022-01-09 07:00:00,1928
2022-01-09 08:00:00,3009
2022-01-09 09:00:00,3540
2022-01-09 10:00:00,3073
2022-01-09 11:00:00,2412
2022-01-09 12:00:00,1699
2022-01-09 13:00:00,954
2022-01-09 14:00:00,164
2022-01-09 15:00:00,6
2022-01-09 16:00:00,0
2022-01-09 17:00:00,0
2022-01-09 18:00:00,0
2022-01-09 19:00:00,0
2022-01-09 20:00:00,0
2022-01-09 21:00:00,0
2022-01-09 22:00:00,0
2022-01-09 23:00:00,0
2022-01-10 00:00:00,0
2022-01-10 01:00:00,0
2022-01-10 02:00:00,0
2022-01-10 03:00:00,0
2022-01-10 04:00:00,0
2022-01-10 05:00:00,6
2022-01-10 06:00:00,408
2022-01-10 07:00:00,1505
2022-01-10 08:00:00,2489
2022-01-10 09:00:00,3073
2022-01-10 10:00:00,3390
2022-01-10 11:00:00,3843
2022-01-10 12:00:00,2842
2022-01-10 13:00:00,1524
2022-01-10 14:00:00,260
2022-01-10 15:00:00,3
2022-01-10 16:00:00,0
2022-01-10 17:00:00,0
2022-01-10 18:00:00,0
2022-01-10 19:00:00,0
2022-01-10 20:00:00,0
2022-01-10 21:00:00,0
2022-01-10 22:00:00,0
2022-01-10 23:00:00,0
2022-01-11 00:00:00,0
2022-01-11 01:00:00,0
2022-01-11 02:00:00,0
2022-01-11 03:00:00,0
2022-01-11 04:00:00,0
2022-01-11 05:00:00,15
2022-01-11 06:00:00,529
2022-01-11 07:00:00,1815
2022-01-11 08:00:00,3871
2022-01-11 09:00:00,5258
2022-01-11 10:00:00,5615
2022-01-11 11:00:00,5385
2022-01-11 12:00:00,3969
