start_time,energy_consumption
2021-12-31 23:00:00,42196
2022-01-01 00:00:00,165125
2022-01-01 01:00:00,160415
2022-01-01 02:00:00,158035
2022-01-01 03:00:00,157016
2022-01-01 04:00:00,154552
2022-01-01 05:00:00,154275
2022-01-01 06:00:00,157356
2022-01-01 07:00:00,163000
2022-01-01 08:00:00,171858
2022-01-01 09:00:00,179829
2022-01-01 10:00:00,188335
2022-01-01 11:00:00,188528
2022-01-01 12:00:00,184922
2022-01-01 13:00:00,182733
2022-01-01 14:00:00,183467
2022-01-01 15:00:00,195571
2022-01-01 16:00:00,207259
2022-01-01 17:00:00,208694
2022-01-01 18:00:00,203720
2022-01-01 19:00:00,196041
2022-01-01 20:00:00,191635
2022-01-01 21:00:00,187527
2022-01-01 22:00:00,176366
2022-01-01 23:00:00,170078
2022-01-02 00:00:00,164923
2022-01-02 01:00:00,162519
2022-01-02 02:00:00,162753
2022-01-02 03:00:00,163004
2022-01-02 04:00:00,162453
2022-01-02 05:00:00,162596
2022-01-02 06:00:00,171915
2022-01-02 07:00:00,185202
2022-01-02 08:00:00,195494
2022-01-02 09:00:00,205032
2022-01-02 10:00:00,216802
2022-01-02 11:00:00,217096
2022-01-02 12:00:00,212695
2022-01-02 13:00:00,210911
2022-01-02 14:00:00,214431
2022-01-02 15:00:00,225625
2022-01-02 16:00:00,235222
2022-01-02 17:00:00,234292
2022-01-02 18:00:00,227205
2022-01-02 19:00:00,216385
2022-01-02 20:00:00,208694
2022-01-02 21:00:00,200590
2022-01-02 22:00:00,188411
2022-01-02 23:00:00,179879
2022-01-03 00:00:00,173128
2022-01-03 01:00:00,170685
2022-01-03 02:00:00,173478
2022-01-03 03:00:00,181772
2022-01-03 04:00:00,199216
2022-01-03 05:00:00,228635
2022-01-03 06:00:00,250878
2022-01-03 07:00:00,261928
2022-01-03 08:00:00,267001
2022-01-03 09:00:00,272754
2022-01-03 10:00:00,279273
2022-01-03 11:00:00,280238
2022-01-03 12:00:00,275534
2022-01-03 13:00:00,272737
2022-01-03 14:00:00,268449
2022-01-03 15:00:00,273844
2022-01-03 16:00:00,281315
2022-01-03 17:00:00,278636
2022-01-03 18:00:00,268893
2022-01-03 19:00:00,251772
2022-01-03 20:00:00,238359
2022-01-03 21:00:00,225141
2022-01-03 22:00:00,211453
2022-01-03 23:00:00,200166
2022-01-04 00:00:00,192525
2022-01-04 01:00:00,190963
2022-01-04 02:00:00,193124
2022-01-04 03:00:00,199292
2022-01-04 04:00:00,213215
2022-01-04 05:00:00,235791
2022-01-04 06:00:00,254271
2022-01-04 07:00:00,265425
2022-01-04 08:00:00,269692
2022-01-04 09:00:00,272977
2022-01-04 10:00:00,278605
2022-01-04 11:00:00,277806
2022-01-04 12:00:00,273462
2022-01-04 13:00:00,271398
2022-01-04 14:00:00,271699
2022-01-04 15:00:00,275108
2022-01-04 16:00:00,280297
2022-01-04 17:00:00,277994
2022-01-04 18:00:00,270170
2022-01-04 19:00:00,254412
2022-01-04 20:00:00,242520
2022-01-04 21:00:00,230236
2022-01-04 22:00:00,216521
2022-01-04 23:00:00,207787
2022-01-05 00:00:00,200502
2022-01-05 01:00:00,199264
2022-01-05 02:00:00,204027
2022-01-05 03:00:00,211423
2022-01-05 04:00:00,227155
2022-01-05 05:00:00,251452
2022-01-05 06:00:00,272135
2022-01-05 07:00:00,282406
2022-01-05 08:00:00,287659
2022-01-05 09:00:00,292886
2022-01-05 10:00:00,297686
2022-01-05 11:00:00,296793
2022-01-05 12:00:00,291680
2022-01-05 13:00:00,287193
2022-01-05 14:00:00,284429
2022-01-05 15:00:00,288704
2022-01-05 16:00:00,294780
2022-01-05 17:00:00,291879
2022-01-05 18:00:00,282592
2022-01-05 19:00:00,265578
2022-01-05 20:00:00,253115
2022-01-05 21:00:00,240686
2022-01-05 22:00:00,226271
2022-01-05 23:00:00,218188
2022-01-06 00:00:00,212791
2022-01-06 01:00:00,209749
2022-01-06 02:00:00,208091
2022-01-06 03:00:00,212166
2022-01-06 04:00:00,219986
2022-01-06 05:00:00,235912
2022-01-06 06:00:00,252192
2022-01-06 07:00:00,257922
2022-01-06 08:00:00,262160
2022-01-06 09:00:00,263766
2022-01-06 10:00:00,265922
2022-01-06 11:00:00,262184
2022-01-06 12:00:00,255998
2022-01-06 13:00:00,251343
2022-01-06 14:00:00,249755
2022-01-06 15:00:00,258153
2022-01-06 16:00:00,270955
2022-01-06 17:00:00,271299
2022-01-06 18:00:00,266511
2022-01-06 19:00:00,255356
2022-01-06 20:00:00,244941
2022-01-06 21:00:00,237085
2022-01-06 22:00:00,225569
2022-01-06 23:00:00,213543
2022-01-07 00:00:00,208118
2022-01-07 01:00:00,205425
2022-01-07 02:00:00,207491
2022-01-07 03:00:00,215732
2022-01-07 04:00:00,228451
2022-01-07 05:00:00,251254
2022-01-07 06:00:00,270575
2022-01-07 07:00:00,280999
2022-01-07 08:00:00,287473
2022-01-07 09:00:00,290000
2022-01-07 10:00:00,293335
2022-01-07 11:00:00,291698
2022-01-07 12:00:00,284178
2022-01-07 13:00:00,281387
2022-01-07 14:00:00,279075
2022-01-07 15:00:00,281797
2022-01-07 16:00:00,286304
2022-01-07 17:00:00,279756
2022-01-07 18:00:00,268767
2022-01-07 19:00:00,254714
2022-01-07 20:00:00,243344
2022-01-07 21:00:00,233075
2022-01-07 22:00:00,220002
2022-01-07 23:00:00,208255
2022-01-08 00:00:00,200464
2022-01-08 01:00:00,198416
2022-01-08 02:00:00,197674
2022-01-08 03:00:00,196406
2022-01-08 04:00:00,197312
2022-01-08 05:00:00,202582
2022-01-08 06:00:00,212921
2022-01-08 07:00:00,226184
2022-01-08 08:00:00,239720
2022-01-08 09:00:00,246040
2022-01-08 10:00:00,251743
2022-01-08 11:00:00,251065
2022-01-08 12:00:00,246925
2022-01-08 13:00:00,244262
2022-01-08 14:00:00,246748
2022-01-08 15:00:00,256149
2022-01-08 16:00:00,268367
2022-01-08 17:00:00,266198
2022-01-08 18:00:00,257467
2022-01-08 19:00:00,244227
2022-01-08 20:00:00,235472
2022-01-08 21:00:00,228617
2022-01-08 22:00:00,217037
2022-01-08 23:00:00,205466
2022-01-09 00:00:00,197997
2022-01-09 01:00:00,193653
2022-01-09 02:00:00,191070
2022-01-09 03:00:00,192888
2022-01-09 04:00:00,190586
2022-01-09 05:00:00,192030
2022-01-09 06:00:00,200301
2022-01-09 07:00:00,212439
2022-01-09 08:00:00,227524
2022-01-09 09:00:00,235864
2022-01-09 10:00:00,242909
2022-01-09 11:00:00,240097
2022-01-09 12:00:00,232449
2022-01-09 13:00:00,226801
2022-01-09 14:00:00,226526
2022-01-09 15:00:00,235075
2022-01-09 16:00:00,247250
2022-01-09 17:00:00,246002
2022-01-09 18:00:00,238126
2022-01-09 19:00:00,227706
2022-01-09 20:00:00,221158
2022-01-09 21:00:00,215384
2022-01-09 22:00:00,204593
2022-01-09 23:00:00,197603
2022-01-10 00:00:00,192417
2022-01-10 01:00:00,192032
2022-01-10 02:00:00,193494
2022-01-10 03:00:00,201555
2022-01-10 04:00:00,220743
2022-01-10 05:00:00,252159
