start_time,energy_consumption
2021-12-31 23:00:00,4254
2022-01-01 00:00:00,16457
2022-01-01 01:00:00,15426
2022-01-01 02:00:00,14781
2022-01-01 03:00:00,14630
2022-01-01 04:00:00,14688
2022-01-01 05:00:00,14960
2022-01-01 06:00:00,15034
2022-01-01 07:00:00,15259
2022-01-01 08:00:00,15551
2022-01-01 09:00:00,16045
2022-01-01 10:00:00,16500
2022-01-01 11:00:00,16966
2022-01-01 12:00:00,17195
2022-01-01 13:00:00,17488
2022-01-01 14:00:00,18052
2022-01-01 15:00:00,19157
2022-01-01 16:00:00,19169
2022-01-01 17:00:00,19117
2022-01-01 18:00:00,19077
2022-01-01 19:00:00,18695
2022-01-01 20:00:00,18142
2022-01-01 21:00:00,17310
2022-01-01 22:00:00,16380
2022-01-01 23:00:00,15480
2022-01-02 00:00:00,14901
2022-01-02 01:00:00,14342
2022-01-02 02:00:00,14142
2022-01-02 03:00:00,14436
2022-01-02 04:00:00,15008
2022-01-02 05:00:00,16122
2022-01-02 06:00:00,16881
2022-01-02 07:00:00,17859
2022-01-02 08:00:00,18359
2022-01-02 09:00:00,18526
2022-01-02 10:00:00,18846
2022-01-02 11:00:00,18756
2022-01-02 12:00:00,18838
2022-01-02 13:00:00,19191
2022-01-02 14:00:00,19941
2022-01-02 15:00:00,21433
2022-01-02 16:00:00,21539
2022-01-02 17:00:00,21399
2022-01-02 18:00:00,21157
2022-01-02 19:00:00,20457
2022-01-02 20:00:00,19465
2022-01-02 21:00:00,18475
2022-01-02 22:00:00,17309
2022-01-02 23:00:00,16340
2022-01-03 00:00:00,15728
2022-01-03 01:00:00,15247
2022-01-03 02:00:00,15225
2022-01-03 03:00:00,16018
2022-01-03 04:00:00,18135
2022-01-03 05:00:00,21080
2022-01-03 06:00:00,22265
2022-01-03 07:00:00,22989
2022-01-03 08:00:00,23502
2022-01-03 09:00:00,23775
2022-01-03 10:00:00,23804
2022-01-03 11:00:00,23651
2022-01-03 12:00:00,22992
2022-01-03 13:00:00,23119
2022-01-03 14:00:00,23529
