start_time,energy_consumption
2021-12-31 23:00:00,21121
2022-01-01 00:00:00,19756
2022-01-01 01:00:00,18685
2022-01-01 02:00:00,18124
2022-01-01 03:00:00,18400
2022-01-01 04:00:00,19223
2022-01-01 05:00:00,19738
2022-01-01 06:00:00,20289
2022-01-01 07:00:00,21469
2022-01-01 08:00:00,22735
2022-01-01 09:00:00,23636
2022-01-01 10:00:00,24182
2022-01-01 11:00:00,23270
2022-01-01 12:00:00,22755
2022-01-01 13:00:00,22881
2022-01-01 14:00:00,23818
2022-01-01 15:00:00,26742
2022-01-01 16:00:00,27672
2022-01-01 17:00:00,28393
2022-01-01 18:00:00,27996
2022-01-01 19:00:00,26693
2022-01-01 20:00:00,24635
2022-01-01 21:00:00,22404
2022-01-01 22:00:00,20428
2022-01-01 23:00:00,18989
2022-01-02 00:00:00,18083
2022-01-02 01:00:00,17740
2022-01-02 02:00:00,17737
2022-01-02 03:00:00,18409
2022-01-02 04:00:00,19869
2022-01-02 05:00:00,21148
2022-01-02 06:00:00,22332
2022-01-02 07:00:00,23775
2022-01-02 08:00:00,24697
2022-01-02 09:00:00,25360
2022-01-02 10:00:00,26123
2022-01-02 11:00:00,25308
2022-01-02 12:00:00,24751
2022-01-02 13:00:00,24918
2022-01-02 14:00:00,26049
2022-01-02 15:00:00,28970
2022-01-02 16:00:00,30088
2022-01-02 17:00:00,30781
2022-01-02 18:00:00,29662
2022-01-02 19:00:00,27563
2022-01-02 20:00:00,25326
2022-01-02 21:00:00,22897
2022-01-02 22:00:00,20859
2022-01-02 23:00:00,19413
2022-01-03 00:00:00,18841
2022-01-03 01:00:00,18543
2022-01-03 02:00:00,19052
2022-01-03 03:00:00,20705
2022-01-03 04:00:00,24670
2022-01-03 05:00:00,28930
2022-01-03 06:00:00,32665
2022-01-03 07:00:00,35378
2022-01-03 08:00:00,35696
2022-01-03 09:00:00,35706
2022-01-03 10:00:00,34695
2022-01-03 11:00:00,34343
2022-01-03 12:00:00,34803
2022-01-03 13:00:00,35188
2022-01-03 14:00:00,36242
2022-01-03 15:00:00,38273
2022-01-03 16:00:00,38007
2022-01-03 17:00:00,37629
2022-01-03 18:00:00,35243
2022-01-03 19:00:00,32509
2022-01-03 20:00:00,29132
2022-01-03 21:00:00,26221
2022-01-03 22:00:00,23813
2022-01-03 23:00:00,22311
2022-01-04 00:00:00,21366
2022-01-04 01:00:00,21079
2022-01-04 02:00:00,21376
2022-01-04 03:00:00,22797
2022-01-04 04:00:00,26625
2022-01-04 05:00:00,30832
2022-01-04 06:00:00,34806
2022-01-04 07:00:00,36950
2022-01-04 08:00:00,37370
2022-01-04 09:00:00,37404
2022-01-04 10:00:00,36515
2022-01-04 11:00:00,35879
2022-01-04 12:00:00,36285
2022-01-04 13:00:00,36395
2022-01-04 14:00:00,37175
2022-01-04 15:00:00,38809
2022-01-04 16:00:00,38606
2022-01-04 17:00:00,38158
2022-01-04 18:00:00,35807
2022-01-04 19:00:00,33021
2022-01-04 20:00:00,29495
2022-01-04 21:00:00,26393
2022-01-04 22:00:00,23875
2022-01-04 23:00:00,22316
2022-01-05 00:00:00,21457
2022-01-05 01:00:00,21328
2022-01-05 02:00:00,21548
2022-01-05 03:00:00,23074
2022-01-05 04:00:00,26683
2022-01-05 05:00:00,30651
2022-01-05 06:00:00,34278
2022-01-05 07:00:00,36402
2022-01-05 08:00:00,36448
2022-01-05 09:00:00,36161
2022-01-05 10:00:00,35419
2022-01-05 11:00:00,34559
2022-01-05 12:00:00,35010
2022-01-05 13:00:00,35036
2022-01-05 14:00:00,36026
2022-01-05 15:00:00,37864
2022-01-05 16:00:00,38054
2022-01-05 17:00:00,37569
2022-01-05 18:00:00,35162
2022-01-05 19:00:00,32140
2022-01-05 20:00:00,28971
2022-01-05 21:00:00,26109
2022-01-05 22:00:00,23797
2022-01-05 23:00:00,22257
2022-01-06 00:00:00,21403
2022-01-06 01:00:00,20860
2022-01-06 02:00:00,20830
