start_time,energy_consumption
2021-12-31 23:00:00,10326
2022-01-01 00:00:00,40706
2022-01-01 01:00:00,39465
2022-01-01 02:00:00,38923
2022-01-01 03:00:00,38211
2022-01-01 04:00:00,38146
2022-01-01 05:00:00,38956
2022-01-01 06:00:00,39968
2022-01-01 07:00:00,40808
2022-01-01 08:00:00,41742
2022-01-01 09:00:00,42796
2022-01-01 10:00:00,42494
2022-01-01 11:00:00,42294
2022-01-01 12:00:00,43153
2022-01-01 13:00:00,44379
2022-01-01 14:00:00,45865
2022-01-01 15:00:00,48406
2022-01-01 16:00:00,52021
2022-01-01 17:00:00,51429
2022-01-01 18:00:00,49999
2022-01-01 19:00:00,47940
2022-01-01 20:00:00,46052
2022-01-01 21:00:00,44113
2022-01-01 22:00:00,42275
2022-01-01 23:00:00,41053
2022-01-02 00:00:00,39562
2022-01-02 01:00:00,38687
2022-01-02 02:00:00,38236
2022-01-02 03:00:00,38283
2022-01-02 04:00:00,38979
2022-01-02 05:00:00,40264
2022-01-02 06:00:00,42237
2022-01-02 07:00:00,44702
2022-01-02 08:00:00,46562
2022-01-02 09:00:00,46441
2022-01-02 10:00:00,47998
2022-01-02 11:00:00,48585
2022-01-02 12:00:00,47660
2022-01-02 13:00:00,47919
2022-01-02 14:00:00,48988
2022-01-02 15:00:00,51783
2022-01-02 16:00:00,55587
2022-01-02 17:00:00,54121
2022-01-02 18:00:00,52577
2022-01-02 19:00:00,50705
2022-01-02 20:00:00,48614
2022-01-02 21:00:00,46842
2022-01-02 22:00:00,44466
2022-01-02 23:00:00,42800
2022-01-03 00:00:00,41392
2022-01-03 01:00:00,40806
2022-01-03 02:00:00,40492
2022-01-03 03:00:00,40988
2022-01-03 04:00:00,43740
2022-01-03 05:00:00,47804
2022-01-03 06:00:00,52778
2022-01-03 07:00:00,57029
2022-01-03 08:00:00,58111
2022-01-03 09:00:00,56875
2022-01-03 10:00:00,55464
2022-01-03 11:00:00,55854
2022-01-03 12:00:00,56252
2022-01-03 13:00:00,57466
2022-01-03 14:00:00,58816
2022-01-03 15:00:00,61242
2022-01-03 16:00:00,63810
2022-01-03 17:00:00,60621
2022-01-03 18:00:00,58003
2022-01-03 19:00:00,54823
2022-01-03 20:00:00,52129
2022-01-03 21:00:00,49295
2022-01-03 22:00:00,46530
2022-01-03 23:00:00,44424
2022-01-04 00:00:00,43524
2022-01-04 01:00:00,42615
2022-01-04 02:00:00,42249
2022-01-04 03:00:00,42804
2022-01-04 04:00:00,45047
2022-01-04 05:00:00,49175
2022-01-04 06:00:00,54802
2022-01-04 07:00:00,59275
2022-01-04 08:00:00,60815
2022-01-04 09:00:00,60695
2022-01-04 10:00:00,60731
2022-01-04 11:00:00,60624
2022-01-04 12:00:00,60527
2022-01-04 13:00:00,60152
2022-01-04 14:00:00,60484
2022-01-04 15:00:00,62735
2022-01-04 16:00:00,65179
2022-01-04 17:00:00,61854
2022-01-04 18:00:00,59419
2022-01-04 19:00:00,56378
2022-01-04 20:00:00,53698
2022-01-04 21:00:00,51094
2022-01-04 22:00:00,48171
2022-01-04 23:00:00,46082
