start_time,energy_consumption
2021-12-31 23:00:00,14438
2022-01-01 00:00:00,13935
2022-01-01 01:00:00,13579
2022-01-01 02:00:00,13397
2022-01-01 03:00:00,13364
2022-01-01 04:00:00,13449
2022-01-01 05:00:00,13444
2022-01-01 06:00:00,13527
2022-01-01 07:00:00,14202
2022-01-01 08:00:00,14851
2022-01-01 09:00:00,15643
2022-01-01 10:00:00,16235
2022-01-01 11:00:00,16712
2022-01-01 12:00:00,16874
2022-01-01 13:00:00,17032
2022-01-01 14:00:00,17715
2022-01-01 15:00:00,17887
2022-01-01 16:00:00,17929
2022-01-01 17:00:00,17898
2022-01-01 18:00:00,17594
2022-01-01 19:00:00,16972
2022-01-01 20:00:00,16426
2022-01-01 21:00:00,15411
2022-01-01 22:00:00,14480
2022-01-01 23:00:00,13833
2022-01-02 00:00:00,13451
2022-01-02 01:00:00,13267
2022-01-02 02:00:00,13326
2022-01-02 03:00:00,13714
2022-01-02 04:00:00,14230
2022-01-02 05:00:00,14542
2022-01-02 06:00:00,14960
2022-01-02 07:00:00,15855
2022-01-02 08:00:00,16709
2022-01-02 09:00:00,17032
2022-01-02 10:00:00,17414
2022-01-02 11:00:00,18006
2022-01-02 12:00:00,17914
2022-01-02 13:00:00,18024
2022-01-02 14:00:00,18627
2022-01-02 15:00:00,18737
2022-01-02 16:00:00,18753
2022-01-02 17:00:00,18774
2022-01-02 18:00:00,18378
2022-01-02 19:00:00,17527
2022-01-02 20:00:00,16897
2022-01-02 21:00:00,15711
2022-01-02 22:00:00,14918
2022-01-02 23:00:00,14446
2022-01-03 00:00:00,14223
2022-01-03 01:00:00,14320
2022-01-03 02:00:00,14814
2022-01-03 03:00:00,15727
2022-01-03 04:00:00,18749
2022-01-03 05:00:00,20921
2022-01-03 06:00:00,22135
2022-01-03 07:00:00,22929
2022-01-03 08:00:00,22935
2022-01-03 09:00:00,23366
2022-01-03 10:00:00,23608
2022-01-03 11:00:00,23666
2022-01-03 12:00:00,23374
2022-01-03 13:00:00,23417
2022-01-03 14:00:00,23971
2022-01-03 15:00:00,23882
2022-01-03 16:00:00,23558
2022-01-03 17:00:00,23340
2022-01-03 18:00:00,22852
2022-01-03 19:00:00,21306
2022-01-03 20:00:00,19825
2022-01-03 21:00:00,18509
2022-01-03 22:00:00,17594
2022-01-03 23:00:00,16880
2022-01-04 00:00:00,16612
2022-01-04 01:00:00,16603
2022-01-04 02:00:00,16936
2022-01-04 03:00:00,17763
2022-01-04 04:00:00,20158
2022-01-04 05:00:00,22051
2022-01-04 06:00:00,23023
2022-01-04 07:00:00,23454
2022-01-04 08:00:00,23660
2022-01-04 09:00:00,24118
2022-01-04 10:00:00,24361
2022-01-04 11:00:00,24276
2022-01-04 12:00:00,24024
2022-01-04 13:00:00,23959
2022-01-04 14:00:00,24402
2022-01-04 15:00:00,24328
2022-01-04 16:00:00,23992
2022-01-04 17:00:00,23736
2022-01-04 18:00:00,23112
2022-01-04 19:00:00,21669
2022-01-04 20:00:00,20229
2022-01-04 21:00:00,18802
2022-01-04 22:00:00,17752
2022-01-04 23:00:00,17163
2022-01-05 00:00:00,16787
2022-01-05 01:00:00,16803
2022-01-05 02:00:00,17166
2022-01-05 03:00:00,17874
2022-01-05 04:00:00,20243
2022-01-05 05:00:00,22207
2022-01-05 06:00:00,23028
2022-01-05 07:00:00,23535
2022-01-05 08:00:00,23727
2022-01-05 09:00:00,24107
2022-01-05 10:00:00,24197
2022-01-05 11:00:00,24215
2022-01-05 12:00:00,23969
2022-01-05 13:00:00,23816
2022-01-05 14:00:00,24338
2022-01-05 15:00:00,24205
2022-01-05 16:00:00,23697
2022-01-05 17:00:00,23425
2022-01-05 18:00:00,22866
2022-01-05 19:00:00,21540
2022-01-05 20:00:00,20089
2022-01-05 21:00:00,18792
2022-01-05 22:00:00,17750
2022-01-05 23:00:00,16977
2022-01-06 00:00:00,16561
2022-01-06 01:00:00,16399
2022-01-06 02:00:00,16401
2022-01-06 03:00:00,16213
2022-01-06 04:00:00,16250
2022-01-06 05:00:00,16590
2022-01-06 06:00:00,17087
2022-01-06 07:00:00,18076
2022-01-06 08:00:00,18799
2022-01-06 09:00:00,19315
2022-01-06 10:00:00,19658
2022-01-06 11:00:00,19860
2022-01-06 12:00:00,19875
2022-01-06 13:00:00,19753
2022-01-06 14:00:00,20402
2022-01-06 15:00:00,20552
2022-01-06 16:00:00,20465
2022-01-06 17:00:00,20485
2022-01-06 18:00:00,20226
2022-01-06 19:00:00,19556
2022-01-06 20:00:00,18884
2022-01-06 21:00:00,17761
2022-01-06 22:00:00,16997
2022-01-06 23:00:00,16433
2022-01-07 00:00:00,16186
2022-01-07 01:00:00,16161
2022-01-07 02:00:00,16425
2022-01-07 03:00:00,17182
2022-01-07 04:00:00,18906
2022-01-07 05:00:00,20101
2022-01-07 06:00:00,20909
2022-01-07 07:00:00,21505
2022-01-07 08:00:00,21346
2022-01-07 09:00:00,21264
2022-01-07 10:00:00,21228
2022-01-07 11:00:00,21885
2022-01-07 12:00:00,22107
2022-01-07 13:00:00,22319
2022-01-07 14:00:00,22930
2022-01-07 15:00:00,23000
2022-01-07 16:00:00,22792
2022-01-07 17:00:00,22451
2022-01-07 18:00:00,22022
2022-01-07 19:00:00,20822
2022-01-07 20:00:00,19960
2022-01-07 21:00:00,18816
2022-01-07 22:00:00,17743
2022-01-07 23:00:00,17243
2022-01-08 00:00:00,16879
2022-01-08 01:00:00,16792
2022-01-08 02:00:00,16860
2022-01-08 03:00:00,17340
2022-01-08 04:00:00,18151
2022-01-08 05:00:00,18785
2022-01-08 06:00:00,19579
2022-01-08 07:00:00,20444
2022-01-08 08:00:00,21138
2022-01-08 09:00:00,21373
2022-01-08 10:00:00,21507
2022-01-08 11:00:00,21676
2022-01-08 12:00:00,21486
2022-01-08 13:00:00,21476
2022-01-08 14:00:00,22045
2022-01-08 15:00:00,22051
2022-01-08 16:00:00,21857
2022-01-08 17:00:00,21552
2022-01-08 18:00:00,21136
2022-01-08 19:00:00,20230
2022-01-08 20:00:00,19224
2022-01-08 21:00:00,18046
2022-01-08 22:00:00,17078
2022-01-08 23:00:00,16344
2022-01-09 00:00:00,15913
2022-01-09 01:00:00,15681
2022-01-09 02:00:00,15813
2022-01-09 03:00:00,16037
2022-01-09 04:00:00,16484
2022-01-09 05:00:00,16835
2022-01-09 06:00:00,17299
2022-01-09 07:00:00,17983
2022-01-09 08:00:00,18427
2022-01-09 09:00:00,18352
2022-01-09 10:00:00,18561
2022-01-09 11:00:00,19111
2022-01-09 12:00:00,19472
2022-01-09 13:00:00,19621
2022-01-09 14:00:00,20519
2022-01-09 15:00:00,20863
2022-01-09 16:00:00,20845
2022-01-09 17:00:00,20952
2022-01-09 18:00:00,20552
2022-01-09 19:00:00,19668
2022-01-09 20:00:00,18919
2022-01-09 21:00:00,17734
2022-01-09 22:00:00,17084
2022-01-09 23:00:00,16764
2022-01-10 00:00:00,16569
2022-01-10 01:00:00,16597
2022-01-10 02:00:00,17014
2022-01-10 03:00:00,18255
2022-01-10 04:00:00,21426
2022-01-10 05:00:00,23775
2022-01-10 06:00:00,24863
2022-01-10 07:00:00,25265
2022-01-10 08:00:00,25116
2022-01-10 09:00:00,25331
2022-01-10 10:00:00,25351
2022-01-10 11:00:00,25602
2022-01-10 12:00:00,25658
2022-01-10 13:00:00,25608
2022-01-10 14:00:00,26061
2022-01-10 15:00:00,26078
2022-01-10 16:00:00,25776
2022-01-10 17:00:00,25573
2022-01-10 18:00:00,25001
2022-01-10 19:00:00,23570
2022-01-10 20:00:00,22125
2022-01-10 21:00:00,20728
2022-01-10 22:00:00,19612
2022-01-10 23:00:00,19218
2022-01-11 00:00:00,19022
2022-01-11 01:00:00,18956
2022-01-11 02:00:00,19357
2022-01-11 03:00:00,20257
2022-01-11 04:00:00,23058
2022-01-11 05:00:00,25135
2022-01-11 06:00:00,25809
2022-01-11 07:00:00,26075
2022-01-11 08:00:00,25763
2022-01-11 09:00:00,25852
2022-01-11 10:00:00,25870
2022-01-11 11:00:00,25904
2022-01-11 12:00:00,25717
2022-01-11 13:00:00,25699
2022-01-11 14:00:00,26334
2022-01-11 15:00:00,26376
2022-01-11 16:00:00,26035
2022-01-11 17:00:00,25912
2022-01-11 18:00:00,25398
2022-01-11 19:00:00,23890
2022-01-11 20:00:00,22446
2022-01-11 21:00:00,21031
2022-01-11 22:00:00,19948
2022-01-11 23:00:00,19416
2022-01-12 00:00:00,19111
2022-01-12 01:00:00,19177
2022-01-12 02:00:00,19437
2022-01-12 03:00:00,20287
2022-01-12 04:00:00,23115
2022-01-12 05:00:00,25064
2022-01-12 06:00:00,25790
2022-01-12 07:00:00,26069
2022-01-12 08:00:00,25847
2022-01-12 09:00:00,25975
2022-01-12 10:00:00,26042
2022-01-12 11:00:00,26149
2022-01-12 12:00:00,25998
2022-01-12 13:00:00,25887
2022-01-12 14:00:00,26379
2022-01-12 15:00:00,26427
2022-01-12 16:00:00,26034
2022-01-12 17:00:00,25898
2022-01-12 18:00:00,25191
2022-01-12 19:00:00,23629
2022-01-12 20:00:00,22070
2022-01-12 21:00:00,20596
2022-01-12 22:00:00,19522
2022-01-12 23:00:00,18956
2022-01-13 00:00:00,18505
2022-01-13 01:00:00,18538
2022-01-13 02:00:00,18834
2022-01-13 03:00:00,19708
2022-01-13 04:00:00,22367
2022-01-13 05:00:00,24378
2022-01-13 06:00:00,25144
2022-01-13 07:00:00,25506
2022-01-13 08:00:00,25399
2022-01-13 09:00:00,25798
2022-01-13 10:00:00,25862
2022-01-13 11:00:00,25982
2022-01-13 12:00:00,25504
2022-01-13 13:00:00,25343
2022-01-13 14:00:00,25750
2022-01-13 15:00:00,25674
2022-01-13 16:00:00,25204
2022-01-13 17:00:00,25007
2022-01-13 18:00:00,24344
2022-01-13 19:00:00,22806
2022-01-13 20:00:00,21317
2022-01-13 21:00:00,20023
2022-01-13 22:00:00,19024
2022-01-13 23:00:00,18411
2022-01-14 00:00:00,18028
2022-01-14 01:00:00,17956
2022-01-14 02:00:00,18262
2022-01-14 03:00:00,19109
2022-01-14 04:00:00,21798
2022-01-14 05:00:00,23805
2022-01-14 06:00:00,24720
2022-01-14 07:00:00,25181
2022-01-14 08:00:00,25134
2022-01-14 09:00:00,25513
2022-01-14 10:00:00,25605
2022-01-14 11:00:00,25639
2022-01-14 12:00:00,25065
2022-01-14 13:00:00,24740
2022-01-14 14:00:00,25220
2022-01-14 15:00:00,25213
2022-01-14 16:00:00,24849
2022-01-14 17:00:00,24676
2022-01-14 18:00:00,24094
2022-01-14 19:00:00,22589
2022-01-14 20:00:00,21186
2022-01-14 21:00:00,19919
2022-01-14 22:00:00,18910
2022-01-14 23:00:00,18231
2022-01-15 00:00:00,17854
2022-01-15 01:00:00,17782
2022-01-15 02:00:00,17762
2022-01-15 03:00:00,18041
2022-01-15 04:00:00,19143
2022-01-15 05:00:00,19989
2022-01-15 06:00:00,20751
2022-01-15 07:00:00,21392
2022-01-15 08:00:00,21711
2022-01-15 09:00:00,21778
2022-01-15 10:00:00,21716
2022-01-15 11:00:00,21781
2022-01-15 12:00:00,21572
2022-01-15 13:00:00,21702
2022-01-15 14:00:00,22466
2022-01-15 15:00:00,22635
2022-01-15 16:00:00,22493
2022-01-15 17:00:00,22252
2022-01-15 18:00:00,21645
2022-01-15 19:00:00,20587
2022-01-15 20:00:00,19554
2022-01-15 21:00:00,18446
2022-01-15 22:00:00,17306
2022-01-15 23:00:00,16688
2022-01-16 00:00:00,16257
