start_time,energy_consumption
2021-12-31 23:00:00,15331
2022-01-01 00:00:00,15331
2022-01-01 01:00:00,15270
2022-01-01 02:00:00,15150
2022-01-01 03:00:00,15387
2022-01-01 04:00:00,15737
2022-01-01 05:00:00,16054
2022-01-01 06:00:00,16455
2022-01-01 07:00:00,16943
2022-01-01 08:00:00,17476
2022-01-01 09:00:00,17657
2022-01-01 10:00:00,17521
2022-01-01 11:00:00,17542
2022-01-01 12:00:00,17783
2022-01-01 13:00:00,18417
2022-01-01 14:00:00,18620
2022-01-01 15:00:00,18778
2022-01-01 16:00:00,18621
2022-01-01 17:00:00,17942
2022-01-01 18:00:00,17481
2022-01-01 19:00:00,17048
2022-01-01 20:00:00,16461
2022-01-01 21:00:00,16048
2022-01-01 22:00:00,15924
2022-01-01 23:00:00,15328
2022-01-02 00:00:00,15037
2022-01-02 01:00:00,14770
2022-01-02 02:00:00,14706
2022-01-02 03:00:00,14752
2022-01-02 04:00:00,15202
2022-01-02 05:00:00,15916
2022-01-02 06:00:00,16545
2022-01-02 07:00:00,16960
2022-01-02 08:00:00,17299
2022-01-02 09:00:00,17428
2022-01-02 10:00:00,17553
2022-01-02 11:00:00,17792
2022-01-02 12:00:00,17912
2022-01-02 13:00:00,18077
2022-01-02 14:00:00,18265
2022-01-02 15:00:00,18541
2022-01-02 16:00:00,18424
2022-01-02 17:00:00,18010
2022-01-02 18:00:00,17305
2022-01-02 19:00:00,16546
2022-01-02 20:00:00,16269
2022-01-02 21:00:00,15506
2022-01-02 22:00:00,15319
2022-01-02 23:00:00,15049
2022-01-03 00:00:00,14808
2022-01-03 01:00:00,14886
2022-01-03 02:00:00,15344
2022-01-03 03:00:00,15734
2022-01-03 04:00:00,17213
2022-01-03 05:00:00,18764
2022-01-03 06:00:00,19396
2022-01-03 07:00:00,19451
2022-01-03 08:00:00,19620
2022-01-03 09:00:00,19916
2022-01-03 10:00:00,20005
2022-01-03 11:00:00,20204
2022-01-03 12:00:00,20225
2022-01-03 13:00:00,20687
2022-01-03 14:00:00,20855
2022-01-03 15:00:00,21041
2022-01-03 16:00:00,20625
2022-01-03 17:00:00,20368
2022-01-03 18:00:00,19675
2022-01-03 19:00:00,18948
2022-01-03 20:00:00,18102
2022-01-03 21:00:00,17269
2022-01-03 22:00:00,17009
2022-01-03 23:00:00,16824
2022-01-04 00:00:00,16796
2022-01-04 01:00:00,16723
2022-01-04 02:00:00,17084
2022-01-04 03:00:00,17985
2022-01-04 04:00:00,19017
2022-01-04 05:00:00,20133
2022-01-04 06:00:00,20800
2022-01-04 07:00:00,20732
2022-01-04 08:00:00,20622
2022-01-04 09:00:00,20849
2022-01-04 10:00:00,20973
2022-01-04 11:00:00,20749
2022-01-04 12:00:00,20770
2022-01-04 13:00:00,21558
2022-01-04 14:00:00,21965
2022-01-04 15:00:00,22098
2022-01-04 16:00:00,21647
2022-01-04 17:00:00,21163
2022-01-04 18:00:00,20499
2022-01-04 19:00:00,19641
2022-01-04 20:00:00,19007
2022-01-04 21:00:00,18021
2022-01-04 22:00:00,17745
2022-01-04 23:00:00,17270
2022-01-05 00:00:00,17050
2022-01-05 01:00:00,17103
2022-01-05 02:00:00,17262
2022-01-05 03:00:00,17810
2022-01-05 04:00:00,19235
2022-01-05 05:00:00,20644
2022-01-05 06:00:00,21248
2022-01-05 07:00:00,21376
2022-01-05 08:00:00,21549
2022-01-05 09:00:00,21489
2022-01-05 10:00:00,21319
2022-01-05 11:00:00,21436
2022-01-05 12:00:00,21327
2022-01-05 13:00:00,22057
2022-01-05 14:00:00,22197
2022-01-05 15:00:00,22071
2022-01-05 16:00:00,21801
2022-01-05 17:00:00,21434
2022-01-05 18:00:00,20792
2022-01-05 19:00:00,19817
2022-01-05 20:00:00,19120
2022-01-05 21:00:00,18579
2022-01-05 22:00:00,18215
2022-01-05 23:00:00,17680
2022-01-06 00:00:00,17514
2022-01-06 01:00:00,17502
2022-01-06 02:00:00,17795
2022-01-06 03:00:00,18109
2022-01-06 04:00:00,18714
2022-01-06 05:00:00,19147
2022-01-06 06:00:00,20168
2022-01-06 07:00:00,20826
2022-01-06 08:00:00,21258
2022-01-06 09:00:00,21169
2022-01-06 10:00:00,21064
2022-01-06 11:00:00,20625
2022-01-06 12:00:00,20709
2022-01-06 13:00:00,21371
2022-01-06 14:00:00,21680
2022-01-06 15:00:00,21954
2022-01-06 16:00:00,21591
2022-01-06 17:00:00,21068
2022-01-06 18:00:00,20458
2022-01-06 19:00:00,20482
2022-01-06 20:00:00,20455
2022-01-06 21:00:00,19167
2022-01-06 22:00:00,18524
2022-01-06 23:00:00,18521
2022-01-07 00:00:00,18153
2022-01-07 01:00:00,18216
2022-01-07 02:00:00,18365
2022-01-07 03:00:00,18495
2022-01-07 04:00:00,20144
2022-01-07 05:00:00,21352
2022-01-07 06:00:00,21863
2022-01-07 07:00:00,21967
2022-01-07 08:00:00,22315
2022-01-07 09:00:00,22456
2022-01-07 10:00:00,22363
2022-01-07 11:00:00,22296
2022-01-07 12:00:00,22321
2022-01-07 13:00:00,22437
2022-01-07 14:00:00,22405
2022-01-07 15:00:00,22335
2022-01-07 16:00:00,21736
2022-01-07 17:00:00,21128
2022-01-07 18:00:00,20408
2022-01-07 19:00:00,19519
2022-01-07 20:00:00,18730
2022-01-07 21:00:00,18221
2022-01-07 22:00:00,17573
2022-01-07 23:00:00,17102
2022-01-08 00:00:00,16679
2022-01-08 01:00:00,16817
2022-01-08 02:00:00,16970
2022-01-08 03:00:00,17050
2022-01-08 04:00:00,17250
2022-01-08 05:00:00,17856
2022-01-08 06:00:00,18681
2022-01-08 07:00:00,18937
2022-01-08 08:00:00,19531
2022-01-08 09:00:00,19969
2022-01-08 10:00:00,20099
2022-01-08 11:00:00,19855
2022-01-08 12:00:00,19961
2022-01-08 13:00:00,20148
2022-01-08 14:00:00,20353
2022-01-08 15:00:00,20381
2022-01-08 16:00:00,20448
2022-01-08 17:00:00,20183
2022-01-08 18:00:00,19451
2022-01-08 19:00:00,18698
2022-01-08 20:00:00,18190
2022-01-08 21:00:00,17739
2022-01-08 22:00:00,17228
2022-01-08 23:00:00,17162
2022-01-09 00:00:00,16909
2022-01-09 01:00:00,16829
2022-01-09 02:00:00,16799
2022-01-09 03:00:00,16990
2022-01-09 04:00:00,17248
2022-01-09 05:00:00,17693
2022-01-09 06:00:00,18239
2022-01-09 07:00:00,18741
2022-01-09 08:00:00,19485
2022-01-09 09:00:00,19911
2022-01-09 10:00:00,19965
2022-01-09 11:00:00,20045
2022-01-09 12:00:00,20295
2022-01-09 13:00:00,20652
2022-01-09 14:00:00,21211
2022-01-09 15:00:00,21351
2022-01-09 16:00:00,21024
2022-01-09 17:00:00,20458
2022-01-09 18:00:00,19936
2022-01-09 19:00:00,19263
2022-01-09 20:00:00,18517
2022-01-09 21:00:00,17979
2022-01-09 22:00:00,17574
2022-01-09 23:00:00,17190
2022-01-10 00:00:00,17050
2022-01-10 01:00:00,17240
2022-01-10 02:00:00,17532
2022-01-10 03:00:00,18234
2022-01-10 04:00:00,20058
2022-01-10 05:00:00,21447
2022-01-10 06:00:00,22120
2022-01-10 07:00:00,21583
2022-01-10 08:00:00,21432
2022-01-10 09:00:00,21723
