start_time,energy_consumption
2021-12-31 23:00:00,20827
2022-01-01 00:00:00,19530
2022-01-01 01:00:00,18383
2022-01-01 02:00:00,17680
2022-01-01 03:00:00,17396
2022-01-01 04:00:00,17544
2022-01-01 05:00:00,17866
2022-01-01 06:00:00,17806
2022-01-01 07:00:00,18533
2022-01-01 08:00:00,20018
2022-01-01 09:00:00,20989
2022-01-01 10:00:00,21514
2022-01-01 11:00:00,22105
2022-01-01 12:00:00,22384
2022-01-01 13:00:00,21106
2022-01-01 14:00:00,20617
2022-01-01 15:00:00,21096
2022-01-01 16:00:00,23211
2022-01-01 17:00:00,24435
2022-01-01 18:00:00,24964
2022-01-01 19:00:00,25189
2022-01-01 20:00:00,24134
2022-01-01 21:00:00,22552
2022-01-01 22:00:00,21048
2022-01-01 23:00:00,19473
2022-01-02 00:00:00,18375
2022-01-02 01:00:00,17841
2022-01-02 02:00:00,17539
2022-01-02 03:00:00,17684
2022-01-02 04:00:00,18353
2022-01-02 05:00:00,19223
2022-01-02 06:00:00,19936
2022-01-02 07:00:00,21531
2022-01-02 08:00:00,23286
2022-01-02 09:00:00,24126
2022-01-02 10:00:00,24202
2022-01-02 11:00:00,24673
2022-01-02 12:00:00,24921
2022-01-02 13:00:00,23869
2022-01-02 14:00:00,23258
2022-01-02 15:00:00,23642
2022-01-02 16:00:00,25965
2022-01-02 17:00:00,27307
2022-01-02 18:00:00,28243
2022-01-02 19:00:00,28062
2022-01-02 20:00:00,26650
2022-01-02 21:00:00,24535
2022-01-02 22:00:00,22800
2022-01-02 23:00:00,21173
2022-01-03 00:00:00,20153
2022-01-03 01:00:00,19679
2022-01-03 02:00:00,19754
2022-01-03 03:00:00,20516
2022-01-03 04:00:00,22969
2022-01-03 05:00:00,26155
2022-01-03 06:00:00,28546
2022-01-03 07:00:00,30212
2022-01-03 08:00:00,31106
2022-01-03 09:00:00,30788
2022-01-03 10:00:00,30499
2022-01-03 11:00:00,30485
2022-01-03 12:00:00,30083
2022-01-03 13:00:00,29167
2022-01-03 14:00:00,28768
2022-01-03 15:00:00,29274
2022-01-03 16:00:00,31072
2022-01-03 17:00:00,31843
2022-01-03 18:00:00,32306
2022-01-03 19:00:00,31729
2022-01-03 20:00:00,29097
2022-01-03 21:00:00,26455
2022-01-03 22:00:00,24775
2022-01-03 23:00:00,22985
2022-01-04 00:00:00,21880
2022-01-04 01:00:00,21345
2022-01-04 02:00:00,21264
2022-01-04 03:00:00,21935
2022-01-04 04:00:00,24068
2022-01-04 05:00:00,26973
2022-01-04 06:00:00,28993
2022-01-04 07:00:00,30459
2022-01-04 08:00:00,31305
2022-01-04 09:00:00,31355
2022-01-04 10:00:00,31292
2022-01-04 11:00:00,31527
2022-01-04 12:00:00,31273
2022-01-04 13:00:00,30405
2022-01-04 14:00:00,30188
2022-01-04 15:00:00,30488
2022-01-04 16:00:00,31590
2022-01-04 17:00:00,32085
2022-01-04 18:00:00,32753
2022-01-04 19:00:00,32032
2022-01-04 20:00:00,29607
2022-01-04 21:00:00,26964
2022-01-04 22:00:00,25526
2022-01-04 23:00:00,23719
2022-01-05 00:00:00,22560
2022-01-05 01:00:00,22015
2022-01-05 02:00:00,21928
2022-01-05 03:00:00,22317
2022-01-05 04:00:00,24279
2022-01-05 05:00:00,27094
2022-01-05 06:00:00,29198
2022-01-05 07:00:00,30892
2022-01-05 08:00:00,31720
2022-01-05 09:00:00,31813
2022-01-05 10:00:00,31696
2022-01-05 11:00:00,31771
2022-01-05 12:00:00,31128
2022-01-05 13:00:00,30129
2022-01-05 14:00:00,29775
2022-01-05 15:00:00,29788
2022-01-05 16:00:00,30554
2022-01-05 17:00:00,30805
2022-01-05 18:00:00,31001
2022-01-05 19:00:00,30267
2022-01-05 20:00:00,28127
2022-01-05 21:00:00,26065
2022-01-05 22:00:00,24523
2022-01-05 23:00:00,22677
2022-01-06 00:00:00,21284
2022-01-06 01:00:00,20486
2022-01-06 02:00:00,20148
2022-01-06 03:00:00,20108
2022-01-06 04:00:00,20607
2022-01-06 05:00:00,21292
2022-01-06 06:00:00,21817
2022-01-06 07:00:00,23300
