start_time,energy_consumption
2021-12-31 23:00:00,677
2022-01-01 00:00:00,1244
2022-01-01 01:00:00,1131
2022-01-01 02:00:00,1091
2022-01-01 03:00:00,969
2022-01-01 04:00:00,896
2022-01-01 05:00:00,871
2022-01-01 06:00:00,860
2022-01-01 07:00:00,922
2022-01-01 08:00:00,1017
2022-01-01 09:00:00,1095
2022-01-01 10:00:00,1232
2022-01-01 11:00:00,1351
2022-01-01 12:00:00,1508
2022-01-01 13:00:00,1653
2022-01-01 14:00:00,1682
2022-01-01 15:00:00,1671
2022-01-01 16:00:00,1741
2022-01-01 17:00:00,1977
2022-01-01 18:00:00,2083
2022-01-01 19:00:00,1925
2022-01-01 20:00:00,1801
2022-01-01 21:00:00,1691
2022-01-01 22:00:00,1534
2022-01-01 23:00:00,1385
2022-01-02 00:00:00,626
2022-01-02 01:00:00,0
2022-01-02 02:00:00,525
2022-01-02 03:00:00,1008
2022-01-02 04:00:00,971
2022-01-02 05:00:00,942
2022-01-02 06:00:00,948
2022-01-02 07:00:00,1010
2022-01-02 08:00:00,1119
2022-01-02 09:00:00,1241
2022-01-02 10:00:00,1420
2022-01-02 11:00:00,1562
2022-01-02 12:00:00,1678
2022-01-02 13:00:00,1770
2022-01-02 14:00:00,1747
2022-01-02 15:00:00,1719
2022-01-02 16:00:00,1803
2022-01-02 17:00:00,2088
2022-01-02 18:00:00,2184
2022-01-02 19:00:00,1973
2022-01-02 20:00:00,1794
2022-01-02 21:00:00,1655
2022-01-02 22:00:00,1501
2022-01-02 23:00:00,1322
2022-01-03 00:00:00,1129
2022-01-03 01:00:00,1012
2022-01-03 02:00:00,980
2022-01-03 03:00:00,926
2022-01-03 04:00:00,911
2022-01-03 05:00:00,930
2022-01-03 06:00:00,990
2022-01-03 07:00:00,1170
2022-01-03 08:00:00,1341
2022-01-03 09:00:00,1489
2022-01-03 10:00:00,1670
2022-01-03 11:00:00,1781
2022-01-03 12:00:00,1857
2022-01-03 13:00:00,1969
2022-01-03 14:00:00,1979
2022-01-03 15:00:00,1979
2022-01-03 16:00:00,2046
2022-01-03 17:00:00,2398
2022-01-03 18:00:00,2500
2022-01-03 19:00:00,2291
2022-01-03 20:00:00,2150
2022-01-03 21:00:00,1984
2022-01-03 22:00:00,1792
2022-01-03 23:00:00,1587
2022-01-04 00:00:00,1399
2022-01-04 01:00:00,1261
2022-01-04 02:00:00,1242
2022-01-04 03:00:00,1194
2022-01-04 04:00:00,1156
2022-01-04 05:00:00,1148
2022-01-04 06:00:00,1258
2022-01-04 07:00:00,1530
2022-01-04 08:00:00,1892
2022-01-04 09:00:00,2147
2022-01-04 10:00:00,2285
2022-01-04 11:00:00,2317
2022-01-04 12:00:00,2335
2022-01-04 13:00:00,2393
2022-01-04 14:00:00,2340
2022-01-04 15:00:00,2335
2022-01-04 16:00:00,2424
2022-01-04 17:00:00,2722
2022-01-04 18:00:00,1423
2022-01-04 19:00:00,1255
2022-01-04 20:00:00,2383
2022-01-04 21:00:00,2180
2022-01-04 22:00:00,1964
2022-01-04 23:00:00,1700
2022-01-05 00:00:00,1453
2022-01-05 01:00:00,1326
2022-01-05 02:00:00,1310
2022-01-05 03:00:00,1269
2022-01-05 04:00:00,1257
2022-01-05 05:00:00,1283
2022-01-05 06:00:00,1377
2022-01-05 07:00:00,1675
2022-01-05 08:00:00,2125
2022-01-05 09:00:00,2356
2022-01-05 10:00:00,2496
2022-01-05 11:00:00,2560
2022-01-05 12:00:00,1285
2022-01-05 13:00:00,1296
2022-01-05 14:00:00,2520
2022-01-05 15:00:00,2506
2022-01-05 16:00:00,2578
2022-01-05 17:00:00,2905
2022-01-05 18:00:00,1519
2022-01-05 19:00:00,1342
2022-01-05 20:00:00,2531
2022-01-05 21:00:00,2326
2022-01-05 22:00:00,2072
2022-01-05 23:00:00,1772
2022-01-06 00:00:00,783
2022-01-06 01:00:00,679
2022-01-06 02:00:00,678
2022-01-06 03:00:00,623
2022-01-06 04:00:00,1184
2022-01-06 05:00:00,1193
2022-01-06 06:00:00,617
2022-01-06 07:00:00,847
2022-01-06 08:00:00,2073
2022-01-06 09:00:00,2304
2022-01-06 10:00:00,2411
2022-01-06 11:00:00,2439
2022-01-06 12:00:00,2443
2022-01-06 13:00:00,2425
2022-01-06 14:00:00,2318
2022-01-06 15:00:00,2321
2022-01-06 16:00:00,2437
2022-01-06 17:00:00,2743
2022-01-06 18:00:00,2809
2022-01-06 19:00:00,2576
2022-01-06 20:00:00,2387
2022-01-06 21:00:00,2196
2022-01-06 22:00:00,1943
2022-01-06 23:00:00,1686
2022-01-07 00:00:00,1460
2022-01-07 01:00:00,1348
2022-01-07 02:00:00,1303
2022-01-07 03:00:00,1268
2022-01-07 04:00:00,1242
2022-01-07 05:00:00,1243
2022-01-07 06:00:00,1370
2022-01-07 07:00:00,1658
2022-01-07 08:00:00,2104
2022-01-07 09:00:00,2350
2022-01-07 10:00:00,2510
2022-01-07 11:00:00,2550
2022-01-07 12:00:00,2552
2022-01-07 13:00:00,2544
2022-01-07 14:00:00,2448
2022-01-07 15:00:00,2383
