start_time,green_energy_DE,DE_Load
2021-12-31 23:00:00,39401,42196
2022-01-01 00:00:00,157373,165125
2022-01-01 01:00:00,151747,160415
2022-01-01 02:00:00,147938,158035
2022-01-01 03:00:00,141816,157016
2022-01-01 04:00:00,131970,154552
2022-01-01 05:00:00,129345,154275
2022-01-01 06:00:00,122836,157356
2022-01-01 07:00:00,117508,163000
2022-01-01 08:00:00,119089,171858
2022-01-01 09:00:00,120971,179829
2022-01-01 10:00:00,123192,188335
2022-01-01 11:00:00,122314,188528
2022-01-01 12:00:00,117152,184922
2022-01-01 13:00:00,108819,182733
2022-01-01 14:00:00,99704,183467
2022-01-01 15:00:00,107104,195571
2022-01-01 16:00:00,117785,207259
2022-01-01 17:00:00,126662,208694
2022-01-01 18:00:00,131402,203720
2022-01-01 19:00:00,129423,196041
2022-01-01 20:00:00,131258,191635
2022-01-01 21:00:00,132964,187527
2022-01-01 22:00:00,133780,176366
2022-01-01 23:00:00,143879,170078
2022-01-02 00:00:00,144602,164923
2022-01-02 01:00:00,142061,162519
2022-01-02 02:00:00,142190,162753
2022-01-02 03:00:00,139441,163004
2022-01-02 04:00:00,137755,162453
2022-01-02 05:00:00,133409,162596
2022-01-02 06:00:00,141328,171915
2022-01-02 07:00:00,150776,185202
2022-01-02 08:00:00,160678,195494
2022-01-02 09:00:00,173788,205032
2022-01-02 10:00:00,186025,216802
2022-01-02 11:00:00,192390,217096
2022-01-02 12:00:00,194469,212695
2022-01-02 13:00:00,193423,210911
2022-01-02 14:00:00,194282,214431
2022-01-02 15:00:00,196760,225625
2022-01-02 16:00:00,197928,235222
2022-01-02 17:00:00,200611,234292
2022-01-02 18:00:00,198091,227205
2022-01-02 19:00:00,196430,216385
2022-01-02 20:00:00,187778,208694
2022-01-02 21:00:00,181714,200590
2022-01-02 22:00:00,177058,188411
2022-01-02 23:00:00,177722,179879
2022-01-03 00:00:00,172760,173128
2022-01-03 01:00:00,167692,170685
2022-01-03 02:00:00,167340,173478
2022-01-03 03:00:00,171197,181772
2022-01-03 04:00:00,184861,199216
2022-01-03 05:00:00,201144,228635
2022-01-03 06:00:00,203075,250878
2022-01-03 07:00:00,204140,261928
2022-01-03 08:00:00,207695,267001
2022-01-03 09:00:00,212278,272754
2022-01-03 10:00:00,218945,279273
2022-01-03 11:00:00,217933,280238
2022-01-03 12:00:00,209299,275534
2022-01-03 13:00:00,198213,272737
