start_time,green_energy_DK,DK_Load
2021-12-31 23:00:00,3652,3314
2022-01-01 00:00:00,3605,3218
2022-01-01 01:00:00,3309,3126
2022-01-01 02:00:00,3043,3080
2022-01-01 03:00:00,2852,3044
2022-01-01 04:00:00,2724,3130
2022-01-01 05:00:00,2579,3238
2022-01-01 06:00:00,2293,3378
2022-01-01 07:00:00,1806,3537
2022-01-01 08:00:00,1655,3714
2022-01-01 09:00:00,1601,3818
2022-01-01 10:00:00,1832,3893
2022-01-01 11:00:00,1904,3943
2022-01-01 12:00:00,2116,3915
2022-01-01 13:00:00,2498,3988
2022-01-01 14:00:00,3200,4213
2022-01-01 15:00:00,3771,4473
2022-01-01 16:00:00,4339,4407
2022-01-01 17:00:00,4792,4133
2022-01-01 18:00:00,5052,3970
2022-01-01 19:00:00,5097,3821
2022-01-01 20:00:00,4892,3619
2022-01-01 21:00:00,4747,3462
2022-01-01 22:00:00,4078,3351
2022-01-01 23:00:00,3960,3173
2022-01-02 00:00:00,3959,3128
2022-01-02 01:00:00,3732,3093
2022-01-02 02:00:00,3817,3063
2022-01-02 03:00:00,3814,3149
2022-01-02 04:00:00,3700,3260
2022-01-02 05:00:00,3663,3455
2022-01-02 06:00:00,3639,3722
2022-01-02 07:00:00,3497,3905
2022-01-02 08:00:00,3341,4097
2022-01-02 09:00:00,2977,4167
2022-01-02 10:00:00,2635,4198
2022-01-02 11:00:00,2180,4212
2022-01-02 12:00:00,2213,4191
2022-01-02 13:00:00,2494,4301
2022-01-02 14:00:00,3073,4521
2022-01-02 15:00:00,3578,4873
2022-01-02 16:00:00,4189,4735
2022-01-02 17:00:00,4797,4433
2022-01-02 18:00:00,4885,4183
2022-01-02 19:00:00,4728,3974
2022-01-02 20:00:00,4382,3769
2022-01-02 21:00:00,3948,3559
2022-01-02 22:00:00,3615,3394
2022-01-02 23:00:00,3424,3345
2022-01-03 00:00:00,3273,3308
2022-01-03 01:00:00,3297,3285
2022-01-03 02:00:00,3700,3361
2022-01-03 03:00:00,4312,3584
2022-01-03 04:00:00,4806,4201
2022-01-03 05:00:00,5033,4772
2022-01-03 06:00:00,5162,5079
2022-01-03 07:00:00,5753,5072
2022-01-03 08:00:00,6024,5190
2022-01-03 09:00:00,6272,5246
2022-01-03 10:00:00,6382,5134
2022-01-03 11:00:00,6390,5078
2022-01-03 12:00:00,6309,5043
2022-01-03 13:00:00,6378,5021
2022-01-03 14:00:00,6361,5200
2022-01-03 15:00:00,6482,5535
2022-01-03 16:00:00,6151,5326
2022-01-03 17:00:00,5583,4973
2022-01-03 18:00:00,5041,4586
2022-01-03 19:00:00,4451,4316
2022-01-03 20:00:00,4080,4040
2022-01-03 21:00:00,3692,3758
2022-01-03 22:00:00,3238,3577
2022-01-03 23:00:00,2933,3488
2022-01-04 00:00:00,2736,3429
2022-01-04 01:00:00,2788,3454
2022-01-04 02:00:00,2744,3528
2022-01-04 03:00:00,2475,3716
2022-01-04 04:00:00,2521,4255
2022-01-04 05:00:00,2769,4878
2022-01-04 06:00:00,2726,5205
2022-01-04 07:00:00,2849,5238
2022-01-04 08:00:00,3017,5314
2022-01-04 09:00:00,3309,5333
2022-01-04 10:00:00,3647,5260
2022-01-04 11:00:00,3525,5227
2022-01-04 12:00:00,3734,5188
2022-01-04 13:00:00,3860,5091
2022-01-04 14:00:00,3891,5299
2022-01-04 15:00:00,4117,5641
