start_time,green_energy_HU,HU_Load
2021-12-31 23:00:00,285,4254
2022-01-01 00:00:00,1376,16457
2022-01-01 01:00:00,1526,15426
2022-01-01 02:00:00,1560,14781
2022-01-01 03:00:00,1287,14630
2022-01-01 04:00:00,1309,14688
2022-01-01 05:00:00,1450,14960
2022-01-01 06:00:00,1627,15034
2022-01-01 07:00:00,2447,15259
2022-01-01 08:00:00,3597,15551
2022-01-01 09:00:00,4205,16045
2022-01-01 10:00:00,4331,16500
2022-01-01 11:00:00,3845,16966
2022-01-01 12:00:00,3026,17195
2022-01-01 13:00:00,2129,17488
2022-01-01 14:00:00,1517,18052
2022-01-01 15:00:00,1419,19157
2022-01-01 16:00:00,1427,19169
2022-01-01 17:00:00,1287,19117
2022-01-01 18:00:00,1154,19077
2022-01-01 19:00:00,1163,18695
2022-01-01 20:00:00,1108,18142
2022-01-01 21:00:00,1021,17310
2022-01-01 22:00:00,999,16380
2022-01-01 23:00:00,964,15480
2022-01-02 00:00:00,893,14901
2022-01-02 01:00:00,734,14342
2022-01-02 02:00:00,645,14142
2022-01-02 03:00:00,674,14436
2022-01-02 04:00:00,842,15008
2022-01-02 05:00:00,971,16122
2022-01-02 06:00:00,1106,16881
2022-01-02 07:00:00,1921,17859
2022-01-02 08:00:00,3141,18359
2022-01-02 09:00:00,3862,18526
2022-01-02 10:00:00,3976,18846
2022-01-02 11:00:00,3617,18756
2022-01-02 12:00:00,2666,18838
2022-01-02 13:00:00,1606,19191
2022-01-02 14:00:00,920,19941
2022-01-02 15:00:00,776,21433
2022-01-02 16:00:00,769,21539
2022-01-02 17:00:00,720,21399
2022-01-02 18:00:00,747,21157
2022-01-02 19:00:00,790,20457
2022-01-02 20:00:00,832,19465
2022-01-02 21:00:00,836,18475
2022-01-02 22:00:00,867,17309
2022-01-02 23:00:00,1029,16340
2022-01-03 00:00:00,1232,15728
2022-01-03 01:00:00,1219,15247
2022-01-03 02:00:00,1006,15225
2022-01-03 03:00:00,960,16018
2022-01-03 04:00:00,1144,18135
2022-01-03 05:00:00,982,21080
2022-01-03 06:00:00,1426,22265
2022-01-03 07:00:00,1768,22989
2022-01-03 08:00:00,1798,23502
2022-01-03 09:00:00,1982,23775
2022-01-03 10:00:00,2502,23804
2022-01-03 11:00:00,2595,23651
2022-01-03 12:00:00,2797,22992
2022-01-03 13:00:00,2118,23119
2022-01-03 14:00:00,1473,23529
2022-01-03 15:00:00,1206,24350
2022-01-03 16:00:00,1055,24105
2022-01-03 17:00:00,981,23765
2022-01-03 18:00:00,882,23324
2022-01-03 19:00:00,768,22524
2022-01-03 20:00:00,824,21649
2022-01-03 21:00:00,857,20734
2022-01-03 22:00:00,789,19566
2022-01-03 23:00:00,824,18383
2022-01-04 00:00:00,847,17491
2022-01-04 01:00:00,901,16824
2022-01-04 02:00:00,938,16628
2022-01-04 03:00:00,906,17349
2022-01-04 04:00:00,874,19280
2022-01-04 05:00:00,866,22153
2022-01-04 06:00:00,883,22996
2022-01-04 07:00:00,1504,22979
2022-01-04 08:00:00,2252,22958
2022-01-04 09:00:00,2509,23194
2022-01-04 10:00:00,2554,23504
2022-01-04 11:00:00,2284,23930
2022-01-04 12:00:00,2088,23658
2022-01-04 13:00:00,1944,23807
2022-01-04 14:00:00,1728,24064
2022-01-04 15:00:00,1746,24804
2022-01-04 16:00:00,1746,24481
2022-01-04 17:00:00,1723,24196
2022-01-04 18:00:00,1626,23676
2022-01-04 19:00:00,1613,22830
2022-01-04 20:00:00,1390,21785
2022-01-04 21:00:00,1484,20845
2022-01-04 22:00:00,1476,19721
2022-01-04 23:00:00,1391,18448
2022-01-05 00:00:00,1340,17644
2022-01-05 01:00:00,1276,17016
2022-01-05 02:00:00,1198,16847
2022-01-05 03:00:00,1097,17583
2022-01-05 04:00:00,934,19351
2022-01-05 05:00:00,955,22297
2022-01-05 06:00:00,1101,23121
2022-01-05 07:00:00,1187,23629
2022-01-05 08:00:00,1362,23905
2022-01-05 09:00:00,1580,24176
2022-01-05 10:00:00,1673,24580
2022-01-05 11:00:00,1579,24634
2022-01-05 12:00:00,1335,24283
2022-01-05 13:00:00,980,24548
2022-01-05 14:00:00,835,24738
2022-01-05 15:00:00,905,25260
2022-01-05 16:00:00,1154,24805
2022-01-05 17:00:00,1247,24515
2022-01-05 18:00:00,1490,24048
2022-01-05 19:00:00,1496,23220
2022-01-05 20:00:00,1485,22289
2022-01-05 21:00:00,1279,21453
2022-01-05 22:00:00,1193,20432
2022-01-05 23:00:00,1240,19179
2022-01-06 00:00:00,1077,18356
2022-01-06 01:00:00,990,17668
2022-01-06 02:00:00,955,17518
2022-01-06 03:00:00,949,18269
2022-01-06 04:00:00,991,20137
2022-01-06 05:00:00,1022,23160
2022-01-06 06:00:00,1020,24170
2022-01-06 07:00:00,1342,24458
2022-01-06 08:00:00,2016,24250
2022-01-06 09:00:00,2532,24073
2022-01-06 10:00:00,2849,24298
2022-01-06 11:00:00,2816,24507
2022-01-06 12:00:00,2346,24278
2022-01-06 13:00:00,1942,24527
2022-01-06 14:00:00,1741,24744
2022-01-06 15:00:00,1389,25493
2022-01-06 16:00:00,1397,25290
2022-01-06 17:00:00,1307,25096
2022-01-06 18:00:00,1231,24771
2022-01-06 19:00:00,1201,23984
2022-01-06 20:00:00,947,23026
2022-01-06 21:00:00,1048,22152
2022-01-06 22:00:00,1154,21060
2022-01-06 23:00:00,1053,19668
2022-01-07 00:00:00,964,18965
2022-01-07 01:00:00,706,18378
2022-01-07 02:00:00,594,18244
2022-01-07 03:00:00,591,19047
2022-01-07 04:00:00,582,20997
2022-01-07 05:00:00,585,24068
2022-01-07 06:00:00,791,24879
2022-01-07 07:00:00,2138,24279
2022-01-07 08:00:00,3924,23325
2022-01-07 09:00:00,5166,22627
2022-01-07 10:00:00,5555,22505
2022-01-07 11:00:00,5275,22587
2022-01-07 12:00:00,4168,22717
2022-01-07 13:00:00,2396,23651
2022-01-07 14:00:00,962,24781
2022-01-07 15:00:00,715,26000
2022-01-07 16:00:00,847,25849
2022-01-07 17:00:00,799,25628
2022-01-07 18:00:00,784,25143
2022-01-07 19:00:00,837,24320
2022-01-07 20:00:00,861,23564
2022-01-07 21:00:00,880,22794
