start_time,green_energy_IT,IT_Load
2021-12-31 23:00:00,5801,21121
2022-01-01 00:00:00,5745,19756
2022-01-01 01:00:00,6228,18685
2022-01-01 02:00:00,6407,18124
2022-01-01 03:00:00,5760,18400
2022-01-01 04:00:00,5501,19223
2022-01-01 05:00:00,6226,19738
2022-01-01 06:00:00,7356,20289
2022-01-01 07:00:00,8637,21469
2022-01-01 08:00:00,9132,22735
2022-01-01 09:00:00,9821,23636
2022-01-01 10:00:00,10404,24182
2022-01-01 11:00:00,10367,23270
2022-01-01 12:00:00,9877,22755
2022-01-01 13:00:00,7776,22881
2022-01-01 14:00:00,7108,23818
2022-01-01 15:00:00,8807,26742
2022-01-01 16:00:00,9000,27672
2022-01-01 17:00:00,9276,28393
2022-01-01 18:00:00,8514,27996
2022-01-01 19:00:00,7418,26693
2022-01-01 20:00:00,5956,24635
2022-01-01 21:00:00,5111,22404
2022-01-01 22:00:00,5044,20428
2022-01-01 23:00:00,5319,18989
2022-01-02 00:00:00,5291,18083
2022-01-02 01:00:00,5514,17740
2022-01-02 02:00:00,5613,17737
2022-01-02 03:00:00,5213,18409
2022-01-02 04:00:00,5063,19869
2022-01-02 05:00:00,4843,21148
2022-01-02 06:00:00,5736,22332
2022-01-02 07:00:00,6963,23775
2022-01-02 08:00:00,8390,24697
2022-01-02 09:00:00,9409,25360
2022-01-02 10:00:00,10099,26123
2022-01-02 11:00:00,10019,25308
2022-01-02 12:00:00,8622,24751
2022-01-02 13:00:00,7313,24918
2022-01-02 14:00:00,6958,26049
2022-01-02 15:00:00,9467,28970
2022-01-02 16:00:00,9812,30088
2022-01-02 17:00:00,9869,30781
2022-01-02 18:00:00,9444,29662
2022-01-02 19:00:00,7493,27563
2022-01-02 20:00:00,7247,25326
2022-01-02 21:00:00,6941,22897
2022-01-02 22:00:00,7732,20859
2022-01-02 23:00:00,7833,19413
2022-01-03 00:00:00,7919,18841
2022-01-03 01:00:00,8100,18543
2022-01-03 02:00:00,8306,19052
2022-01-03 03:00:00,8372,20705
2022-01-03 04:00:00,6553,24670
2022-01-03 05:00:00,7130,28930
2022-01-03 06:00:00,9251,32665
2022-01-03 07:00:00,10528,35378
2022-01-03 08:00:00,10719,35696
2022-01-03 09:00:00,10817,35706
2022-01-03 10:00:00,10591,34695
2022-01-03 11:00:00,10331,34343
2022-01-03 12:00:00,9426,34803
2022-01-03 13:00:00,8513,35188
2022-01-03 14:00:00,8320,36242
2022-01-03 15:00:00,9732,38273
2022-01-03 16:00:00,9455,38007
