start_time,green_energy_NE,NE_Load
2021-12-31 23:00:00,3554,10326
2022-01-01 00:00:00,12768,40706
2022-01-01 01:00:00,11131,39465
2022-01-01 02:00:00,11324,38923
2022-01-01 03:00:00,11290,38211
2022-01-01 04:00:00,11093,38146
2022-01-01 05:00:00,11028,38956
2022-01-01 06:00:00,10421,39968
2022-01-01 07:00:00,10565,40808
2022-01-01 08:00:00,11355,41742
2022-01-01 09:00:00,13283,42796
2022-01-01 10:00:00,14039,42494
2022-01-01 11:00:00,14848,42294
2022-01-01 12:00:00,15071,43153
2022-01-01 13:00:00,15058,44379
2022-01-01 14:00:00,14996,45865
2022-01-01 15:00:00,14620,48406
2022-01-01 16:00:00,15599,52021
2022-01-01 17:00:00,16211,51429
2022-01-01 18:00:00,16206,49999
2022-01-01 19:00:00,15302,47940
2022-01-01 20:00:00,14103,46052
2022-01-01 21:00:00,13678,44113
2022-01-01 22:00:00,14029,42275
2022-01-01 23:00:00,14210,41053
2022-01-02 00:00:00,15019,39562
2022-01-02 01:00:00,15174,38687
2022-01-02 02:00:00,15153,38236
2022-01-02 03:00:00,15239,38283
2022-01-02 04:00:00,15262,38979
2022-01-02 05:00:00,15201,40264
2022-01-02 06:00:00,15936,42237
2022-01-02 07:00:00,16315,44702
2022-01-02 08:00:00,16895,46562
2022-01-02 09:00:00,16866,46441
2022-01-02 10:00:00,17041,47998
2022-01-02 11:00:00,17307,48585
2022-01-02 12:00:00,17072,47660
2022-01-02 13:00:00,16696,47919
2022-01-02 14:00:00,16590,48988
2022-01-02 15:00:00,15779,51783
2022-01-02 16:00:00,15979,55587
2022-01-02 17:00:00,15629,54121
2022-01-02 18:00:00,15862,52577
2022-01-02 19:00:00,16002,50705
2022-01-02 20:00:00,16371,48614
2022-01-02 21:00:00,16570,46842
2022-01-02 22:00:00,17174,44466
2022-01-02 23:00:00,16800,42800
2022-01-03 00:00:00,15291,41392
2022-01-03 01:00:00,15191,40806
2022-01-03 02:00:00,14849,40492
2022-01-03 03:00:00,15229,40988
2022-01-03 04:00:00,16200,43740
2022-01-03 05:00:00,16798,47804
2022-01-03 06:00:00,16929,52778
2022-01-03 07:00:00,17148,57029
2022-01-03 08:00:00,17144,58111
2022-01-03 09:00:00,17154,56875
2022-01-03 10:00:00,17297,55464
2022-01-03 11:00:00,17371,55854
2022-01-03 12:00:00,17332,56252
2022-01-03 13:00:00,17064,57466
2022-01-03 14:00:00,16699,58816
2022-01-03 15:00:00,16391,61242
2022-01-03 16:00:00,15956,63810
2022-01-03 17:00:00,15161,60621
2022-01-03 18:00:00,14794,58003
2022-01-03 19:00:00,13703,54823
2022-01-03 20:00:00,12828,52129
2022-01-03 21:00:00,12028,49295
2022-01-03 22:00:00,11360,46530
2022-01-03 23:00:00,10775,44424
2022-01-04 00:00:00,10085,43524
2022-01-04 01:00:00,9834,42615
2022-01-04 02:00:00,8640,42249
2022-01-04 03:00:00,7541,42804
2022-01-04 04:00:00,7402,45047
2022-01-04 05:00:00,6612,49175
2022-01-04 06:00:00,6663,54802
2022-01-04 07:00:00,5847,59275
2022-01-04 08:00:00,6418,60815
2022-01-04 09:00:00,4828,60695
2022-01-04 10:00:00,5676,60731
2022-01-04 11:00:00,6077,60624
2022-01-04 12:00:00,6803,60527
2022-01-04 13:00:00,6702,60152
2022-01-04 14:00:00,5948,60484
2022-01-04 15:00:00,7995,62735
2022-01-04 16:00:00,7117,65179
2022-01-04 17:00:00,8768,61854
2022-01-04 18:00:00,11030,59419
2022-01-04 19:00:00,11075,56378
2022-01-04 20:00:00,12467,53698
2022-01-04 21:00:00,13959,51094
2022-01-04 22:00:00,13899,48171
2022-01-04 23:00:00,14492,46082
2022-01-05 00:00:00,15124,44542
2022-01-05 01:00:00,15578,44317
2022-01-05 02:00:00,16051,44149
2022-01-05 03:00:00,16432,44739
2022-01-05 04:00:00,16694,46258
2022-01-05 05:00:00,17091,49996
2022-01-05 06:00:00,17407,55534
2022-01-05 07:00:00,17311,59353
2022-01-05 08:00:00,17343,61021
2022-01-05 09:00:00,17411,61124
2022-01-05 10:00:00,17642,60209
2022-01-05 11:00:00,17709,59304
2022-01-05 12:00:00,17398,59158
2022-01-05 13:00:00,17169,59484
2022-01-05 14:00:00,16644,60449
2022-01-05 15:00:00,16623,62690
2022-01-05 16:00:00,16243,65027
2022-01-05 17:00:00,15951,62286
2022-01-05 18:00:00,15696,59793
2022-01-05 19:00:00,15561,56930
2022-01-05 20:00:00,13749,54108
2022-01-05 21:00:00,13216,51647
2022-01-05 22:00:00,12236,48823
2022-01-05 23:00:00,13179,46607
2022-01-06 00:00:00,9944,44926
2022-01-06 01:00:00,8920,43936
2022-01-06 02:00:00,6800,43617
2022-01-06 03:00:00,4985,44290
2022-01-06 04:00:00,3253,46569
2022-01-06 05:00:00,2370,51235
2022-01-06 06:00:00,2009,57237
2022-01-06 07:00:00,1130,60865
2022-01-06 08:00:00,1292,59895
2022-01-06 09:00:00,2110,56254
2022-01-06 10:00:00,2830,53946
2022-01-06 11:00:00,4301,52892
2022-01-06 12:00:00,5335,53562
2022-01-06 13:00:00,6258,55745
2022-01-06 14:00:00,8040,58746
2022-01-06 15:00:00,9305,62312
2022-01-06 16:00:00,11568,65345
2022-01-06 17:00:00,13835,62671
2022-01-06 18:00:00,15843,60087
2022-01-06 19:00:00,16467,57242
2022-01-06 20:00:00,16507,54355
2022-01-06 21:00:00,16047,51176
2022-01-06 22:00:00,16456,48467
2022-01-06 23:00:00,16753,46534
2022-01-07 00:00:00,16758,44996
2022-01-07 01:00:00,16867,43913
2022-01-07 02:00:00,15867,43252
2022-01-07 03:00:00,16202,43937
2022-01-07 04:00:00,15881,45972
2022-01-07 05:00:00,15933,50094
2022-01-07 06:00:00,15223,55364
2022-01-07 07:00:00,14670,59510
2022-01-07 08:00:00,14475,60270
2022-01-07 09:00:00,14292,58822
2022-01-07 10:00:00,13918,57216
2022-01-07 11:00:00,13981,57208
2022-01-07 12:00:00,14268,57496
2022-01-07 13:00:00,14002,58620
2022-01-07 14:00:00,13196,59952
2022-01-07 15:00:00,11868,61849
2022-01-07 16:00:00,10771,63875
2022-01-07 17:00:00,10443,61344
2022-01-07 18:00:00,9541,58692
2022-01-07 19:00:00,8073,55978
2022-01-07 20:00:00,8476,53240
2022-01-07 21:00:00,7877,50276
2022-01-07 22:00:00,8521,47876
2022-01-07 23:00:00,8858,46441
2022-01-08 00:00:00,8972,45103
2022-01-08 01:00:00,7220,43938
2022-01-08 02:00:00,5990,42972
2022-01-08 03:00:00,6326,43129
2022-01-08 04:00:00,6109,44362
2022-01-08 05:00:00,5802,46133
2022-01-08 06:00:00,6610,48407
2022-01-08 07:00:00,8041,51083
2022-01-08 08:00:00,10402,52765
2022-01-08 09:00:00,13832,53386
2022-01-08 10:00:00,15630,53587
2022-01-08 11:00:00,16378,53954
2022-01-08 12:00:00,16634,54699
2022-01-08 13:00:00,17262,55728
2022-01-08 14:00:00,17525,56287
2022-01-08 15:00:00,17505,58088
2022-01-08 16:00:00,17528,60536
2022-01-08 17:00:00,17467,58553
2022-01-08 18:00:00,16972,56189
2022-01-08 19:00:00,15531,53161
2022-01-08 20:00:00,15615,51056
2022-01-08 21:00:00,15764,48901
2022-01-08 22:00:00,14561,46830
2022-01-08 23:00:00,11822,44718
2022-01-09 00:00:00,14182,43657
2022-01-09 01:00:00,15089,42827
2022-01-09 02:00:00,15951,41823
2022-01-09 03:00:00,16657,41723
2022-01-09 04:00:00,16484,42409
2022-01-09 05:00:00,16122,43688
2022-01-09 06:00:00,15346,45764
2022-01-09 07:00:00,14347,47644
2022-01-09 08:00:00,14055,48748
2022-01-09 09:00:00,12844,48586
2022-01-09 10:00:00,11431,47980
2022-01-09 11:00:00,10485,47366
2022-01-09 12:00:00,8520,47128
2022-01-09 13:00:00,7442,48044
2022-01-09 14:00:00,5912,49958
2022-01-09 15:00:00,4741,54013
2022-01-09 16:00:00,4362,59212
2022-01-09 17:00:00,3993,57664
2022-01-09 18:00:00,3890,55799
2022-01-09 19:00:00,3618,53644
2022-01-09 20:00:00,2575,51308
2022-01-09 21:00:00,1888,49131
2022-01-09 22:00:00,1291,46626
2022-01-09 23:00:00,1251,45132
2022-01-10 00:00:00,1050,43895
2022-01-10 01:00:00,929,43386
2022-01-10 02:00:00,951,43203
2022-01-10 03:00:00,1073,44050
2022-01-10 04:00:00,925,46653
2022-01-10 05:00:00,818,51887
2022-01-10 06:00:00,894,59219
2022-01-10 07:00:00,827,63708
2022-01-10 08:00:00,932,63368
2022-01-10 09:00:00,1130,60467
2022-01-10 10:00:00,1290,57646
2022-01-10 11:00:00,1474,56018
2022-01-10 12:00:00,1476,55343
2022-01-10 13:00:00,1309,56170
2022-01-10 14:00:00,1341,59861
2022-01-10 15:00:00,1569,63786
2022-01-10 16:00:00,2057,66666
2022-01-10 17:00:00,2974,64047
2022-01-10 18:00:00,3166,61655
2022-01-10 19:00:00,3563,58648
2022-01-10 20:00:00,3687,55600
2022-01-10 21:00:00,4310,52490
2022-01-10 22:00:00,4874,49466
2022-01-10 23:00:00,5241,47487
2022-01-11 00:00:00,6016,46124
2022-01-11 01:00:00,5861,45464
2022-01-11 02:00:00,6158,45187
2022-01-11 03:00:00,6043,45806
2022-01-11 04:00:00,5947,48116
2022-01-11 05:00:00,6274,53687
2022-01-11 06:00:00,6438,60847
2022-01-11 07:00:00,6305,64084
2022-01-11 08:00:00,6951,63545
2022-01-11 09:00:00,7321,60977
2022-01-11 10:00:00,7281,58366
2022-01-11 11:00:00,6621,56213
2022-01-11 12:00:00,6402,57002
2022-01-11 13:00:00,5525,58053
2022-01-11 14:00:00,5206,60762
2022-01-11 15:00:00,4928,63944
2022-01-11 16:00:00,4922,67236
2022-01-11 17:00:00,5029,64483
2022-01-11 18:00:00,4159,61745
2022-01-11 19:00:00,3186,58320
2022-01-11 20:00:00,2755,55529
2022-01-11 21:00:00,2343,52417
2022-01-11 22:00:00,2200,49631
2022-01-11 23:00:00,1643,47343
2022-01-12 00:00:00,1310,45882
2022-01-12 01:00:00,1601,45020
2022-01-12 02:00:00,1625,45045
2022-01-12 03:00:00,1432,45714
2022-01-12 04:00:00,1337,47920
2022-01-12 05:00:00,1476,53118
2022-01-12 06:00:00,1317,60004
2022-01-12 07:00:00,1123,64547
2022-01-12 08:00:00,1190,64579
2022-01-12 09:00:00,1380,62658
2022-01-12 10:00:00,1520,61205
2022-01-12 11:00:00,1793,60078
2022-01-12 12:00:00,1809,60336
2022-01-12 13:00:00,1914,61193
2022-01-12 14:00:00,2399,62342
2022-01-12 15:00:00,2585,64585
2022-01-12 16:00:00,2465,67251
2022-01-12 17:00:00,2199,64476
2022-01-12 18:00:00,2363,61842
2022-01-12 19:00:00,2717,58721
2022-01-12 20:00:00,2856,55830
2022-01-12 21:00:00,3102,52349
2022-01-12 22:00:00,3576,49369
2022-01-12 23:00:00,3611,47151
2022-01-13 00:00:00,3838,45518
2022-01-13 01:00:00,3876,44861
2022-01-13 02:00:00,3964,44708
2022-01-13 03:00:00,3973,45240
2022-01-13 04:00:00,4067,47498
2022-01-13 05:00:00,4513,52813
2022-01-13 06:00:00,4681,60249
2022-01-13 07:00:00,4543,64439
2022-01-13 08:00:00,4460,64834
2022-01-13 09:00:00,4818,63751
2022-01-13 10:00:00,4908,63052
2022-01-13 11:00:00,5439,61934
2022-01-13 12:00:00,5327,61813
2022-01-13 13:00:00,5531,61946
2022-01-13 14:00:00,6039,62985
2022-01-13 15:00:00,5589,64671
2022-01-13 16:00:00,5283,67246
2022-01-13 17:00:00,5302,64666
2022-01-13 18:00:00,5081,61722
2022-01-13 19:00:00,5206,58326
2022-01-13 20:00:00,5515,55203
2022-01-13 21:00:00,5718,52075
2022-01-13 22:00:00,5903,49465
2022-01-13 23:00:00,5984,47465
2022-01-14 00:00:00,5513,46195
2022-01-14 01:00:00,5004,45366
2022-01-14 02:00:00,5608,45174
2022-01-14 03:00:00,5208,45689
2022-01-14 04:00:00,4355,48005
2022-01-14 05:00:00,4003,53461
2022-01-14 06:00:00,4082,60293
2022-01-14 07:00:00,3677,64046
2022-01-14 08:00:00,2978,64963
2022-01-14 09:00:00,2112,64222
2022-01-14 10:00:00,1709,63149
2022-01-14 11:00:00,1644,62672
2022-01-14 12:00:00,1123,62700
2022-01-14 13:00:00,1036,62924
2022-01-14 14:00:00,748,62976
2022-01-14 15:00:00,574,64041
2022-01-14 16:00:00,539,66196
2022-01-14 17:00:00,547,63597
2022-01-14 18:00:00,554,60363
2022-01-14 19:00:00,533,57313
2022-01-14 20:00:00,526,54436
2022-01-14 21:00:00,512,51598
