start_time,green_energy_SE,SE_Load
2021-12-31 23:00:00,11060,15331
2022-01-01 00:00:00,11107,15331
2022-01-01 01:00:00,11036,15270
2022-01-01 02:00:00,10509,15150
2022-01-01 03:00:00,10770,15387
2022-01-01 04:00:00,10852,15737
2022-01-01 05:00:00,11108,16054
2022-01-01 06:00:00,11757,16455
2022-01-01 07:00:00,11774,16943
2022-01-01 08:00:00,11668,17476
2022-01-01 09:00:00,11407,17657
2022-01-01 10:00:00,11124,17521
2022-01-01 11:00:00,11016,17542
2022-01-01 12:00:00,11134,17783
2022-01-01 13:00:00,11616,18417
2022-01-01 14:00:00,12137,18620
2022-01-01 15:00:00,12574,18778
2022-01-01 16:00:00,12930,18621
2022-01-01 17:00:00,13225,17942
2022-01-01 18:00:00,13667,17481
2022-01-01 19:00:00,14060,17048
2022-01-01 20:00:00,14106,16461
2022-01-01 21:00:00,14048,16048
2022-01-01 22:00:00,13242,15924
2022-01-01 23:00:00,12753,15328
2022-01-02 00:00:00,12567,15037
2022-01-02 01:00:00,11610,14770
2022-01-02 02:00:00,11090,14706
2022-01-02 03:00:00,10852,14752
2022-01-02 04:00:00,10842,15202
2022-01-02 05:00:00,11601,15916
2022-01-02 06:00:00,11959,16545
2022-01-02 07:00:00,12765,16960
2022-01-02 08:00:00,12943,17299
2022-01-02 09:00:00,12812,17428
2022-01-02 10:00:00,12770,17553
2022-01-02 11:00:00,12616,17792
2022-01-02 12:00:00,12555,17912
2022-01-02 13:00:00,12521,18077
2022-01-02 14:00:00,12380,18265
2022-01-02 15:00:00,12366,18541
2022-01-02 16:00:00,12191,18424
2022-01-02 17:00:00,11929,18010
2022-01-02 18:00:00,11763,17305
2022-01-02 19:00:00,11015,16546
2022-01-02 20:00:00,10974,16269
2022-01-02 21:00:00,9366,15506
2022-01-02 22:00:00,8176,15319
2022-01-02 23:00:00,8078,15049
2022-01-03 00:00:00,7897,14808
2022-01-03 01:00:00,7897,14886
2022-01-03 02:00:00,8390,15344
2022-01-03 03:00:00,8801,15734
2022-01-03 04:00:00,10816,17213
2022-01-03 05:00:00,12637,18764
2022-01-03 06:00:00,12970,19396
2022-01-03 07:00:00,12979,19451
2022-01-03 08:00:00,13029,19620
2022-01-03 09:00:00,13356,19916
2022-01-03 10:00:00,13394,20005
2022-01-03 11:00:00,13650,20204
2022-01-03 12:00:00,13776,20225
2022-01-03 13:00:00,14050,20687
2022-01-03 14:00:00,14221,20855
2022-01-03 15:00:00,14550,21041
2022-01-03 16:00:00,14547,20625
2022-01-03 17:00:00,14838,20368
2022-01-03 18:00:00,14419,19675
