start_time,green_energy_SP,SP_Load
2021-12-31 23:00:00,11244,20827
2022-01-01 00:00:00,10827,19530
2022-01-01 01:00:00,11140,18383
2022-01-01 02:00:00,11361,17680
2022-01-01 03:00:00,11247,17396
2022-01-01 04:00:00,10868,17544
2022-01-01 05:00:00,10935,17866
2022-01-01 06:00:00,11101,17806
2022-01-01 07:00:00,13339,18533
2022-01-01 08:00:00,16179,20018
2022-01-01 09:00:00,17616,20989
2022-01-01 10:00:00,17581,21514
2022-01-01 11:00:00,17181,22105
2022-01-01 12:00:00,16585,22384
2022-01-01 13:00:00,16437,21106
2022-01-01 14:00:00,14798,20617
2022-01-01 15:00:00,11888,21096
2022-01-01 16:00:00,11040,23211
2022-01-01 17:00:00,11483,24435
2022-01-01 18:00:00,11812,24964
2022-01-01 19:00:00,11974,25189
2022-01-01 20:00:00,11616,24134
2022-01-01 21:00:00,11279,22552
2022-01-01 22:00:00,10740,21048
2022-01-01 23:00:00,10412,19473
2022-01-02 00:00:00,10138,18375
2022-01-02 01:00:00,10175,17841
2022-01-02 02:00:00,10124,17539
2022-01-02 03:00:00,9878,17684
2022-01-02 04:00:00,9438,18353
2022-01-02 05:00:00,8995,19223
2022-01-02 06:00:00,8929,19936
2022-01-02 07:00:00,10299,21531
2022-01-02 08:00:00,12463,23286
2022-01-02 09:00:00,13781,24126
2022-01-02 10:00:00,14397,24202
2022-01-02 11:00:00,14453,24673
2022-01-02 12:00:00,14131,24921
2022-01-02 13:00:00,13637,23869
2022-01-02 14:00:00,11678,23258
2022-01-02 15:00:00,8699,23642
2022-01-02 16:00:00,7941,25965
2022-01-02 17:00:00,9205,27307
2022-01-02 18:00:00,9599,28243
2022-01-02 19:00:00,9242,28062
2022-01-02 20:00:00,8557,26650
2022-01-02 21:00:00,7926,24535
2022-01-02 22:00:00,6772,22800
2022-01-02 23:00:00,6853,21173
2022-01-03 00:00:00,7304,20153
2022-01-03 01:00:00,7764,19679
2022-01-03 02:00:00,8240,19754
2022-01-03 03:00:00,7981,20516
2022-01-03 04:00:00,7817,22969
2022-01-03 05:00:00,8125,26155
2022-01-03 06:00:00,9028,28546
2022-01-03 07:00:00,11578,30212
2022-01-03 08:00:00,14369,31106
2022-01-03 09:00:00,15819,30788
2022-01-03 10:00:00,16915,30499
2022-01-03 11:00:00,17930,30485
2022-01-03 12:00:00,18416,30083
2022-01-03 13:00:00,18606,29167
2022-01-03 14:00:00,16944,28768
2022-01-03 15:00:00,14300,29274
2022-01-03 16:00:00,13702,31072
2022-01-03 17:00:00,14509,31843
2022-01-03 18:00:00,14881,32306
2022-01-03 19:00:00,15087,31729
2022-01-03 20:00:00,15037,29097
2022-01-03 21:00:00,14543,26455
2022-01-03 22:00:00,14896,24775
2022-01-03 23:00:00,15911,22985
2022-01-04 00:00:00,17277,21880
2022-01-04 01:00:00,17653,21345
2022-01-04 02:00:00,17529,21264
2022-01-04 03:00:00,16689,21935
2022-01-04 04:00:00,15497,24068
2022-01-04 05:00:00,15269,26973
2022-01-04 06:00:00,16653,28993
2022-01-04 07:00:00,18025,30459
2022-01-04 08:00:00,19404,31305
2022-01-04 09:00:00,20493,31355
2022-01-04 10:00:00,20899,31292
2022-01-04 11:00:00,20966,31527
2022-01-04 12:00:00,21698,31273
2022-01-04 13:00:00,21343,30405
2022-01-04 14:00:00,20867,30188
2022-01-04 15:00:00,19832,30488
2022-01-04 16:00:00,18689,31590
2022-01-04 17:00:00,19153,32085
2022-01-04 18:00:00,20384,32753
2022-01-04 19:00:00,20896,32032
2022-01-04 20:00:00,20643,29607
2022-01-04 21:00:00,19585,26964
2022-01-04 22:00:00,18807,25526
2022-01-04 23:00:00,19272,23719
2022-01-05 00:00:00,18999,22560
2022-01-05 01:00:00,18669,22015
2022-01-05 02:00:00,18467,21928
2022-01-05 03:00:00,17598,22317
2022-01-05 04:00:00,16002,24279
2022-01-05 05:00:00,16829,27094
2022-01-05 06:00:00,17601,29198
2022-01-05 07:00:00,19498,30892
2022-01-05 08:00:00,21463,31720
2022-01-05 09:00:00,22006,31813
2022-01-05 10:00:00,22693,31696
2022-01-05 11:00:00,23626,31771
2022-01-05 12:00:00,22944,31128
2022-01-05 13:00:00,20765,30129
2022-01-05 14:00:00,17798,29775
2022-01-05 15:00:00,15168,29788
2022-01-05 16:00:00,14752,30554
2022-01-05 17:00:00,15369,30805
2022-01-05 18:00:00,14388,31001
2022-01-05 19:00:00,14223,30267
