StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,292
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10Y1001A1001A65H,MAW,B19,247
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10Y1001A1001A65H,MAW,B19,222
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10Y1001A1001A65H,MAW,B19,178
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10Y1001A1001A65H,MAW,B19,163
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10Y1001A1001A65H,MAW,B19,138
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10Y1001A1001A65H,MAW,B19,117
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10Y1001A1001A65H,MAW,B19,118
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10Y1001A1001A65H,MAW,B19,130
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10Y1001A1001A65H,MAW,B19,122
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10Y1001A1001A65H,MAW,B19,123
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10Y1001A1001A65H,MAW,B19,115
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10Y1001A1001A65H,MAW,B19,88
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10Y1001A1001A65H,MAW,B19,76
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10Y1001A1001A65H,MAW,B19,67
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10Y1001A1001A65H,MAW,B19,65
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10Y1001A1001A65H,MAW,B19,72
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10Y1001A1001A65H,MAW,B19,77
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10Y1001A1001A65H,MAW,B19,77
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10Y1001A1001A65H,MAW,B19,69
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10Y1001A1001A65H,MAW,B19,57
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10Y1001A1001A65H,MAW,B19,56
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10Y1001A1001A65H,MAW,B19,54
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10Y1001A1001A65H,MAW,B19,59
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,62
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10Y1001A1001A65H,MAW,B19,57
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10Y1001A1001A65H,MAW,B19,59
2021-01-02T02:00+00:00Z,2021-01-02T03:00+00:00Z,10Y1001A1001A65H,MAW,B19,61
2021-01-02T03:00+00:00Z,2021-01-02T04:00+00:00Z,10Y1001A1001A65H,MAW,B19,59
