StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,83
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,77
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,19
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,121
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,584
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,302
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,15
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10YIT-GRTN-----B,MAW,B10,68
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10YIT-GRTN-----B,MAW,B10,128
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10YIT-GRTN-----B,MAW,B10,260
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10YIT-GRTN-----B,MAW,B10,247
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10YIT-GRTN-----B,MAW,B10,240
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10YIT-GRTN-----B,MAW,B10,260
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10YIT-GRTN-----B,MAW,B10,125
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10YIT-GRTN-----B,MAW,B10,92
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10YIT-GRTN-----B,MAW,B10,49
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,54
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,54
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,38
2021-01-02T02:00+00:00Z,2021-01-02T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-02T03:00+00:00Z,2021-01-02T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,19
2021-01-02T04:00+00:00Z,2021-01-02T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,127
2021-01-02T05:00+00:00Z,2021-01-02T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,132
2021-01-02T06:00+00:00Z,2021-01-02T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,132
2021-01-02T07:00+00:00Z,2021-01-02T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,132
2021-01-02T08:00+00:00Z,2021-01-02T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,132
2021-01-02T09:00+00:00Z,2021-01-02T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,161
2021-01-02T10:00+00:00Z,2021-01-02T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,135
2021-01-02T11:00+00:00Z,2021-01-02T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,29
2021-01-02T12:00+00:00Z,2021-01-02T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,28
2021-01-02T13:00+00:00Z,2021-01-02T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,42
2021-01-02T14:00+00:00Z,2021-01-02T15:00+00:00Z,10YIT-GRTN-----B,MAW,B10,449
2021-01-02T15:00+00:00Z,2021-01-02T16:00+00:00Z,10YIT-GRTN-----B,MAW,B10,2592
2021-01-02T16:00+00:00Z,2021-01-02T17:00+00:00Z,10YIT-GRTN-----B,MAW,B10,2595
2021-01-02T17:00+00:00Z,2021-01-02T18:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1834
2021-01-02T18:00+00:00Z,2021-01-02T19:00+00:00Z,10YIT-GRTN-----B,MAW,B10,859
2021-01-02T19:00+00:00Z,2021-01-02T20:00+00:00Z,10YIT-GRTN-----B,MAW,B10,537
2021-01-02T20:00+00:00Z,2021-01-02T21:00+00:00Z,10YIT-GRTN-----B,MAW,B10,434
2021-01-02T21:00+00:00Z,2021-01-02T22:00+00:00Z,10YIT-GRTN-----B,MAW,B10,302
2021-01-02T22:00+00:00Z,2021-01-02T23:00+00:00Z,10YIT-GRTN-----B,MAW,B10,202
2021-01-02T23:00+00:00Z,2021-01-03T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,130
2021-01-03T00:00+00:00Z,2021-01-03T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,26
2021-01-03T01:00+00:00Z,2021-01-03T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,54
2021-01-03T02:00+00:00Z,2021-01-03T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,54
2021-01-03T03:00+00:00Z,2021-01-03T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,35
2021-01-03T06:00+00:00Z,2021-01-03T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-03T07:00+00:00Z,2021-01-03T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-03T08:00+00:00Z,2021-01-03T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-03T09:00+00:00Z,2021-01-03T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,4
2021-01-03T10:00+00:00Z,2021-01-03T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,55
2021-01-03T11:00+00:00Z,2021-01-03T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,55
2021-01-03T12:00+00:00Z,2021-01-03T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,68
2021-01-03T13:00+00:00Z,2021-01-03T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,230
2021-01-03T14:00+00:00Z,2021-01-03T15:00+00:00Z,10YIT-GRTN-----B,MAW,B10,312
2021-01-03T15:00+00:00Z,2021-01-03T16:00+00:00Z,10YIT-GRTN-----B,MAW,B10,347
2021-01-03T16:00+00:00Z,2021-01-03T17:00+00:00Z,10YIT-GRTN-----B,MAW,B10,703
2021-01-03T17:00+00:00Z,2021-01-03T18:00+00:00Z,10YIT-GRTN-----B,MAW,B10,2028
2021-01-03T18:00+00:00Z,2021-01-03T19:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1459
2021-01-03T19:00+00:00Z,2021-01-03T20:00+00:00Z,10YIT-GRTN-----B,MAW,B10,663
2021-01-03T20:00+00:00Z,2021-01-03T21:00+00:00Z,10YIT-GRTN-----B,MAW,B10,408
2021-01-03T21:00+00:00Z,2021-01-03T22:00+00:00Z,10YIT-GRTN-----B,MAW,B10,144
2021-01-03T22:00+00:00Z,2021-01-03T23:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-03T23:00+00:00Z,2021-01-04T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2021-01-04T00:00+00:00Z,2021-01-04T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,25
2021-01-04T01:00+00:00Z,2021-01-04T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,54
2021-01-04T02:00+00:00Z,2021-01-04T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,137
2021-01-04T03:00+00:00Z,2021-01-04T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,23
2021-01-04T04:00+00:00Z,2021-01-04T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,163
2021-01-04T05:00+00:00Z,2021-01-04T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1112
2021-01-04T06:00+00:00Z,2021-01-04T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,814
2021-01-04T07:00+00:00Z,2021-01-04T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1881
2021-01-04T08:00+00:00Z,2021-01-04T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1476
2021-01-04T09:00+00:00Z,2021-01-04T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,956
2021-01-04T10:00+00:00Z,2021-01-04T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,885
2021-01-04T11:00+00:00Z,2021-01-04T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,841
2021-01-04T12:00+00:00Z,2021-01-04T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,433
2021-01-04T13:00+00:00Z,2021-01-04T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,728
