StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10YSE-1--------K,MAW,B12,10419
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10YSE-1--------K,MAW,B12,10280
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10YSE-1--------K,MAW,B12,10221
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10YSE-1--------K,MAW,B12,10302
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10YSE-1--------K,MAW,B12,10352
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10YSE-1--------K,MAW,B12,10427
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10YSE-1--------K,MAW,B12,10451
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10YSE-1--------K,MAW,B12,10571
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10YSE-1--------K,MAW,B12,10820
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10YSE-1--------K,MAW,B12,11156
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10YSE-1--------K,MAW,B12,11230
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10YSE-1--------K,MAW,B12,11487
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10YSE-1--------K,MAW,B12,11535
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10YSE-1--------K,MAW,B12,11622
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10YSE-1--------K,MAW,B12,11927
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10YSE-1--------K,MAW,B12,11993
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10YSE-1--------K,MAW,B12,11919
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10YSE-1--------K,MAW,B12,11906
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10YSE-1--------K,MAW,B12,11766
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10YSE-1--------K,MAW,B12,11569
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10YSE-1--------K,MAW,B12,11218
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10YSE-1--------K,MAW,B12,10812
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10YSE-1--------K,MAW,B12,10730
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10YSE-1--------K,MAW,B12,10350
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10YSE-1--------K,MAW,B12,10379
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10YSE-1--------K,MAW,B12,10330
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10YSE-1--------K,MAW,B12,10336
2021-01-02T02:00+00:00Z,2021-01-02T03:00+00:00Z,10YSE-1--------K,MAW,B12,10342
2021-01-02T03:00+00:00Z,2021-01-02T04:00+00:00Z,10YSE-1--------K,MAW,B12,10414
2021-01-02T04:00+00:00Z,2021-01-02T05:00+00:00Z,10YSE-1--------K,MAW,B12,10338
2021-01-02T05:00+00:00Z,2021-01-02T06:00+00:00Z,10YSE-1--------K,MAW,B12,10478
2021-01-02T06:00+00:00Z,2021-01-02T07:00+00:00Z,10YSE-1--------K,MAW,B12,10615
2021-01-02T07:00+00:00Z,2021-01-02T08:00+00:00Z,10YSE-1--------K,MAW,B12,11171
2021-01-02T08:00+00:00Z,2021-01-02T09:00+00:00Z,10YSE-1--------K,MAW,B12,11704
2021-01-02T09:00+00:00Z,2021-01-02T10:00+00:00Z,10YSE-1--------K,MAW,B12,11828
2021-01-02T10:00+00:00Z,2021-01-02T11:00+00:00Z,10YSE-1--------K,MAW,B12,11909
2021-01-02T11:00+00:00Z,2021-01-02T12:00+00:00Z,10YSE-1--------K,MAW,B12,11907
2021-01-02T12:00+00:00Z,2021-01-02T13:00+00:00Z,10YSE-1--------K,MAW,B12,11968
2021-01-02T13:00+00:00Z,2021-01-02T14:00+00:00Z,10YSE-1--------K,MAW,B12,12165
2021-01-02T14:00+00:00Z,2021-01-02T15:00+00:00Z,10YSE-1--------K,MAW,B12,12111
2021-01-02T15:00+00:00Z,2021-01-02T16:00+00:00Z,10YSE-1--------K,MAW,B12,12115
2021-01-02T16:00+00:00Z,2021-01-02T17:00+00:00Z,10YSE-1--------K,MAW,B12,12049
2021-01-02T17:00+00:00Z,2021-01-02T18:00+00:00Z,10YSE-1--------K,MAW,B12,11783
2021-01-02T18:00+00:00Z,2021-01-02T19:00+00:00Z,10YSE-1--------K,MAW,B12,11446
2021-01-02T19:00+00:00Z,2021-01-02T20:00+00:00Z,10YSE-1--------K,MAW,B12,11025
2021-01-02T20:00+00:00Z,2021-01-02T21:00+00:00Z,10YSE-1--------K,MAW,B12,10653
2021-01-02T21:00+00:00Z,2021-01-02T22:00+00:00Z,10YSE-1--------K,MAW,B12,10398
2021-01-02T22:00+00:00Z,2021-01-02T23:00+00:00Z,10YSE-1--------K,MAW,B12,9884
2021-01-02T23:00+00:00Z,2021-01-03T00:00+00:00Z,10YSE-1--------K,MAW,B12,9784
2021-01-03T00:00+00:00Z,2021-01-03T01:00+00:00Z,10YSE-1--------K,MAW,B12,9671
2021-01-03T01:00+00:00Z,2021-01-03T02:00+00:00Z,10YSE-1--------K,MAW,B12,9637
2021-01-03T02:00+00:00Z,2021-01-03T03:00+00:00Z,10YSE-1--------K,MAW,B12,9729
2021-01-03T03:00+00:00Z,2021-01-03T04:00+00:00Z,10YSE-1--------K,MAW,B12,9795
2021-01-03T04:00+00:00Z,2021-01-03T05:00+00:00Z,10YSE-1--------K,MAW,B12,10131
2021-01-03T05:00+00:00Z,2021-01-03T06:00+00:00Z,10YSE-1--------K,MAW,B12,10156
2021-01-03T06:00+00:00Z,2021-01-03T07:00+00:00Z,10YSE-1--------K,MAW,B12,10365
