StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2020-12-31T23:30+00:00Z,2021-01-01T00:00+00:00Z,10Y1001A1001A92E,MAW,B01,3116
2021-01-01T00:00+00:00Z,2021-01-01T00:30+00:00Z,10Y1001A1001A92E,MAW,B01,3118
2021-01-01T00:30+00:00Z,2021-01-01T01:00+00:00Z,10Y1001A1001A92E,MAW,B01,3087
2021-01-01T01:00+00:00Z,2021-01-01T01:30+00:00Z,10Y1001A1001A92E,MAW,B01,3117
2021-01-01T01:30+00:00Z,2021-01-01T02:00+00:00Z,10Y1001A1001A92E,MAW,B01,3113
2021-01-01T02:00+00:00Z,2021-01-01T02:30+00:00Z,10Y1001A1001A92E,MAW,B01,3111
2021-01-01T02:30+00:00Z,2021-01-01T03:00+00:00Z,10Y1001A1001A92E,MAW,B01,3116
2021-01-01T03:00+00:00Z,2021-01-01T03:30+00:00Z,10Y1001A1001A92E,MAW,B01,3116
2021-01-01T03:30+00:00Z,2021-01-01T04:00+00:00Z,10Y1001A1001A92E,MAW,B01,3115
2021-01-01T04:00+00:00Z,2021-01-01T04:30+00:00Z,10Y1001A1001A92E,MAW,B01,3118
2021-01-01T04:30+00:00Z,2021-01-01T05:00+00:00Z,10Y1001A1001A92E,MAW,B01,3121
2021-01-01T05:00+00:00Z,2021-01-01T05:30+00:00Z,10Y1001A1001A92E,MAW,B01,3117
2021-01-01T05:30+00:00Z,2021-01-01T06:00+00:00Z,10Y1001A1001A92E,MAW,B01,3119
2021-01-01T06:00+00:00Z,2021-01-01T06:30+00:00Z,10Y1001A1001A92E,MAW,B01,3119
2021-01-01T06:30+00:00Z,2021-01-01T07:00+00:00Z,10Y1001A1001A92E,MAW,B01,3114
2021-01-01T07:00+00:00Z,2021-01-01T07:30+00:00Z,10Y1001A1001A92E,MAW,B01,3112
2021-01-01T07:30+00:00Z,2021-01-01T08:00+00:00Z,10Y1001A1001A92E,MAW,B01,3113
2021-01-01T08:00+00:00Z,2021-01-01T08:30+00:00Z,10Y1001A1001A92E,MAW,B01,3118
2021-01-01T08:30+00:00Z,2021-01-01T09:00+00:00Z,10Y1001A1001A92E,MAW,B01,3112
2021-01-01T09:00+00:00Z,2021-01-01T09:30+00:00Z,10Y1001A1001A92E,MAW,B01,3118
2021-01-01T09:30+00:00Z,2021-01-01T10:00+00:00Z,10Y1001A1001A92E,MAW,B01,3113
2021-01-01T10:00+00:00Z,2021-01-01T10:30+00:00Z,10Y1001A1001A92E,MAW,B01,3117
2021-01-01T10:30+00:00Z,2021-01-01T11:00+00:00Z,10Y1001A1001A92E,MAW,B01,3116
2021-01-01T11:00+00:00Z,2021-01-01T11:30+00:00Z,10Y1001A1001A92E,MAW,B01,3112
2021-01-01T11:30+00:00Z,2021-01-01T12:00+00:00Z,10Y1001A1001A92E,MAW,B01,3112
2021-01-01T12:00+00:00Z,2021-01-01T12:30+00:00Z,10Y1001A1001A92E,MAW,B01,3115
2021-01-01T12:30+00:00Z,2021-01-01T13:00+00:00Z,10Y1001A1001A92E,MAW,B01,3102
2021-01-01T13:00+00:00Z,2021-01-01T13:30+00:00Z,10Y1001A1001A92E,MAW,B01,3114
2021-01-01T13:30+00:00Z,2021-01-01T14:00+00:00Z,10Y1001A1001A92E,MAW,B01,3107
2021-01-01T14:00+00:00Z,2021-01-01T14:30+00:00Z,10Y1001A1001A92E,MAW,B01,3102
2021-01-01T14:30+00:00Z,2021-01-01T15:00+00:00Z,10Y1001A1001A92E,MAW,B01,3076
2021-01-01T15:00+00:00Z,2021-01-01T15:30+00:00Z,10Y1001A1001A92E,MAW,B01,3079
2021-01-01T15:30+00:00Z,2021-01-01T16:00+00:00Z,10Y1001A1001A92E,MAW,B01,3074
2021-01-01T16:00+00:00Z,2021-01-01T16:30+00:00Z,10Y1001A1001A92E,MAW,B01,3077
2021-01-01T16:30+00:00Z,2021-01-01T17:00+00:00Z,10Y1001A1001A92E,MAW,B01,3076
2021-01-01T17:00+00:00Z,2021-01-01T17:30+00:00Z,10Y1001A1001A92E,MAW,B01,3080
2021-01-01T17:30+00:00Z,2021-01-01T18:00+00:00Z,10Y1001A1001A92E,MAW,B01,3076
2021-01-01T18:00+00:00Z,2021-01-01T18:30+00:00Z,10Y1001A1001A92E,MAW,B01,3077
2021-01-01T18:30+00:00Z,2021-01-01T19:00+00:00Z,10Y1001A1001A92E,MAW,B01,3047
2021-01-01T19:00+00:00Z,2021-01-01T19:30+00:00Z,10Y1001A1001A92E,MAW,B01,3040
2021-01-01T19:30+00:00Z,2021-01-01T20:00+00:00Z,10Y1001A1001A92E,MAW,B01,3051
2021-01-01T20:00+00:00Z,2021-01-01T20:30+00:00Z,10Y1001A1001A92E,MAW,B01,3047
2021-01-01T20:30+00:00Z,2021-01-01T21:00+00:00Z,10Y1001A1001A92E,MAW,B01,3074
2021-01-01T21:00+00:00Z,2021-01-01T21:30+00:00Z,10Y1001A1001A92E,MAW,B01,3083
2021-01-01T21:30+00:00Z,2021-01-01T22:00+00:00Z,10Y1001A1001A92E,MAW,B01,3085
2021-01-01T22:00+00:00Z,2021-01-01T22:30+00:00Z,10Y1001A1001A92E,MAW,B01,2921
2021-01-01T22:30+00:00Z,2021-01-01T23:00+00:00Z,10Y1001A1001A92E,MAW,B01,2465
2021-01-01T23:00+00:00Z,2021-01-01T23:30+00:00Z,10Y1001A1001A92E,MAW,B01,2464
2021-01-01T23:30+00:00Z,2021-01-02T00:00+00:00Z,10Y1001A1001A92E,MAW,B01,2466
2021-01-02T00:00+00:00Z,2021-01-02T00:30+00:00Z,10Y1001A1001A92E,MAW,B01,2467
2021-01-02T00:30+00:00Z,2021-01-02T01:00+00:00Z,10Y1001A1001A92E,MAW,B01,2456
2021-01-02T01:00+00:00Z,2021-01-02T01:30+00:00Z,10Y1001A1001A92E,MAW,B01,2463
2021-01-02T01:30+00:00Z,2021-01-02T02:00+00:00Z,10Y1001A1001A92E,MAW,B01,2481
2021-01-02T02:00+00:00Z,2021-01-02T02:30+00:00Z,10Y1001A1001A92E,MAW,B01,2484
2021-01-02T02:30+00:00Z,2021-01-02T03:00+00:00Z,10Y1001A1001A92E,MAW,B01,2443
2021-01-02T03:00+00:00Z,2021-01-02T03:30+00:00Z,10Y1001A1001A92E,MAW,B01,2484
2021-01-02T03:30+00:00Z,2021-01-02T04:00+00:00Z,10Y1001A1001A92E,MAW,B01,2494
2021-01-02T04:00+00:00Z,2021-01-02T04:30+00:00Z,10Y1001A1001A92E,MAW,B01,2491
2021-01-02T04:30+00:00Z,2021-01-02T05:00+00:00Z,10Y1001A1001A92E,MAW,B01,2497
2021-01-02T05:00+00:00Z,2021-01-02T05:30+00:00Z,10Y1001A1001A92E,MAW,B01,2498
2021-01-02T05:30+00:00Z,2021-01-02T06:00+00:00Z,10Y1001A1001A92E,MAW,B01,2498
2021-01-02T06:00+00:00Z,2021-01-02T06:30+00:00Z,10Y1001A1001A92E,MAW,B01,2496
2021-01-02T06:30+00:00Z,2021-01-02T07:00+00:00Z,10Y1001A1001A92E,MAW,B01,2491
2021-01-02T07:00+00:00Z,2021-01-02T07:30+00:00Z,10Y1001A1001A92E,MAW,B01,2434
2021-01-02T07:30+00:00Z,2021-01-02T08:00+00:00Z,10Y1001A1001A92E,MAW,B01,2420
2021-01-02T08:00+00:00Z,2021-01-02T08:30+00:00Z,10Y1001A1001A92E,MAW,B01,2479
2021-01-02T08:30+00:00Z,2021-01-02T09:00+00:00Z,10Y1001A1001A92E,MAW,B01,2474
2021-01-02T09:00+00:00Z,2021-01-02T09:30+00:00Z,10Y1001A1001A92E,MAW,B01,2482
2021-01-02T09:30+00:00Z,2021-01-02T10:00+00:00Z,10Y1001A1001A92E,MAW,B01,2481
2021-01-02T10:00+00:00Z,2021-01-02T10:30+00:00Z,10Y1001A1001A92E,MAW,B01,2483
2021-01-02T10:30+00:00Z,2021-01-02T11:00+00:00Z,10Y1001A1001A92E,MAW,B01,2484
2021-01-02T11:00+00:00Z,2021-01-02T11:30+00:00Z,10Y1001A1001A92E,MAW,B01,2491
2021-01-02T11:30+00:00Z,2021-01-02T12:00+00:00Z,10Y1001A1001A92E,MAW,B01,2489
2021-01-02T12:00+00:00Z,2021-01-02T12:30+00:00Z,10Y1001A1001A92E,MAW,B01,2492
2021-01-02T12:30+00:00Z,2021-01-02T13:00+00:00Z,10Y1001A1001A92E,MAW,B01,2450
2021-01-02T13:00+00:00Z,2021-01-02T13:30+00:00Z,10Y1001A1001A92E,MAW,B01,2468
2021-01-02T13:30+00:00Z,2021-01-02T14:00+00:00Z,10Y1001A1001A92E,MAW,B01,2463
2021-01-02T14:00+00:00Z,2021-01-02T14:30+00:00Z,10Y1001A1001A92E,MAW,B01,2462
2021-01-02T14:30+00:00Z,2021-01-02T15:00+00:00Z,10Y1001A1001A92E,MAW,B01,2465
2021-01-02T15:00+00:00Z,2021-01-02T15:30+00:00Z,10Y1001A1001A92E,MAW,B01,2464
2021-01-02T15:30+00:00Z,2021-01-02T16:00+00:00Z,10Y1001A1001A92E,MAW,B01,2469
2021-01-02T16:00+00:00Z,2021-01-02T16:30+00:00Z,10Y1001A1001A92E,MAW,B01,2435
2021-01-02T16:30+00:00Z,2021-01-02T17:00+00:00Z,10Y1001A1001A92E,MAW,B01,2456
2021-01-02T17:00+00:00Z,2021-01-02T17:30+00:00Z,10Y1001A1001A92E,MAW,B01,2465
2021-01-02T17:30+00:00Z,2021-01-02T18:00+00:00Z,10Y1001A1001A92E,MAW,B01,2467
2021-01-02T18:00+00:00Z,2021-01-02T18:30+00:00Z,10Y1001A1001A92E,MAW,B01,2468
2021-01-02T18:30+00:00Z,2021-01-02T19:00+00:00Z,10Y1001A1001A92E,MAW,B01,2464
2021-01-02T19:00+00:00Z,2021-01-02T19:30+00:00Z,10Y1001A1001A92E,MAW,B01,2459
2021-01-02T19:30+00:00Z,2021-01-02T20:00+00:00Z,10Y1001A1001A92E,MAW,B01,2459
2021-01-02T20:00+00:00Z,2021-01-02T20:30+00:00Z,10Y1001A1001A92E,MAW,B01,2392
2021-01-02T20:30+00:00Z,2021-01-02T21:00+00:00Z,10Y1001A1001A92E,MAW,B01,2375
2021-01-02T21:00+00:00Z,2021-01-02T21:30+00:00Z,10Y1001A1001A92E,MAW,B01,2374
2021-01-02T21:30+00:00Z,2021-01-02T22:00+00:00Z,10Y1001A1001A92E,MAW,B01,2375
2021-01-02T22:00+00:00Z,2021-01-02T22:30+00:00Z,10Y1001A1001A92E,MAW,B01,2373
2021-01-02T22:30+00:00Z,2021-01-02T23:00+00:00Z,10Y1001A1001A92E,MAW,B01,2355
2021-01-02T23:00+00:00Z,2021-01-02T23:30+00:00Z,10Y1001A1001A92E,MAW,B01,2352
2021-01-02T23:30+00:00Z,2021-01-03T00:00+00:00Z,10Y1001A1001A92E,MAW,B01,2350
2021-01-03T00:00+00:00Z,2021-01-03T00:30+00:00Z,10Y1001A1001A92E,MAW,B01,2353
2021-01-03T00:30+00:00Z,2021-01-03T01:00+00:00Z,10Y1001A1001A92E,MAW,B01,2363
2021-01-03T01:00+00:00Z,2021-01-03T01:30+00:00Z,10Y1001A1001A92E,MAW,B01,2366
2021-01-03T01:30+00:00Z,2021-01-03T02:00+00:00Z,10Y1001A1001A92E,MAW,B01,2371
2021-01-03T02:00+00:00Z,2021-01-03T02:30+00:00Z,10Y1001A1001A92E,MAW,B01,2367
2021-01-03T02:30+00:00Z,2021-01-03T03:00+00:00Z,10Y1001A1001A92E,MAW,B01,2369
2021-01-03T03:00+00:00Z,2021-01-03T03:30+00:00Z,10Y1001A1001A92E,MAW,B01,2368
2021-01-03T03:30+00:00Z,2021-01-03T04:00+00:00Z,10Y1001A1001A92E,MAW,B01,2391
2021-01-03T04:00+00:00Z,2021-01-03T04:30+00:00Z,10Y1001A1001A92E,MAW,B01,2394
2021-01-03T04:30+00:00Z,2021-01-03T05:00+00:00Z,10Y1001A1001A92E,MAW,B01,2394
2021-01-03T05:00+00:00Z,2021-01-03T05:30+00:00Z,10Y1001A1001A92E,MAW,B01,2391
2021-01-03T05:30+00:00Z,2021-01-03T06:00+00:00Z,10Y1001A1001A92E,MAW,B01,2394
2021-01-03T06:00+00:00Z,2021-01-03T06:30+00:00Z,10Y1001A1001A92E,MAW,B01,2391
2021-01-03T06:30+00:00Z,2021-01-03T07:00+00:00Z,10Y1001A1001A92E,MAW,B01,2419
2021-01-03T07:00+00:00Z,2021-01-03T07:30+00:00Z,10Y1001A1001A92E,MAW,B01,2452
2021-01-03T07:30+00:00Z,2021-01-03T08:00+00:00Z,10Y1001A1001A92E,MAW,B01,2463
2021-01-03T08:00+00:00Z,2021-01-03T08:30+00:00Z,10Y1001A1001A92E,MAW,B01,2507
2021-01-03T08:30+00:00Z,2021-01-03T09:00+00:00Z,10Y1001A1001A92E,MAW,B01,2675
2021-01-03T09:00+00:00Z,2021-01-03T09:30+00:00Z,10Y1001A1001A92E,MAW,B01,2882
2021-01-03T09:30+00:00Z,2021-01-03T10:00+00:00Z,10Y1001A1001A92E,MAW,B01,2980
2021-01-03T10:00+00:00Z,2021-01-03T10:30+00:00Z,10Y1001A1001A92E,MAW,B01,3000
2021-01-03T10:30+00:00Z,2021-01-03T11:00+00:00Z,10Y1001A1001A92E,MAW,B01,3019
2021-01-03T11:00+00:00Z,2021-01-03T11:30+00:00Z,10Y1001A1001A92E,MAW,B01,3037
2021-01-03T11:30+00:00Z,2021-01-03T12:00+00:00Z,10Y1001A1001A92E,MAW,B01,3053
2021-01-03T12:00+00:00Z,2021-01-03T12:30+00:00Z,10Y1001A1001A92E,MAW,B01,3055
2021-01-03T12:30+00:00Z,2021-01-03T13:00+00:00Z,10Y1001A1001A92E,MAW,B01,3054
2021-01-03T13:00+00:00Z,2021-01-03T13:30+00:00Z,10Y1001A1001A92E,MAW,B01,3041
2021-01-03T13:30+00:00Z,2021-01-03T14:00+00:00Z,10Y1001A1001A92E,MAW,B01,3042
2021-01-03T14:00+00:00Z,2021-01-03T14:30+00:00Z,10Y1001A1001A92E,MAW,B01,3035
2021-01-03T14:30+00:00Z,2021-01-03T15:00+00:00Z,10Y1001A1001A92E,MAW,B01,3029
2021-01-03T15:00+00:00Z,2021-01-03T15:30+00:00Z,10Y1001A1001A92E,MAW,B01,3027
2021-01-03T15:30+00:00Z,2021-01-03T16:00+00:00Z,10Y1001A1001A92E,MAW,B01,3054
2021-01-03T16:00+00:00Z,2021-01-03T16:30+00:00Z,10Y1001A1001A92E,MAW,B01,3078
2021-01-03T16:30+00:00Z,2021-01-03T17:00+00:00Z,10Y1001A1001A92E,MAW,B01,3082
2021-01-03T17:00+00:00Z,2021-01-03T17:30+00:00Z,10Y1001A1001A92E,MAW,B01,3090
2021-01-03T17:30+00:00Z,2021-01-03T18:00+00:00Z,10Y1001A1001A92E,MAW,B01,3090
2021-01-03T18:00+00:00Z,2021-01-03T18:30+00:00Z,10Y1001A1001A92E,MAW,B01,3093
2021-01-03T18:30+00:00Z,2021-01-03T19:00+00:00Z,10Y1001A1001A92E,MAW,B01,3092
2021-01-03T19:00+00:00Z,2021-01-03T19:30+00:00Z,10Y1001A1001A92E,MAW,B01,3085
2021-01-03T19:30+00:00Z,2021-01-03T20:00+00:00Z,10Y1001A1001A92E,MAW,B01,3087
2021-01-03T20:00+00:00Z,2021-01-03T20:30+00:00Z,10Y1001A1001A92E,MAW,B01,3076
2021-01-03T20:30+00:00Z,2021-01-03T21:00+00:00Z,10Y1001A1001A92E,MAW,B01,3080
2021-01-03T21:00+00:00Z,2021-01-03T21:30+00:00Z,10Y1001A1001A92E,MAW,B01,3087
2021-01-03T21:30+00:00Z,2021-01-03T22:00+00:00Z,10Y1001A1001A92E,MAW,B01,3083
2021-01-03T22:00+00:00Z,2021-01-03T22:30+00:00Z,10Y1001A1001A92E,MAW,B01,3077
2021-01-03T22:30+00:00Z,2021-01-03T23:00+00:00Z,10Y1001A1001A92E,MAW,B01,3077
2021-01-03T23:00+00:00Z,2021-01-03T23:30+00:00Z,10Y1001A1001A92E,MAW,B01,3077
2021-01-03T23:30+00:00Z,2021-01-04T00:00+00:00Z,10Y1001A1001A92E,MAW,B01,3079
2021-01-04T00:00+00:00Z,2021-01-04T00:30+00:00Z,10Y1001A1001A92E,MAW,B01,3076
2021-01-04T00:30+00:00Z,2021-01-04T01:00+00:00Z,10Y1001A1001A92E,MAW,B01,3085
2021-01-04T01:00+00:00Z,2021-01-04T01:30+00:00Z,10Y1001A1001A92E,MAW,B01,2976
2021-01-04T01:30+00:00Z,2021-01-04T02:00+00:00Z,10Y1001A1001A92E,MAW,B01,2855
