StartTime,EndTime,AreaID,UnitName,Load
2020-12-31T23:45+00:00Z,2021-01-01T00:00+00:00Z,10YNL----------L,MAW,11418
2021-01-01T00:00+00:00Z,2021-01-01T00:15+00:00Z,10YNL----------L,MAW,11379
2021-01-01T00:15+00:00Z,2021-01-01T00:30+00:00Z,10YNL----------L,MAW,11283
2021-01-01T00:30+00:00Z,2021-01-01T00:45+00:00Z,10YNL----------L,MAW,11172
2021-01-01T00:45+00:00Z,2021-01-01T01:00+00:00Z,10YNL----------L,MAW,11091
2021-01-01T01:00+00:00Z,2021-01-01T01:15+00:00Z,10YNL----------L,MAW,10988
2021-01-01T01:15+00:00Z,2021-01-01T01:30+00:00Z,10YNL----------L,MAW,10867
2021-01-01T01:30+00:00Z,2021-01-01T01:45+00:00Z,10YNL----------L,MAW,10755
2021-01-01T01:45+00:00Z,2021-01-01T02:00+00:00Z,10YNL----------L,MAW,10677
2021-01-01T02:00+00:00Z,2021-01-01T02:15+00:00Z,10YNL----------L,MAW,10619
2021-01-01T02:15+00:00Z,2021-01-01T02:30+00:00Z,10YNL----------L,MAW,10521
2021-01-01T02:30+00:00Z,2021-01-01T02:45+00:00Z,10YNL----------L,MAW,10490
2021-01-01T02:45+00:00Z,2021-01-01T03:00+00:00Z,10YNL----------L,MAW,10435
2021-01-01T03:00+00:00Z,2021-01-01T03:15+00:00Z,10YNL----------L,MAW,10392
2021-01-01T03:15+00:00Z,2021-01-01T03:30+00:00Z,10YNL----------L,MAW,10333
2021-01-01T03:30+00:00Z,2021-01-01T03:45+00:00Z,10YNL----------L,MAW,10324
2021-01-01T03:45+00:00Z,2021-01-01T04:00+00:00Z,10YNL----------L,MAW,10370
2021-01-01T04:00+00:00Z,2021-01-01T04:15+00:00Z,10YNL----------L,MAW,10395
2021-01-01T04:15+00:00Z,2021-01-01T04:30+00:00Z,10YNL----------L,MAW,10466
2021-01-01T04:30+00:00Z,2021-01-01T04:45+00:00Z,10YNL----------L,MAW,10450
2021-01-01T04:45+00:00Z,2021-01-01T05:00+00:00Z,10YNL----------L,MAW,10578
2021-01-01T05:00+00:00Z,2021-01-01T05:15+00:00Z,10YNL----------L,MAW,10575
2021-01-01T05:15+00:00Z,2021-01-01T05:30+00:00Z,10YNL----------L,MAW,10576
2021-01-01T05:30+00:00Z,2021-01-01T05:45+00:00Z,10YNL----------L,MAW,10637
2021-01-01T05:45+00:00Z,2021-01-01T06:00+00:00Z,10YNL----------L,MAW,10716
2021-01-01T06:00+00:00Z,2021-01-01T06:15+00:00Z,10YNL----------L,MAW,10789
2021-01-01T06:15+00:00Z,2021-01-01T06:30+00:00Z,10YNL----------L,MAW,10839
2021-01-01T06:30+00:00Z,2021-01-01T06:45+00:00Z,10YNL----------L,MAW,10926
2021-01-01T06:45+00:00Z,2021-01-01T07:00+00:00Z,10YNL----------L,MAW,11026
2021-01-01T07:00+00:00Z,2021-01-01T07:15+00:00Z,10YNL----------L,MAW,11178
2021-01-01T07:15+00:00Z,2021-01-01T07:30+00:00Z,10YNL----------L,MAW,11226
2021-01-01T07:30+00:00Z,2021-01-01T07:45+00:00Z,10YNL----------L,MAW,11212
2021-01-01T07:45+00:00Z,2021-01-01T08:00+00:00Z,10YNL----------L,MAW,11334
2021-01-01T08:00+00:00Z,2021-01-01T08:15+00:00Z,10YNL----------L,MAW,11441
2021-01-01T08:15+00:00Z,2021-01-01T08:30+00:00Z,10YNL----------L,MAW,11526
2021-01-01T08:30+00:00Z,2021-01-01T08:45+00:00Z,10YNL----------L,MAW,11562
2021-01-01T08:45+00:00Z,2021-01-01T09:00+00:00Z,10YNL----------L,MAW,11595
2021-01-01T09:00+00:00Z,2021-01-01T09:15+00:00Z,10YNL----------L,MAW,11633
2021-01-01T09:15+00:00Z,2021-01-01T09:30+00:00Z,10YNL----------L,MAW,11640
2021-01-01T09:30+00:00Z,2021-01-01T09:45+00:00Z,10YNL----------L,MAW,11630
2021-01-01T09:45+00:00Z,2021-01-01T10:00+00:00Z,10YNL----------L,MAW,11607
2021-01-01T10:00+00:00Z,2021-01-01T10:15+00:00Z,10YNL----------L,MAW,11581
2021-01-01T10:15+00:00Z,2021-01-01T10:30+00:00Z,10YNL----------L,MAW,11577
2021-01-01T10:30+00:00Z,2021-01-01T10:45+00:00Z,10YNL----------L,MAW,11603
