StartTime,EndTime,AreaID,UnitName,Load
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10YPL-AREA-----S,MAW,14683
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10YPL-AREA-----S,MAW,14101
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10YPL-AREA-----S,MAW,13705
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10YPL-AREA-----S,MAW,13607
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10YPL-AREA-----S,MAW,13710
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10YPL-AREA-----S,MAW,13821
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10YPL-AREA-----S,MAW,13882
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10YPL-AREA-----S,MAW,13893
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10YPL-AREA-----S,MAW,14644
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10YPL-AREA-----S,MAW,15463
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10YPL-AREA-----S,MAW,16043
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10YPL-AREA-----S,MAW,16416
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10YPL-AREA-----S,MAW,16753
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10YPL-AREA-----S,MAW,16697
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10YPL-AREA-----S,MAW,16816
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10YPL-AREA-----S,MAW,17744
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10YPL-AREA-----S,MAW,17950
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10YPL-AREA-----S,MAW,17893
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10YPL-AREA-----S,MAW,17804
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10YPL-AREA-----S,MAW,17503
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10YPL-AREA-----S,MAW,16821
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10YPL-AREA-----S,MAW,16224
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10YPL-AREA-----S,MAW,15319
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10YPL-AREA-----S,MAW,14493
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10YPL-AREA-----S,MAW,13889
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10YPL-AREA-----S,MAW,13641
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10YPL-AREA-----S,MAW,13520
2021-01-02T02:00+00:00Z,2021-01-02T03:00+00:00Z,10YPL-AREA-----S,MAW,13691
2021-01-02T03:00+00:00Z,2021-01-02T04:00+00:00Z,10YPL-AREA-----S,MAW,14084
2021-01-02T04:00+00:00Z,2021-01-02T05:00+00:00Z,10YPL-AREA-----S,MAW,15029
2021-01-02T05:00+00:00Z,2021-01-02T06:00+00:00Z,10YPL-AREA-----S,MAW,15685
2021-01-02T06:00+00:00Z,2021-01-02T07:00+00:00Z,10YPL-AREA-----S,MAW,16399
2021-01-02T07:00+00:00Z,2021-01-02T08:00+00:00Z,10YPL-AREA-----S,MAW,17682
2021-01-02T08:00+00:00Z,2021-01-02T09:00+00:00Z,10YPL-AREA-----S,MAW,18650
2021-01-02T09:00+00:00Z,2021-01-02T10:00+00:00Z,10YPL-AREA-----S,MAW,18899
2021-01-02T10:00+00:00Z,2021-01-02T11:00+00:00Z,10YPL-AREA-----S,MAW,19047
2021-01-02T11:00+00:00Z,2021-01-02T12:00+00:00Z,10YPL-AREA-----S,MAW,19295
2021-01-02T12:00+00:00Z,2021-01-02T13:00+00:00Z,10YPL-AREA-----S,MAW,19252
2021-01-02T13:00+00:00Z,2021-01-02T14:00+00:00Z,10YPL-AREA-----S,MAW,19313
2021-01-02T14:00+00:00Z,2021-01-02T15:00+00:00Z,10YPL-AREA-----S,MAW,20170
2021-01-02T15:00+00:00Z,2021-01-02T16:00+00:00Z,10YPL-AREA-----S,MAW,20125
2021-01-02T16:00+00:00Z,2021-01-02T17:00+00:00Z,10YPL-AREA-----S,MAW,19864
2021-01-02T17:00+00:00Z,2021-01-02T18:00+00:00Z,10YPL-AREA-----S,MAW,19601
2021-01-02T18:00+00:00Z,2021-01-02T19:00+00:00Z,10YPL-AREA-----S,MAW,19010
2021-01-02T19:00+00:00Z,2021-01-02T20:00+00:00Z,10YPL-AREA-----S,MAW,18159
