StartTime,EndTime,AreaID,UnitName,Load
2020-12-31T23:00+00:00Z,2021-01-01T00:00+00:00Z,10YSE-1--------K,MAW,15507
2021-01-01T00:00+00:00Z,2021-01-01T01:00+00:00Z,10YSE-1--------K,MAW,15130
2021-01-01T01:00+00:00Z,2021-01-01T02:00+00:00Z,10YSE-1--------K,MAW,14917
2021-01-01T02:00+00:00Z,2021-01-01T03:00+00:00Z,10YSE-1--------K,MAW,15029
2021-01-01T03:00+00:00Z,2021-01-01T04:00+00:00Z,10YSE-1--------K,MAW,15275
2021-01-01T04:00+00:00Z,2021-01-01T05:00+00:00Z,10YSE-1--------K,MAW,15703
2021-01-01T05:00+00:00Z,2021-01-01T06:00+00:00Z,10YSE-1--------K,MAW,15962
2021-01-01T06:00+00:00Z,2021-01-01T07:00+00:00Z,10YSE-1--------K,MAW,16338
2021-01-01T07:00+00:00Z,2021-01-01T08:00+00:00Z,10YSE-1--------K,MAW,16765
2021-01-01T08:00+00:00Z,2021-01-01T09:00+00:00Z,10YSE-1--------K,MAW,17202
2021-01-01T09:00+00:00Z,2021-01-01T10:00+00:00Z,10YSE-1--------K,MAW,17515
2021-01-01T10:00+00:00Z,2021-01-01T11:00+00:00Z,10YSE-1--------K,MAW,17585
2021-01-01T11:00+00:00Z,2021-01-01T12:00+00:00Z,10YSE-1--------K,MAW,17703
2021-01-01T12:00+00:00Z,2021-01-01T13:00+00:00Z,10YSE-1--------K,MAW,18007
2021-01-01T13:00+00:00Z,2021-01-01T14:00+00:00Z,10YSE-1--------K,MAW,18410
2021-01-01T14:00+00:00Z,2021-01-01T15:00+00:00Z,10YSE-1--------K,MAW,18716
2021-01-01T15:00+00:00Z,2021-01-01T16:00+00:00Z,10YSE-1--------K,MAW,18803
2021-01-01T16:00+00:00Z,2021-01-01T17:00+00:00Z,10YSE-1--------K,MAW,18585
2021-01-01T17:00+00:00Z,2021-01-01T18:00+00:00Z,10YSE-1--------K,MAW,18144
2021-01-01T18:00+00:00Z,2021-01-01T19:00+00:00Z,10YSE-1--------K,MAW,17604
2021-01-01T19:00+00:00Z,2021-01-01T20:00+00:00Z,10YSE-1--------K,MAW,17079
2021-01-01T20:00+00:00Z,2021-01-01T21:00+00:00Z,10YSE-1--------K,MAW,16554
2021-01-01T21:00+00:00Z,2021-01-01T22:00+00:00Z,10YSE-1--------K,MAW,15938
2021-01-01T22:00+00:00Z,2021-01-01T23:00+00:00Z,10YSE-1--------K,MAW,15400
2021-01-01T23:00+00:00Z,2021-01-02T00:00+00:00Z,10YSE-1--------K,MAW,15201
2021-01-02T00:00+00:00Z,2021-01-02T01:00+00:00Z,10YSE-1--------K,MAW,15079
2021-01-02T01:00+00:00Z,2021-01-02T02:00+00:00Z,10YSE-1--------K,MAW,15092
