StartTime,EndTime,AreaID,UnitName,Load
2020-12-31T23:30+00:00Z,2021-01-01T00:00+00:00Z,10Y1001A1001A92E,MAW,33629
2021-01-01T00:00+00:00Z,2021-01-01T00:30+00:00Z,10Y1001A1001A92E,MAW,33859
2021-01-01T00:30+00:00Z,2021-01-01T01:00+00:00Z,10Y1001A1001A92E,MAW,33092
2021-01-01T01:00+00:00Z,2021-01-01T01:30+00:00Z,10Y1001A1001A92E,MAW,32018
2021-01-01T01:30+00:00Z,2021-01-01T02:00+00:00Z,10Y1001A1001A92E,MAW,30711
2021-01-01T02:00+00:00Z,2021-01-01T02:30+00:00Z,10Y1001A1001A92E,MAW,29817
2021-01-01T02:30+00:00Z,2021-01-01T03:00+00:00Z,10Y1001A1001A92E,MAW,28549
2021-01-01T03:00+00:00Z,2021-01-01T03:30+00:00Z,10Y1001A1001A92E,MAW,27966
2021-01-01T03:30+00:00Z,2021-01-01T04:00+00:00Z,10Y1001A1001A92E,MAW,27455
2021-01-01T04:00+00:00Z,2021-01-01T04:30+00:00Z,10Y1001A1001A92E,MAW,27091
2021-01-01T04:30+00:00Z,2021-01-01T05:00+00:00Z,10Y1001A1001A92E,MAW,27116
2021-01-01T05:00+00:00Z,2021-01-01T05:30+00:00Z,10Y1001A1001A92E,MAW,27177
2021-01-01T05:30+00:00Z,2021-01-01T06:00+00:00Z,10Y1001A1001A92E,MAW,28109
2021-01-01T06:00+00:00Z,2021-01-01T06:30+00:00Z,10Y1001A1001A92E,MAW,28563
2021-01-01T06:30+00:00Z,2021-01-01T07:00+00:00Z,10Y1001A1001A92E,MAW,29861
2021-01-01T07:00+00:00Z,2021-01-01T07:30+00:00Z,10Y1001A1001A92E,MAW,30203
2021-01-01T07:30+00:00Z,2021-01-01T08:00+00:00Z,10Y1001A1001A92E,MAW,30868
2021-01-01T08:00+00:00Z,2021-01-01T08:30+00:00Z,10Y1001A1001A92E,MAW,31742
